team,seed,region,record,from_first_four,wins,losses,conference,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,warrennolan_elo_rank,warrennolan_elo,warrennolan_net_rank,warrennolan_net_score,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,prg_average_rank,prg_score,bart_em_z,hasla_em_z,deepmetric_net_z,warrennolan_elo_z,prg_score_z,recent_form_z,composite_strength
Iowa,9,South,21-12,False,21,12,Big Ten,26,122.1,100.2,0.9069,21.89999999999999,24.0,123.985723,99.242249,24.743473999999992,-1.112301,0.685897,0.2,48,1549.57,27,-27,32,1671.0,24.4,123.5,99.0,24.5,28.2,-28.2,0.4399060098023683,0.5426748718583084,0.5250313613965005,-0.26132860716626816,0.5496052202537344,-2.185008882374362,0.14216800053284617
Texas A&M,10,South,21-11,False,21,11,SEC,40,119.9,101.4,0.8726,18.5,40.0,120.844789,101.975964,18.868825,-4.85584,0.665007,0.4,47,1555.68,44,-44,45,1662.0,17.9,119.9,102.0,17.900000000000006,36.6,-36.6,0.15863867167651824,0.06995392181300188,0.015448880638368852,-0.21975362422275738,0.4328662265719952,-1.3579151246394336,-0.05628583533028281
VCU,11,South,27-7,False,27,7,Atlantic 10,48,119.3,103.1,0.843,16.200000000000003,52.0,120.071883,103.757792,16.314091000000005,1.412891,0.553814,1.0,17,1682.47,43,-43,40,1892.0,17.0,120.0,103.0,17.0,46.4,-46.4,-0.031630409996851176,-0.13562028076370464,-0.05510869362044927,0.6429783049765254,0.2966707339432994,1.1233661485653499,0.17054854342923376
McNeese,12,South,28-5,False,28,5,Southland,73,113.2,102.2,0.7644,11.0,64.0,116.183783,103.256743,12.927040000000005,1.128582,0.413594,1.0,39,1583.45,56,-56,53,1828.0,13.3,115.3,102.0,13.299999999999997,74.2,-74.2,-0.461803985954035,-0.40816932438689096,-0.34517872112892417,-0.03079498652369535,-0.08967974514626628,1.1233661485653499,-0.1815612952763872
Troy,13,South,22-11,False,22,11,Sun Belt,142,110.7,109.0,0.5437,1.7000000000000028,144.0,111.006896,108.877593,2.129302999999993,0.907321,0.381514,0.8,99,1434.85,125,-125,119,1647.0,2.1,110.7,108.6,2.1000000000000085,135.8,-135.8,-1.2311528814159207,-1.277041063443875,-1.223228534127551,-1.0419312329075867,-0.9457656988123543,0.2962723908304222,-1.035834055644173
Penn,14,South,18-11,False,18,11,Ivy,147,106.6,105.4,0.5315,1.1999999999999886,174.0,107.518679,106.708811,0.8098680000000087,2.91953,0.450648,1.0,96,1444.03,139,-139,110,1679.0,1.3,107.2,106.0,1.2000000000000028,152.2,-152.2,-1.2725157252579589,-1.3832132903672234,-1.2859463779131672,-0.979466692249416,-1.173684686476702,1.1233661485653499,-1.0146495318384527
Idaho,15,South,21-14,False,21,14,Big Sky,136,108.8,106.2,0.5703,2.5999999999999943,127.0,110.98256,107.891927,3.090633000000011,4.633866,0.449348,1.0,172,1324.6,145,-145,143,1590.0,2.5,110.0,107.5,2.5,155.4,-155.4,-1.156699762500255,-1.1996848110265708,-1.191869612234743,-1.7921181182630639,-1.2181566840697458,1.1233661485653499,-1.026876349870178
Lehigh,16,South,18-16,True,18,16,Patriot League,283,102.6,112.8,0.2517,-10.200000000000003,269.0,103.832731,113.20287,-9.370139000000009,4.057055,0.279447,1.0,199,1288.17,275,-275,262,1510.0,-11.2,101.9,113.0,-11.099999999999994,286.2,-286.2,-2.215588564856399,-2.202377563927718,-2.2659126870634205,-2.040003000199571,-3.0359495856853993,1.1233661485653499,-1.948810849631259
Prairie View A&M,16,South,18-17,True,18,17,,281,101.4,111.4,0.2544,-10.0,,,,17.99948604477612,,,0.7283582089552237,240,1239.68,300,-300,284,1513.0,-13.1,101.0,114.1,-13.099999999999994,296.6,-296.6,-2.199043427319584,2.858795794406664e-16,-2.4148675660542587,-2.369949141432107,-3.1804835778627916,-4.591292666805291e-16,-1.652850576297382
Arizona,1,West,32-2,False,32,2,Big 12,3,126.9,91.4,0.9776,35.5,3.0,127.57556,90.267027,37.308533,1.348367,0.727941,1.0,2,1903.89,3,-3,3,2057.0,37.1,126.1,89.0,37.099999999999994,2.4,-2.4,1.5649753623057723,1.5537593856488925,1.520677131493158,2.149612138585685,0.9081607008476478,1.1233661485653499,1.5148481915287229
Purdue,2,West,27-8,False,27,8,Big Ten,8,133.3,100.3,0.9636,33.000000000000014,7.0,134.650818,101.331879,33.318938999999986,0.530489,0.783124,0.8,7,1767.19,9,-9,5,1924.0,33.0,132.6,99.7,32.89999999999999,7.8,-7.8,1.3581611430955889,1.2327249432549618,1.1992481820918748,1.21944844490683,0.8331142049093869,0.2962723908304222,1.1266217533221945
Gonzaga,3,West,30-3,False,30,3,West Coast,11,120.3,94.0,0.9445,26.299999999999997,11.0,121.446719,91.843085,29.603634,-1.445146,0.609807,0.8,10,1747.01,7,-7,17,1928.0,32.7,123.3,90.6,32.7,8.6,-8.6,0.8038990356122934,0.9337619738404361,1.175728990672269,1.0821353261179538,0.8219962055111261,0.2962723908304222,0.8838336813056559
Arkansas,4,West,26-8,False,26,8,SEC,19,127.9,101.7,0.9337,26.200000000000003,13.0,129.401497,100.856414,28.545083000000005,-1.90897,0.750323,1.0,9,1758.59,15,-15,11,1913.0,27.1,128.5,101.4,27.099999999999994,15.6,-15.6,0.7956264668438864,0.8485825470540175,0.7367040841729554,1.1609304656410049,0.7247137107763433,1.1233661485653499,0.8661899480303938
Wisconsin,5,West,24-10,False,24,10,Big Ten,21,127.2,101.6,0.9294,25.60000000000001,15.0,128.491155,100.682024,27.809130999999994,4.548188,0.731012,0.8,14,1696.19,25,-25,20,1824.0,24.0,126.4,102.4,24.0,22.4,-22.4,0.7459910542334427,0.7893619998131952,0.49367243950369255,0.7363348951540961,0.6302107158911259,0.2962723908304222,0.6524066723455779
BYU,6,West,23-11,False,23,11,Big 12,33,124.7,104.3,0.8865,20.400000000000006,29.0,124.975045,102.786355,22.188689999999994,-2.714173,0.739415,0.6,30,1619.36,23,-23,24,1715.0,24.2,125.5,101.2,24.299999999999997,23.8,-23.8,0.31581747827625883,0.33709664588420357,0.5093519004500965,0.21355159899208767,0.6107542169441693,-0.530821366904506,0.2878929749759115
Miami (FL),7,West,25-8,False,25,8,ACC,35,121.1,101.5,0.8843,19.599999999999994,35.0,123.066213,102.448844,20.61736900000001,0.365411,0.618298,0.6,31,1616.41,32,-32,29,1819.0,21.2,121.8,100.6,21.200000000000003,35.6,-35.6,0.2496369281289989,0.21065566941971445,0.27415998625403576,0.19347857122067252,0.44676372581982127,-0.530821366904506,0.1804030491121955
Villanova,8,West,24-8,False,24,8,Big East,36,119.6,100.5,0.8805,19.099999999999994,42.0,119.497042,100.990981,18.50606099999999,-5.634096,0.69557,0.6,37,1610.29,35,-35,37,1727.0,19.7,119.9,100.2,19.700000000000003,35.2,-35.2,0.20827408428696204,0.040763047137384344,0.15656402915600537,0.15183554411522482,0.4523227255189517,-0.530821366904506,0.10583654037392647
Utah St.,9,West,28-6,False,28,6,Mountain West,28,123.0,102.1,0.8953,20.900000000000006,34.0,122.22787,101.457815,20.770055,-1.941642,0.644855,0.8,22,1661.89,26,-26,27,1838.0,23.1,123.8,100.7,23.099999999999994,31.0,-31.0,0.35718032211829576,0.22294199852271487,0.4231148652448744,0.5029434197101702,0.5106922223598214,0.2962723908304222,0.3662680772964423
Missouri,10,West,20-12,False,20,12,SEC,46,119.9,103.0,0.8515,16.900000000000006,43.0,121.120581,103.057216,18.063365000000005,4.013053,0.659169,0.4,51,1539.24,58,-58,65,1598.0,14.7,119.4,104.8,14.600000000000009,46.0,-46.0,0.026277571382000688,0.0051402084450216734,-0.2354224945040959,-0.3316182264471936,0.30222973364242983,-1.3579151246394336,-0.17925020943923592
NC State,11,West,20-13,True,20,13,ACC,38,124.1,104.7,0.8763,19.39999999999999,38.0,124.9336,104.738031,20.195568999999992,-4.51722,0.714952,0.2,55,1529.59,36,-36,39,1683.0,21.0,124.9,103.9,21.0,37.2,-37.2,0.2330917905921839,0.17671428896802796,0.25848052530763177,-0.39728084271640374,0.4245277270232995,-2.185008882374362,-0.07305247716692331
Texas,11,West,18-14,True,18,14,SEC,45,124.0,106.4,0.8538,17.599999999999994,41.0,125.254409,106.497212,18.75719699999999,-3.163857,0.688586,0.2,63,1498.37,42,-42,54,1617.0,18.2,124.5,106.3,18.200000000000003,39.6,-39.6,0.08418555276085138,0.060971445717551344,0.038968072057974985,-0.6097147162837327,0.39117372882851686,-2.185008882374362,-0.20854935550729725
High Point,12,West,30-4,False,30,4,Big South,93,115.7,107.5,0.6991,8.200000000000003,93.0,117.369838,107.836672,9.533166000000008,-2.696775,0.243442,1.0,41,1574.1,75,-75,92,1772.0,11.5,118.5,107.0,11.5,82.4,-82.4,-0.6934359114694413,-0.681267400819043,-0.4862938696465607,-0.0944162779347957,-0.20363923897844036,1.1233661485653499,-0.35093104232149847
