team_1,team_2,team_1_win_prob,team_2_win_prob
Duke,UConn,0.7432055947230818,0.25679440527691816
Duke,Michigan St.,0.7518275087688462,0.2481724912311537
Duke,Kansas,0.8173882225623469,0.18261177743765314
Duke,St. John's,0.7241176421619122,0.2758823578380878
Duke,Louisville,0.7871983835952729,0.21280161640472708
Duke,UCLA,0.8042670601419398,0.19573293985806017
Duke,Ohio St.,0.7981220001768102,0.20187799982318982
Duke,TCU,0.8679289273537703,0.13207107264622983
Duke,UCF,0.9153675675285314,0.08463243247146858
Duke,South Florida,0.8628365345312695,0.13716346546873043
Duke,Northern Iowa,0.9050171352434458,0.09498286475655414
Duke,Cal Baptist,0.9345086980899929,0.06549130191000699
Duke,North Dakota St.,0.9457191052766634,0.054280894723336665
Duke,Furman,0.9708982470079632,0.02910175299203681
Duke,Siena,0.9711470234562751,0.028852976543724915
Duke,Michigan,0.5510896283067623,0.4489103716932377
Duke,Iowa St.,0.6972737656917984,0.30272623430820156
Duke,Virginia,0.7348304258848428,0.2651695741151571
Duke,Alabama,0.7697470345661463,0.2302529654338538
Duke,Texas Tech,0.7961796535367016,0.2038203464632984
Duke,Tennessee,0.8030378140947569,0.19696218590524314
Duke,Kentucky,0.8464233516527719,0.153576648347228
Duke,Georgia,0.8509278973077695,0.14907210269223045
Duke,Saint Louis,0.8670886370438198,0.1329113629561802
Duke,Santa Clara,0.8489693863608339,0.15103061363916612
Duke,Miami (Ohio),0.9236028289219086,0.07639717107809142
Duke,SMU,0.90073322268101,0.09926677731898996
Duke,Akron,0.8898321466682866,0.11016785333171336
Duke,Hofstra,0.9255018928165932,0.07449810718340677
Duke,Wright St.,0.9525501870528308,0.04744981294716926
Duke,Tennessee St.,0.9694388440856332,0.030561155914366738
Duke,Howard,0.9734821811930153,0.026517818806984558
Duke,UMBC,0.9679628015506325,0.03203719844936747
Duke,Florida,0.6346428903547978,0.3653571096452022
Duke,Houston,0.6455041482591498,0.35449585174085013
Duke,Illinois,0.7008920984261682,0.29910790157383177
