team,reach_round_of_32_prob,reach_sweet_16_prob,reach_elite_8_prob,reach_final_four_prob,reach_title_game_prob,win_title_prob
Akron,0.3259760352665093,0.11707708352123634,0.02257885900986362,0.006356716991749063,0.0013066194266611233,0.00025680540499863134
Alabama,0.7879611174136746,0.4678501829654608,0.16119185319372442,0.07722798000332819,0.02897288854278389,0.010460731237693878
Arizona,0.9713637491270588,0.7855444125081975,0.5635655298157287,0.3807155865010802,0.23640887973518104,0.13971118530464494
Arkansas,0.8718331785177345,0.5396116857762757,0.21374023699669994,0.10773588714328297,0.048359657854502976,0.020184813173310792
BYU,0.6192145076697417,0.23346451386916606,0.08282819804629772,0.02351391567557702,0.007151870849162687,0.001978808561858449
Cal Baptist,0.23878506859965182,0.0497351812819331,0.005128136399728567,0.0010244800253356979,0.00015095019262899802,1.8250928278884092e-05
Clemson,0.503910460258511,0.1255280117987923,0.04916766670980529,0.015092684854740752,0.00389638688587137,0.0009525971760118125
Duke,0.9711470234562751,0.800558282753273,0.6249877830930365,0.48309623755395414,0.3353891714512658,0.2137652171255568
Florida,0.9685684466146912,0.7490316704184394,0.5074492137816721,0.29852169038213044,0.15376685807883633,0.07824243941063234
Furman,0.07982505895510505,0.011723952473829402,0.0012581663666629494,7.118383376941519e-05,4.9753178424375e-06,2.811097256903066e-07
Georgia,0.5333408130914161,0.107349739217033,0.04585640491172341,0.016236642787845167,0.004303884674038057,0.0010935743257976492
Gonzaga,0.9185756734804147,0.6449493399478871,0.3280148718592207,0.14079574730898095,0.06386015028117753,0.026951230417317017
Hawaii,0.12816682148226552,0.026893786642409327,0.0027279239475029404,0.0003826591874961276,4.4847985864010104e-05,4.620323311394473e-06
High Point,0.23978868727723437,0.060621585718665376,0.009365863489852608,0.00197961649937352,0.0003545151078192911,5.650056286050606e-05
Hofstra,0.21203888258632544,0.06142176338898217,0.008558866676264338,0.001756476564954364,0.00025642066661558135,3.568518021124501e-05
Houston,0.926383130027298,0.6717622980679994,0.4242295768401225,0.24629915787965642,0.12422627437215468,0.06181413800876596
Howard,0.014608573920693667,0.0020771412541131236,0.00022787268970731576,1.876175166259583e-05,1.0526494936945932e-06,5.5941619986141314e-08
Idaho,0.07361686997270205,0.01331848414108981,0.0017586837559443026,0.00019268705255128584,1.6857140538781626e-05,1.3437050816037558e-06
Illinois,0.906033527666289,0.620802245601808,0.31918664907815913,0.1663469228175903,0.07439160548317796,0.0325694884645654
Iowa,0.49608953974148895,0.12224010932001855,0.04744226002820102,0.014412062206968303,0.0036807639927342686,0.0008897260411980745
Iowa St.,0.9323044118881797,0.6594009415688583,0.3996673792612705,0.18489097930092646,0.08525567625544707,0.037949955298482184
Kansas,0.7612149314003481,0.33246023439198635,0.08259942742465907,0.03612450347306088,0.012538267829769835,0.0037095689501108415
Kennesaw St.,0.08142432651958538,0.014431265244527647,0.0014273971721877141,0.00010044617737103571,7.687784700678369e-06,5.126404432922872e-07
Kentucky,0.5049300156390575,0.16787040739835044,0.06711556439547574,0.018842510480317178,0.00511850720378607,0.0013331580666263601
Lehigh,0.010636748883613675,0.0008746151041978962,5.14054217659651e-05,2.076784892943132e-06,6.831042294210292e-08,2.0181110432945705e-09
Long Island,0.028636250872941124,0.003216830557164755,0.0002548581166774526,1.6849866963554167e-05,9.149634763881322e-07,4.306317456964863e-08
Louisville,0.6297004425671173,0.3184541237510543,0.15743296688532465,0.04990650196377584,0.019456627973413368,0.00652024222367167
McNeese,0.25140288107544523,0.09160028863004938,0.02092111594488604,0.004891611351810316,0.0009540608606445135,0.00017387889774159193
Miami (FL),0.6019510752293716,0.17061890076119499,0.0653942139599912,0.017063180663936615,0.004779927165747908,0.0012132579789746983
Miami (Ohio),0.10812896295136298,0.02590378041576564,0.0056217035725755204,0.0008953436326750604,0.00013367058098950768,1.902775108300424e-05
Michigan,0.9639739330632311,0.8017311343055544,0.6163763886692293,0.43711114641171334,0.26633238001960524,0.1576191492241307
Michigan St.,0.8518758958733229,0.507823816260134,0.2755314983646342,0.09842363394785568,0.04296882920702877,0.01627570295871558
Missouri,0.3980489247706283,0.08529609488064052,0.025243559453509493,0.0048718318974361905,0.0010151951876420252,0.00018929616467879175
NC State,0.2143074567820662,0.06292676155588174,0.01718099430109878,0.0036353958427174254,0.0008293221506997132,0.00016989273741528532
Nebraska,0.8590244058705587,0.4291112301193668,0.16690875933262472,0.06716107951392128,0.022991163622779427,0.007574714199502861
North Carolina,0.5552371550349494,0.21231243041012213,0.07604694096720244,0.027601105476124637,0.008352865146265202,0.0024149516366226502
North Dakota St.,0.1481241041266771,0.03088612919390609,0.005595533482760257,0.000561135457909048,6.98560913646963e-05,7.105017363285895e-06
Northern Iowa,0.21597503512484478,0.08347001403926595,0.011926677253099044,0.0032261803886885765,0.0006574970993135889,0.00011114023968864196
Ohio St.,0.6243777826863526,0.1385328131917507,0.06755896754124685,0.03158458061523663,0.011835145921743128,0.003800698742804744
Penn,0.09396647233371111,0.01739094638540178,0.001942533873803805,0.00021543086852696716,1.9081980404767142e-05,1.5404460859475452e-06
Prairie View A&M,0.020794804501695057,0.0023255933585518036,0.00018612021671381694,1.0348346313734708e-05,4.6958320414352193e-07,1.9204204059619152e-08
Purdue,0.9482887352716199,0.7356996570668762,0.4682196685694001,0.2312977795491455,0.11996674450452179,0.058422267075386766
Queens (N.C.),0.051711264728379926,0.00838534729128811,0.0008318814653644905,4.8505087151024174e-05,3.0769450000386182e-06,1.6954489970461725e-07
SMU,0.1770999714458762,0.05120182579003718,0.013670599079759968,0.0027095032064518676,0.0005091192947869487,9.139623430694807e-05
Saint Louis,0.4666591869085839,0.0852519995193123,0.033760090917468566,0.010976364162438464,0.0026449120836580238,0.0006103349989613631
Saint Mary's,0.6562387653326318,0.23367718311610722,0.10526535181710217,0.042067200704600266,0.014105788682921169,0.004546350529155667
Santa Clara,0.49506998436094246,0.16262400956500145,0.06428582582362442,0.017815872367373357,0.004773555528219531,0.0012261638212085475
Siena,0.028852976543724915,0.003663999104013073,0.00040633768842826285,3.9424852440651846e-05,2.733311928995565e-06,1.5317060250063875e-07
South Florida,0.3702995574328827,0.1428359307949057,0.05280216937468638,0.011768312093103143,0.0032570460536423653,0.0007580811127214518
St. John's,0.7840249648751552,0.5343345702868145,0.18617461797399065,0.10568578910554904,0.04976600142071565,0.020474571762001053
TCU,0.3756222173136473,0.057244904950963175,0.021218052625810942,0.0073817098374663916,0.001981124092911895,0.0004464321782103319
Tennessee,0.7147710656027608,0.32621414250460207,0.14279814393380347,0.04843120899404392,0.016080764716752176,0.0051307922791785955
Tennessee St.,0.06769558811182035,0.010104641467789844,0.0011286219254121968,7.967413183682593e-05,5.115404827009667e-06,3.113097146482825e-07
Texas,0.16647803554819213,0.04422811938253766,0.010859215172929815,0.0020423775064555456,0.0004149115507065114,7.535185751737325e-05
Texas A&M,0.34376123466736813,0.0812420346748037,0.024928349755440136,0.006598172365978086,0.0014325263183797312,0.0002920174729759883
Texas Tech,0.6740239647334907,0.3536509701243208,0.11098407853874381,0.049019260512907725,0.01672192772303984,0.00548329803189949
Troy,0.14097559412944113,0.02144223421073177,0.002251084491107159,0.00023745850771592333,2.058587251450432e-05,1.6257475794793915e-06
UCF,0.2753136510603358,0.07007569501455219,0.018489966332200767,0.0027428640925763565,0.0005061983772580043,7.720167890379121e-05
UCLA,0.7246863489396641,0.3270856944350723,0.15627338455573883,0.046385849001605015,0.016978605132596306,0.0053170588715777175
UConn,0.9201749410448951,0.5911146580765462,0.33261631463799196,0.12197761375767333,0.054578929124541785,0.021235274316989884
UMBC,0.021417493016075352,0.003589985703987331,0.0004655853932755111,4.560824907941912e-05,3.0618332158643136e-06,1.9488475987368194e-07
Utah St.,0.5743193705903346,0.13233985784213542,0.05476530647047161,0.020271998818226288,0.00653467079980369,0.001921818747432713
VCU,0.4447628449650505,0.14949437760266807,0.04664191391222558,0.014726931129973435,0.0038465760631742688,0.0009520400371110509
Vanderbilt,0.7485971189245547,0.45784624703985194,0.20562237407322392,0.09562337975650491,0.03815610900801028,0.01479552697563298
Villanova,0.42568062940966545,0.07889889909250224,0.027338989504522307,0.00838092392697106,0.0022136956250296113,0.0005283767507668391
Virginia,0.878702478118494,0.5704274346824079,0.30188467666210506,0.127183225986038,0.053139462768094954,0.021399670502075276
Wisconsin,0.7602113127227657,0.3728729418626496,0.12824129165854445,0.05714729834783499,0.022455884156168237,0.008138576000867521
Wright St.,0.12129752188150601,0.026252816607187267,0.0038274853459732356,0.0004027244646593219,3.9027980781643486e-05,3.5942444898663806e-06
