team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,14.0,19.0,0.424,-7.18,-1.25,2321.0,2389.0,2026
Air Force,3.0,29.0,0.094,-13.66,4.68,1969.0,2556.0,2026
Akron,29.0,5.0,0.853,9.04,-3.33,3004.0,2499.0,2026
Alabama,23.0,9.0,0.719,22.7,14.45,2935.0,2671.0,2026
Alabama A&M,18.0,15.0,0.545,-12.99,-10.49,2378.0,2393.0,2026
Alabama State,10.0,22.0,0.313,-14.21,-8.14,2341.0,2473.0,2026
Albany (NY),11.0,21.0,0.344,-13.92,-8.09,2303.0,2332.0,2026
Alcorn State,9.0,23.0,0.281,-19.82,-6.54,2141.0,2566.0,2026
American,16.0,16.0,0.5,-6.91,-6.21,2387.0,2283.0,2026
Appalachian State,19.0,13.0,0.594,-3.77,-5.67,2305.0,2114.0,2026
Arizona,32.0,2.0,0.941,29.92,12.57,2929.0,2339.0,2026
Arizona State,17.0,16.0,0.515,10.79,12.79,2519.0,2585.0,2026
Arkansas,26.0,8.0,0.765,22.43,12.57,3058.0,2723.0,2026
Arkansas State,20.0,12.0,0.625,-0.65,-4.39,2655.0,2471.0,2026
Arkansas-Pine Bluff,13.0,19.0,0.406,-14.79,-6.92,2472.0,2593.0,2026
Army,11.0,21.0,0.344,-15.28,-7.14,2309.0,2471.0,2026
Auburn,17.0,16.0,0.515,17.02,13.69,2730.0,2620.0,2026
Austin Peay,22.0,9.0,0.71,-2.25,-6.7,2530.0,2269.0,2026
Ball State,12.0,19.0,0.387,-9.58,-4.27,2093.0,2154.0,2026
Baylor,16.0,16.0,0.5,15.33,11.78,2642.0,2469.0,2026
nan,,,,,,,,2026
School,,,,,,,,2026
Bellarmine,13.0,19.0,0.406,-9.0,-4.64,2561.0,2614.0,2026
Belmont,26.0,6.0,0.813,8.95,-0.41,2684.0,2347.0,2026
Bethune-Cookman,17.0,15.0,0.531,-9.38,-6.45,2412.0,2462.0,2026
Binghamton,8.0,23.0,0.258,-20.67,-10.78,2105.0,2321.0,2026
Boise State,20.0,12.0,0.625,12.04,7.84,2502.0,2351.0,2026
Boston College,11.0,20.0,0.355,3.39,6.65,2090.0,2191.0,2026
Boston University,17.0,17.0,0.5,-8.08,-8.23,2566.0,2514.0,2026
Bowling Green,18.0,14.0,0.563,0.47,-3.57,2602.0,2290.0,2026
Bradley,21.0,12.0,0.636,3.83,0.54,2560.0,2422.0,2026
