team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,11.0,20.0,0.355,-19.6,-4.12,2214.0,2228.0,2014
Air Force,12.0,18.0,0.4,-4.08,1.71,1980.0,2074.0,2014
Akron,21.0,13.0,0.618,1.16,-0.48,2332.0,2276.0,2014
Alabama,13.0,19.0,0.406,8.34,8.88,2170.0,2150.0,2014
Alabama A&M,14.0,16.0,0.467,-13.86,-10.58,1936.0,2010.0,2014
Alabama State,19.0,13.0,0.594,-12.84,-11.4,2265.0,2225.0,2014
Albany (NY),19.0,15.0,0.559,-3.31,-5.22,2239.0,2174.0,2014
Alcorn State,12.0,19.0,0.387,-15.95,-9.27,1985.0,2101.0,2014
American,20.0,13.0,0.606,0.69,-3.25,2081.0,1951.0,2014
Appalachian State,9.0,21.0,0.3,-15.32,-7.13,2034.0,2152.0,2014
Arizona,33.0,5.0,0.868,23.36,9.04,2769.0,2225.0,2014
Arizona State,21.0,12.0,0.636,13.32,7.41,2486.0,2291.0,2014
Arkansas,22.0,12.0,0.647,14.34,5.57,2723.0,2425.0,2014
Arkansas State,19.0,13.0,0.594,-0.44,-3.18,2432.0,2299.0,2014
Arkansas-Pine Bluff,13.0,18.0,0.419,-15.39,-6.9,1957.0,2188.0,2014
Army,15.0,16.0,0.484,-6.16,-4.66,2244.0,2269.0,2014
Auburn,14.0,16.0,0.467,5.11,5.47,2144.0,2155.0,2014
Austin Peay,12.0,18.0,0.4,-10.5,-5.78,2287.0,2368.0,2014
Ball State,5.0,25.0,0.167,-10.17,0.65,1967.0,2214.0,2014
Baylor,26.0,12.0,0.684,15.8,10.11,2843.0,2577.0,2014
nan,,,,,,,,2014
School,,,,,,,,2014
Belmont,26.0,10.0,0.722,3.29,-1.88,2876.0,2661.0,2014
Bethune-Cookman,7.0,25.0,0.219,-16.86,-7.53,2032.0,2252.0,2014
Binghamton,7.0,23.0,0.233,-16.15,-6.15,1840.0,2140.0,2014
Boise State,21.0,13.0,0.618,8.83,3.86,2591.0,2347.0,2014
Boston College,8.0,24.0,0.25,3.01,8.62,2197.0,2354.0,2014
Boston University,24.0,11.0,0.686,1.77,-2.4,2492.0,2346.0,2014
Bowling Green,12.0,20.0,0.375,-3.45,-0.2,2007.0,2055.0,2014
Bradley,12.0,20.0,0.375,-2.72,-0.31,2036.0,2113.0,2014
Brigham Young,23.0,12.0,0.657,11.63,5.72,2931.0,2706.0,2014
Brown,15.0,14.0,0.517,-1.44,-4.04,2065.0,1951.0,2014
Bryant,18.0,14.0,0.563,-4.25,-4.89,2351.0,2304.0,2014
Bucknell,16.0,14.0,0.533,-1.3,-3.14,1977.0,1922.0,2014
Buffalo,19.0,10.0,0.655,3.58,-2.13,2132.0,1952.0,2014
Butler,14.0,17.0,0.452,7.04,6.98,2125.0,2064.0,2014
Cal Poly,14.0,20.0,0.412,-1.34,1.69,2141.0,2163.0,2014
Cal State Bakersfield,13.0,19.0,0.406,-4.86,-4.31,2215.0,2189.0,2014
Cal State Fullerton,11.0,20.0,0.355,-5.08,-1.12,2092.0,2215.0,2014
Cal State Northridge,17.0,18.0,0.486,-4.89,-3.29,2689.0,2712.0,2014
California,21.0,14.0,0.6,10.7,7.44,2533.0,2419.0,2014
Campbell,12.0,20.0,0.375,-14.04,-7.33,2164.0,2291.0,2014
nan,,,,,,,,2014
School,,,,,,,,2014
Canisius,21.0,13.0,0.618,1.24,-1.95,2661.0,2570.0,2014
Central Arkansas,8.0,21.0,0.276,-16.25,-5.54,2165.0,2360.0,2014
Central Connecticut State,11.0,19.0,0.367,-13.1,-6.06,2117.0,2318.0,2014
Central Michigan,10.0,21.0,0.323,-8.82,-2.72,2246.0,2288.0,2014
Charleston Southern,13.0,18.0,0.419,-5.27,-5.75,2523.0,2242.0,2014
Charlotte,17.0,14.0,0.548,-0.69,-0.5,2215.0,2221.0,2014
Chattanooga,18.0,15.0,0.545,-10.83,-7.9,2489.0,2439.0,2014
