team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,16.0,16.0,0.5,-9.14,-6.82,2359.0,2279.0,2018
Air Force,12.0,19.0,0.387,-4.31,1.72,2124.0,2244.0,2018
Akron,14.0,18.0,0.438,-6.82,-1.92,2296.0,2411.0,2018
Alabama,20.0,16.0,0.556,12.34,10.64,2604.0,2543.0,2018
Alabama A&M,3.0,28.0,0.097,-23.97,-8.04,1873.0,2367.0,2018
Alabama State,8.0,23.0,0.258,-18.56,-8.62,2129.0,2437.0,2018
Albany (NY),22.0,10.0,0.688,0.02,-5.4,2375.0,2182.0,2018
Alcorn State,11.0,21.0,0.344,-18.07,-8.6,2244.0,2388.0,2018
American,6.0,24.0,0.2,-14.63,-6.16,1961.0,2215.0,2018
Appalachian State,15.0,18.0,0.455,-4.83,-2.67,2520.0,2448.0,2018
Arizona,27.0,8.0,0.771,15.67,6.84,2818.0,2509.0,2018
Arizona State,20.0,12.0,0.625,14.37,6.55,2645.0,2395.0,2018
Arkansas,23.0,12.0,0.657,14.76,9.85,2819.0,2647.0,2018
Arkansas State,11.0,21.0,0.344,-9.65,-3.02,2369.0,2523.0,2018
Arkansas-Pine Bluff,14.0,21.0,0.4,-14.84,-9.36,2307.0,2499.0,2018
Army,13.0,17.0,0.433,-8.62,-7.17,2230.0,2223.0,2018
Auburn,26.0,8.0,0.765,15.97,7.29,2783.0,2488.0,2018
Austin Peay,19.0,15.0,0.559,-3.28,-2.5,2512.0,2446.0,2018
Ball State,19.0,13.0,0.594,-1.22,-2.0,2410.0,2362.0,2018
Baylor,19.0,15.0,0.559,14.6,9.17,2571.0,2369.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Belmont,24.0,9.0,0.727,5.54,-2.88,2562.0,2284.0,2018
Bethune-Cookman,18.0,14.0,0.563,-12.19,-12.46,2621.0,2543.0,2018
Binghamton,11.0,20.0,0.355,-10.27,-6.34,2147.0,2181.0,2018
Boise State,23.0,9.0,0.719,11.21,3.05,2502.0,2210.0,2018
Boston College,19.0,16.0,0.543,9.0,7.2,2673.0,2610.0,2018
Boston University,15.0,16.0,0.484,-8.33,-5.83,2186.0,2226.0,2018
Bowling Green,16.0,16.0,0.5,-6.38,-2.88,2429.0,2490.0,2018
Bradley,20.0,13.0,0.606,2.07,0.35,2223.0,2136.0,2018
Brigham Young,24.0,11.0,0.686,8.05,1.53,2600.0,2372.0,2018
Brown,11.0,16.0,0.407,-7.78,-4.67,2080.0,2133.0,2018
Bryant,3.0,28.0,0.097,-18.75,-5.42,2169.0,2582.0,2018
Bucknell,25.0,10.0,0.714,4.49,-3.46,2837.0,2559.0,2018
Buffalo,27.0,9.0,0.75,7.99,0.25,3047.0,2742.0,2018
Butler,21.0,14.0,0.6,16.92,10.55,2763.0,2540.0,2018
Cal Poly,9.0,22.0,0.29,-11.56,-1.83,2082.0,2302.0,2018
Cal State Bakersfield,12.0,18.0,0.4,-6.58,-0.73,1981.0,2068.0,2018
Cal State Fullerton,20.0,12.0,0.625,-0.93,-1.03,2318.0,2245.0,2018
Cal State Northridge,6.0,24.0,0.2,-13.5,-3.53,1983.0,2206.0,2018
California,8.0,24.0,0.25,-3.4,6.05,2166.0,2483.0,2018
Campbell,18.0,16.0,0.529,-5.68,-6.68,2581.0,2412.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Canisius,21.0,12.0,0.636,0.44,-4.8,2519.0,2346.0,2018
Central Arkansas,18.0,17.0,0.514,-5.83,-5.97,2819.0,2766.0,2018
Central Connecticut State,14.0,18.0,0.438,-11.62,-7.59,2171.0,2300.0,2018
Central Michigan,21.0,15.0,0.583,-1.39,-3.24,2835.0,2661.0,2018
Charleston Southern,15.0,16.0,0.484,-8.16,-6.16,2232.0,2133.0,2018
Charlotte,6.0,23.0,0.207,-10.13,0.27,2066.0,2317.0,2018
Chattanooga,10.0,23.0,0.303,-11.09,-4.05,2289.0,2424.0,2018
Chicago State,3.0,29.0,0.094,-21.53,1.17,2171.0,2756.0,2018
Cincinnati,31.0,5.0,0.861,20.25,3.53,2673.0,2071.0,2018
Clemson,25.0,10.0,0.714,17.16,9.25,2584.0,2307.0,2018
Cleveland State,12.0,23.0,0.343,-10.82,-3.64,2402.0,2613.0,2018
Coastal Carolina,14.0,18.0,0.438,-3.94,-2.42,2298.0,2241.0,2018
Colgate,19.0,14.0,0.576,-4.85,-5.72,2394.0,2315.0,2018
College of Charleston,26.0,8.0,0.765,1.83,-3.29,2536.0,2331.0,2018
Colorado,17.0,15.0,0.531,6.06,7.0,2307.0,2337.0,2018
Colorado State,11.0,21.0,0.344,-3.86,3.79,2314.0,2537.0,2018
Columbia,8.0,19.0,0.296,-5.63,-3.02,2062.0,2085.0,2018
Connecticut,14.0,18.0,0.438,1.08,6.05,2181.0,2340.0,2018
Coppin State,5.0,27.0,0.156,-20.96,-7.24,1945.0,2384.0,2018
Cornell,12.0,16.0,0.429,-8.8,-3.24,2124.0,2250.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Creighton,21.0,12.0,0.636,16.35,8.1,2756.0,2444.0,2018
Dartmouth,7.0,20.0,0.259,-10.31,-4.0,1841.0,1970.0,2018
Davidson,21.0,12.0,0.636,11.02,2.57,2519.0,2240.0,2018
Dayton,14.0,17.0,0.452,1.64,2.71,2244.0,2277.0,2018
Delaware,14.0,19.0,0.424,-6.93,-2.96,2338.0,2428.0,2018
Delaware State,4.0,28.0,0.125,-24.57,-9.3,2034.0,2459.0,2018
Denver,15.0,15.0,0.5,-5.21,-2.53,2192.0,2189.0,2018
DePaul,11.0,20.0,0.355,6.55,8.45,2230.0,2289.0,2018
Detroit Mercy,8.0,24.0,0.25,-12.47,-2.07,2516.0,2743.0,2018
Drake,17.0,17.0,0.5,-0.51,0.58,2506.0,2495.0,2018
Drexel,13.0,20.0,0.394,-7.2,-2.48,2454.0,2591.0,2018
Duke,29.0,8.0,0.784,24.43,9.7,3121.0,2576.0,2018
Duquesne,16.0,16.0,0.5,-1.08,-3.33,2317.0,2245.0,2018
East Carolina,10.0,20.0,0.333,-8.72,-0.22,1993.0,2248.0,2018
East Tennessee State,25.0,9.0,0.735,3.72,-4.09,2556.0,2241.0,2018
Eastern Illinois,12.0,19.0,0.387,-8.33,-3.4,2065.0,2120.0,2018
Eastern Kentucky,11.0,20.0,0.355,-10.57,-3.68,2230.0,2371.0,2018
Eastern Michigan,22.0,13.0,0.629,-0.23,-2.81,2509.0,2339.0,2018
Eastern Washington,20.0,15.0,0.571,-0.03,-1.54,2619.0,2520.0,2018
Elon,14.0,18.0,0.438,-6.89,-1.69,2346.0,2437.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Evansville,17.0,15.0,0.531,0.68,1.35,2094.0,2045.0,2018
Fairfield,17.0,16.0,0.515,-4.98,-3.68,2506.0,2549.0,2018
FDU,13.0,18.0,0.419,-10.41,-5.66,2313.0,2350.0,2018
Florida,21.0,13.0,0.618,16.66,10.08,2577.0,2353.0,2018
Florida A&M,9.0,25.0,0.265,-19.21,-8.33,2343.0,2684.0,2018
Florida Atlantic,12.0,19.0,0.387,-5.35,-0.14,2155.0,2172.0,2018
Florida Gulf Coast,23.0,12.0,0.657,1.94,-5.44,2847.0,2515.0,2018
Florida International,14.0,18.0,0.438,-4.3,-1.99,2262.0,2278.0,2018
Florida State,23.0,12.0,0.657,15.78,8.5,2806.0,2551.0,2018
Fordham,9.0,22.0,0.29,-6.74,1.26,1931.0,2179.0,2018
Fresno State,21.0,11.0,0.656,8.17,1.84,2459.0,2201.0,2018
Furman,23.0,10.0,0.697,4.43,-3.64,2619.0,2260.0,2018
Gardner-Webb,14.0,18.0,0.438,-9.7,-3.81,2258.0,2307.0,2018
George Mason,16.0,17.0,0.485,-2.97,0.85,2371.0,2497.0,2018
George Washington,15.0,18.0,0.455,-0.72,2.13,2225.0,2319.0,2018
Georgetown,15.0,15.0,0.5,7.16,5.29,2350.0,2294.0,2018
Georgia,18.0,15.0,0.545,10.24,8.87,2247.0,2202.0,2018
Georgia Southern,21.0,12.0,0.636,-0.54,-3.28,2504.0,2315.0,2018
Georgia State,24.0,11.0,0.686,3.22,-2.78,2614.0,2356.0,2018
Georgia Tech,13.0,19.0,0.406,5.25,7.46,2101.0,2172.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Gonzaga,32.0,5.0,0.865,18.44,2.6,3091.0,2505.0,2018
Grambling,17.0,14.0,0.548,-12.97,-10.3,2257.0,2321.0,2018
Grand Canyon,22.0,12.0,0.647,3.78,-4.8,2512.0,2213.0,2018
Green Bay,13.0,20.0,0.394,-8.51,-4.08,2517.0,2499.0,2018
Hampton,19.0,16.0,0.543,-9.37,-9.56,2703.0,2603.0,2018
Hartford,19.0,14.0,0.576,-5.54,-5.26,2326.0,2318.0,2018
Harvard,18.0,14.0,0.563,-0.28,-1.7,2182.0,2129.0,2018
Hawaii,17.0,13.0,0.567,-2.33,-2.51,2104.0,2071.0,2018
High Point,14.0,16.0,0.467,-6.75,-6.38,2126.0,1993.0,2018
Hofstra,19.0,12.0,0.613,-0.53,-1.6,2464.0,2397.0,2018
Holy Cross,12.0,19.0,0.387,-9.92,-5.82,1972.0,2099.0,2018
Houston,27.0,8.0,0.771,15.99,4.16,2685.0,2271.0,2018
Houston Christian,6.0,25.0,0.194,-16.14,-3.97,2382.0,2617.0,2018
Howard,10.0,23.0,0.303,-17.26,-9.74,2449.0,2654.0,2018
Idaho,22.0,9.0,0.71,0.82,-3.94,2330.0,2134.0,2018
Idaho State,14.0,16.0,0.467,-5.76,-3.69,2211.0,2232.0,2018
Illinois,14.0,18.0,0.438,8.5,7.53,2426.0,2362.0,2018
Illinois State,18.0,15.0,0.545,1.07,3.67,2364.0,2418.0,2018
Illinois-Chicago,20.0,16.0,0.556,-2.91,-4.21,2708.0,2597.0,2018
Incarnate Word,7.0,21.0,0.25,-17.71,-5.04,1978.0,2163.0,2018
nan,,,,,,,,2018
School,,,,,,,,2018
Indiana,16.0,15.0,0.516,9.89,8.25,2229.0,2178.0,2018
Indiana State,13.0,18.0,0.419,1.53,2.43,2248.0,2253.0,2018
Iona,20.0,14.0,0.588,0.75,-2.19,2702.0,2602.0,2018
Iowa,14.0,19.0,0.424,8.13,7.13,2630.0,2597.0,2018
Iowa State,13.0,18.0,0.419,6.88,9.49,2258.0,2339.0,2018
IU Indy,11.0,19.0,0.367,-9.82,-3.53,2047.0,2180.0,2018
Jackson State,12.0,20.0,0.375,-17.66,-10.5,1991.0,2161.0,2018
Jacksonville,15.0,18.0,0.455,-13.39,-6.12,2405.0,2482.0,2018
Jacksonville State,23.0,13.0,0.639,-0.3,-4.87,2587.0,2369.0,2018
James Madison,10.0,22.0,0.313,-5.47,-2.15,2341.0,2414.0,2018
Kansas,31.0,8.0,0.795,21.39,11.88,3174.0,2803.0,2018
Kansas City,10.0,22.0,0.313,-10.19,-1.02,2251.0,2447.0,2018
Kansas State,25.0,12.0,0.676,12.85,8.74,2630.0,2478.0,2018
Kennesaw State,10.0,20.0,0.333,-11.17,-4.31,2182.0,2328.0,2018
Kent State,17.0,17.0,0.5,-3.73,-1.76,2482.0,2502.0,2018
Kentucky,26.0,11.0,0.703,17.24,10.73,2840.0,2599.0,2018
