team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,16.0,16.0,0.5,2.71,3.31,2074.0,2082.0,2011
Akron,23.0,13.0,0.639,2.15,-1.02,2524.0,2365.0,2011
Alabama,25.0,12.0,0.676,11.7,4.27,2473.0,2198.0,2011
Alabama A&M,13.0,15.0,0.464,-15.19,-11.75,1808.0,1870.0,2011
Alabama State,17.0,18.0,0.486,-13.37,-10.31,2146.0,2234.0,2011
Albany (NY),16.0,16.0,0.5,-7.05,-5.96,2013.0,2048.0,2011
Alcorn State,4.0,24.0,0.143,-23.02,-8.02,1838.0,2258.0,2011
American,22.0,9.0,0.71,-3.13,-5.64,2051.0,1973.0,2011
Appalachian State,16.0,15.0,0.516,-4.81,-2.95,2265.0,2269.0,2011
Arizona,30.0,8.0,0.789,16.54,7.99,2905.0,2580.0,2011
Arizona State,12.0,19.0,0.387,4.3,7.2,1983.0,2073.0,2011
Arkansas,18.0,13.0,0.581,6.28,2.34,2191.0,2069.0,2011
Arkansas State,17.0,15.0,0.531,-3.38,-3.31,2188.0,2066.0,2011
Arkansas-Pine Bluff,7.0,24.0,0.226,-20.0,-8.03,1850.0,2221.0,2011
Army,11.0,19.0,0.367,-10.71,-6.58,2038.0,2141.0,2011
Auburn,11.0,20.0,0.355,-2.47,2.4,1933.0,2051.0,2011
Austin Peay,20.0,14.0,0.588,-0.15,-3.77,2510.0,2279.0,2011
Ball State,19.0,13.0,0.594,-0.7,-3.4,2164.0,2049.0,2011
Baylor,18.0,13.0,0.581,10.0,4.8,2154.0,1984.0,2011
Belmont,30.0,5.0,0.857,13.07,-4.42,2790.0,2178.0,2011
nan,,,,,,,,2011
School,,,,,,,,2011
Bethune-Cookman,21.0,13.0,0.618,-11.11,-8.04,2241.0,2240.0,2011
Binghamton,8.0,23.0,0.258,-13.81,-5.35,1861.0,2123.0,2011
Boise State,22.0,13.0,0.629,5.48,0.01,2594.0,2382.0,2011
Boston College,21.0,13.0,0.618,9.78,7.31,2440.0,2356.0,2011
Boston University,21.0,14.0,0.6,-2.48,-3.85,2270.0,2222.0,2011
Bowling Green,14.0,19.0,0.424,-5.94,-2.03,2116.0,2215.0,2011
Bradley,12.0,20.0,0.375,-1.52,1.67,2076.0,2164.0,2011
Brigham Young,32.0,5.0,0.865,18.65,5.76,3012.0,2512.0,2011
Brown,11.0,17.0,0.393,-7.27,-4.12,2002.0,2054.0,2011
Bryant,9.0,21.0,0.3,-12.98,-3.12,2001.0,2258.0,2011
Bucknell,25.0,9.0,0.735,2.39,-3.87,2387.0,2174.0,2011
Buffalo,20.0,14.0,0.588,2.93,-2.22,2399.0,2197.0,2011
Butler,28.0,10.0,0.737,11.53,5.02,2707.0,2437.0,2011
Cal Poly,15.0,15.0,0.5,-1.84,-2.39,1779.0,1766.0,2011
Cal State Bakersfield,9.0,19.0,0.321,-11.44,-2.16,1907.0,2167.0,2011
Cal State Fullerton,11.0,20.0,0.355,-7.68,-2.81,2208.0,2326.0,2011
Cal State Northridge,14.0,18.0,0.438,-5.35,-1.55,2232.0,2280.0,2011
California,18.0,15.0,0.545,9.45,9.17,2391.0,2382.0,2011
Campbell,12.0,19.0,0.387,-6.67,-4.27,2032.0,2091.0,2011
Canisius,15.0,15.0,0.5,-2.92,-3.55,2043.0,2024.0,2011
nan,,,,,,,,2011
School,,,,,,,,2011
Centenary (LA),1.0,29.0,0.033,-25.21,-2.85,1775.0,2422.0,2011
Central Arkansas,5.0,24.0,0.172,-19.16,-5.39,1984.0,2216.0,2011
Central Connecticut State,19.0,12.0,0.613,-1.94,-5.97,2170.0,2045.0,2011
Central Michigan,10.0,21.0,0.323,-8.01,-2.41,1841.0,2006.0,2011
Charleston Southern,16.0,16.0,0.5,-4.86,-4.57,2362.0,2197.0,2011
Charlotte,10.0,20.0,0.333,-2.54,1.89,1997.0,2130.0,2011
Chattanooga,16.0,16.0,0.5,-9.44,-2.67,2274.0,2380.0,2011
Chicago State,6.0,26.0,0.188,-27.71,-4.88,2128.0,2772.0,2011
Cincinnati,26.0,9.0,0.743,15.41,6.1,2412.0,2086.0,2011
Clemson,22.0,12.0,0.647,13.76,6.58,2330.0,2086.0,2011
