team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,10.0,21.0,0.323,-17.2,-6.34,1976.0,2186.0,2015
Air Force,14.0,17.0,0.452,-1.85,-0.71,2037.0,2017.0,2015
Akron,21.0,14.0,0.6,3.65,-0.47,2382.0,2203.0,2015
Alabama,19.0,15.0,0.559,10.52,8.09,2280.0,2180.0,2015
Alabama A&M,9.0,20.0,0.31,-17.15,-9.62,1797.0,1988.0,2015
Alabama State,19.0,10.0,0.655,-8.97,-12.71,2090.0,1937.0,2015
Albany (NY),24.0,9.0,0.727,-0.34,-5.18,2156.0,1996.0,2015
Alcorn State,6.0,26.0,0.188,-20.75,-9.95,2066.0,2377.0,2015
American,17.0,16.0,0.515,-3.56,-3.71,1938.0,1933.0,2015
Appalachian State,12.0,17.0,0.414,-9.81,-3.18,1841.0,2033.0,2015
Arizona,34.0,4.0,0.895,24.33,7.41,2911.0,2268.0,2015
Arizona State,18.0,16.0,0.529,9.52,6.66,2360.0,2263.0,2015
Arkansas,27.0,9.0,0.75,14.07,6.79,2787.0,2525.0,2015
Arkansas State,11.0,18.0,0.379,-10.1,-3.81,1869.0,2018.0,2015
Arkansas-Pine Bluff,12.0,20.0,0.375,-15.65,-8.61,1912.0,2140.0,2015
Army,15.0,15.0,0.5,-6.5,-4.98,2164.0,2163.0,2015
Auburn,15.0,20.0,0.429,3.27,8.15,2378.0,2523.0,2015
Austin Peay,8.0,22.0,0.267,-12.45,-2.81,1937.0,2178.0,2015
Ball State,7.0,23.0,0.233,-5.06,0.04,1961.0,2070.0,2015
Baylor,24.0,10.0,0.706,17.85,9.33,2349.0,2048.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Belmont,22.0,11.0,0.667,0.35,-2.77,2450.0,2330.0,2015
Bethune-Cookman,11.0,21.0,0.344,-15.52,-10.45,1899.0,2003.0,2015
Binghamton,6.0,26.0,0.188,-13.45,-3.49,1845.0,2124.0,2015
Boise State,25.0,9.0,0.735,10.01,1.38,2390.0,2045.0,2015
Boston College,13.0,19.0,0.406,6.32,7.94,2105.0,2157.0,2015
Boston University,13.0,17.0,0.433,-5.63,-3.12,2037.0,2087.0,2015
Bowling Green,21.0,12.0,0.636,2.93,-1.25,2196.0,2076.0,2015
Bradley,9.0,24.0,0.273,-4.3,1.52,1882.0,2026.0,2015
Brigham Young,25.0,10.0,0.714,13.53,5.02,2931.0,2561.0,2015
Brown,13.0,18.0,0.419,-7.23,-1.99,2048.0,2144.0,2015
Bryant,16.0,15.0,0.516,-6.28,-4.93,2058.0,2100.0,2015
Bucknell,19.0,15.0,0.559,-3.66,-2.75,2339.0,2346.0,2015
Buffalo,23.0,10.0,0.697,7.93,1.6,2462.0,2253.0,2015
Butler,23.0,11.0,0.676,16.64,8.62,2346.0,2073.0,2015
Cal Poly,13.0,16.0,0.448,-0.57,0.43,1752.0,1721.0,2015
Cal State Bakersfield,14.0,19.0,0.424,-6.4,-5.8,2100.0,2028.0,2015
Cal State Fullerton,9.0,22.0,0.29,-8.58,-1.06,1991.0,2155.0,2015
Cal State Northridge,9.0,24.0,0.273,-6.61,0.39,2148.0,2325.0,2015
California,18.0,15.0,0.545,5.36,6.15,2195.0,2221.0,2015
Campbell,10.0,22.0,0.313,-11.13,-5.3,2045.0,2124.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Canisius,18.0,15.0,0.545,-0.04,-2.79,2168.0,2077.0,2015
Central Arkansas,2.0,27.0,0.069,-22.84,-5.94,1894.0,2384.0,2015
Central Connecticut State,5.0,26.0,0.161,-16.56,-5.62,1834.0,2173.0,2015
Central Michigan,23.0,9.0,0.719,5.56,-1.1,2504.0,2187.0,2015
Charleston Southern,19.0,12.0,0.613,-4.48,-5.23,2277.0,2130.0,2015
Charlotte,14.0,18.0,0.438,1.76,0.35,2362.0,2317.0,2015
Chattanooga,22.0,10.0,0.688,-1.63,-4.06,2325.0,2141.0,2015
Chicago State,8.0,24.0,0.25,-14.76,-2.48,1855.0,2115.0,2015
Cincinnati,23.0,11.0,0.676,10.72,4.4,2113.0,1898.0,2015
Clemson,16.0,15.0,0.516,7.73,7.18,1944.0,1927.0,2015
Cleveland State,19.0,15.0,0.559,3.07,-0.78,2296.0,2098.0,2015
Coastal Carolina,24.0,10.0,0.706,-1.02,-6.18,2438.0,2121.0,2015
Colgate,16.0,17.0,0.485,-2.91,-3.41,2177.0,2125.0,2015
College of Charleston,9.0,24.0,0.273,-7.23,-1.26,1934.0,2131.0,2015
Colorado,16.0,18.0,0.471,7.01,6.19,2345.0,2317.0,2015
Colorado State,27.0,7.0,0.794,8.12,0.69,2454.0,2181.0,2015
Columbia,13.0,15.0,0.464,-0.38,-1.49,1816.0,1737.0,2015
Connecticut,20.0,15.0,0.571,8.28,4.22,2243.0,2101.0,2015
Coppin State,8.0,23.0,0.258,-17.84,-4.78,2219.0,2558.0,2015
Cornell,13.0,17.0,0.433,-3.58,-1.92,1868.0,1838.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Creighton,14.0,19.0,0.424,7.48,7.05,2221.0,2207.0,2015
Dartmouth,14.0,15.0,0.483,-3.11,-3.32,1835.0,1829.0,2015
Davidson,24.0,8.0,0.75,11.97,3.19,2529.0,2221.0,2015
Dayton,27.0,9.0,0.75,10.98,4.06,2439.0,2190.0,2015
Delaware,10.0,20.0,0.333,-7.76,-1.69,1979.0,2161.0,2015
Delaware State,18.0,18.0,0.5,-10.78,-6.75,2533.0,2607.0,2015
Denver,12.0,18.0,0.4,-3.96,-3.13,1865.0,1890.0,2015
DePaul,12.0,20.0,0.375,3.3,7.49,2220.0,2354.0,2015
Detroit Mercy,15.0,18.0,0.455,-2.25,0.13,2334.0,2335.0,2015
Drake,9.0,22.0,0.29,-6.04,2.22,1844.0,2070.0,2015
Drexel,11.0,19.0,0.367,-5.71,-0.85,1787.0,1930.0,2015
Duke,35.0,4.0,0.897,24.97,9.87,3091.0,2502.0,2015
Duquesne,12.0,19.0,0.387,-2.93,1.41,2213.0,2303.0,2015
East Carolina,14.0,19.0,0.424,-2.84,1.0,2116.0,2176.0,2015
East Tennessee State,16.0,14.0,0.533,-4.8,-4.01,2201.0,2140.0,2015
Eastern Illinois,18.0,15.0,0.545,-5.52,-2.42,2097.0,2136.0,2015
Eastern Kentucky,21.0,12.0,0.636,-0.03,-4.16,2373.0,2100.0,2015
Eastern Michigan,21.0,14.0,0.6,1.96,-0.14,2429.0,2230.0,2015
Eastern Washington,26.0,9.0,0.743,0.79,-3.84,2820.0,2588.0,2015
Elon,15.0,18.0,0.455,-5.91,-2.69,2329.0,2329.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Evansville,24.0,12.0,0.667,3.36,-0.07,2552.0,2361.0,2015
Fairfield,7.0,24.0,0.226,-8.63,-2.31,1845.0,2041.0,2015
FDU,8.0,21.0,0.276,-12.22,-4.54,1956.0,2130.0,2015
Florida,16.0,17.0,0.485,13.27,9.67,2101.0,1982.0,2015
Florida A&M,2.0,27.0,0.069,-26.04,-8.52,1607.0,2115.0,2015
Florida Atlantic,9.0,20.0,0.31,-7.8,-2.06,1815.0,1934.0,2015
Florida Gulf Coast,22.0,11.0,0.667,-1.81,-4.98,2224.0,2085.0,2015
Florida International,16.0,17.0,0.485,-7.78,-3.23,2060.0,2153.0,2015
Florida State,17.0,16.0,0.515,6.69,7.02,2199.0,2210.0,2015
Fordham,10.0,21.0,0.323,-2.15,2.72,2015.0,2144.0,2015
Fresno State,15.0,17.0,0.469,-2.23,1.3,2086.0,2123.0,2015
Furman,11.0,22.0,0.333,-10.55,-3.46,2098.0,2245.0,2015
Gardner-Webb,20.0,15.0,0.571,-5.24,-3.11,2619.0,2595.0,2015
George Mason,9.0,22.0,0.29,-1.43,4.6,1996.0,2147.0,2015
George Washington,22.0,13.0,0.629,8.07,2.79,2354.0,2169.0,2015
Georgetown,22.0,11.0,0.667,15.48,9.81,2340.0,2153.0,2015
Georgia,21.0,12.0,0.636,12.42,8.6,2250.0,2124.0,2015
Georgia Southern,22.0,9.0,0.71,-0.4,-4.72,2112.0,1865.0,2015
Georgia State,25.0,10.0,0.714,5.47,-2.03,2499.0,2184.0,2015
Georgia Tech,12.0,19.0,0.387,7.16,8.45,1962.0,2002.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Gonzaga,35.0,3.0,0.921,21.12,5.12,2989.0,2343.0,2015
Grambling,2.0,27.0,0.069,-30.67,-8.0,1509.0,2105.0,2015
Grand Canyon,17.0,15.0,0.531,-6.62,-5.45,2198.0,2188.0,2015
Green Bay,24.0,9.0,0.727,5.7,-0.4,2252.0,2006.0,2015
Hampton,17.0,18.0,0.486,-8.25,-7.08,2346.0,2387.0,2015
Hartford,14.0,16.0,0.467,-8.58,-5.16,1858.0,1924.0,2015
Harvard,22.0,8.0,0.733,4.47,-0.25,1926.0,1727.0,2015
Hawaii,22.0,13.0,0.629,2.65,-0.83,2551.0,2387.0,2015
High Point,23.0,10.0,0.697,-2.47,-4.61,2407.0,2231.0,2015
Hofstra,20.0,14.0,0.588,3.78,-4.46,2668.0,2388.0,2015
Holy Cross,14.0,16.0,0.467,-6.23,-3.82,1981.0,2020.0,2015
Houston,13.0,19.0,0.406,-2.06,-0.91,2060.0,2097.0,2015
Houston Christian,12.0,16.0,0.429,-13.18,-5.63,2028.0,2063.0,2015
Howard,16.0,16.0,0.5,-9.89,-7.86,2032.0,2004.0,2015
Idaho,13.0,17.0,0.433,-5.75,-4.79,2301.0,2269.0,2015
Idaho State,7.0,23.0,0.233,-11.52,-5.45,1937.0,2075.0,2015
Illinois,19.0,14.0,0.576,12.42,6.93,2281.0,2100.0,2015
Illinois State,22.0,13.0,0.629,7.96,2.87,2385.0,2170.0,2015
Illinois-Chicago,10.0,24.0,0.294,-7.86,-0.36,2201.0,2389.0,2015
Incarnate Word,18.0,11.0,0.621,-6.15,-6.47,2298.0,2180.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Indiana,20.0,14.0,0.588,12.94,7.2,2633.0,2438.0,2015
Indiana State,15.0,16.0,0.484,-0.49,1.21,2060.0,2101.0,2015
Iona,26.0,9.0,0.743,3.71,-2.52,2782.0,2564.0,2015
Iowa,22.0,12.0,0.647,15.83,8.39,2372.0,2119.0,2015
Iowa State,25.0,9.0,0.735,17.94,9.15,2645.0,2346.0,2015
IU Indy,10.0,21.0,0.323,-8.28,-1.93,1883.0,2080.0,2015
Jackson State,11.0,21.0,0.344,-12.36,-9.52,1941.0,2032.0,2015
Jacksonville,10.0,22.0,0.313,-16.7,-6.46,2058.0,2303.0,2015
Jacksonville State,12.0,19.0,0.387,-12.65,-4.52,1939.0,2126.0,2015
James Madison,19.0,14.0,0.576,-2.65,-1.53,2217.0,2254.0,2015
Kansas,27.0,9.0,0.75,18.47,12.13,2561.0,2333.0,2015
Kansas City,14.0,19.0,0.424,-8.01,-5.07,2164.0,2202.0,2015
Kansas State,15.0,17.0,0.469,8.48,9.29,2016.0,2042.0,2015
Kennesaw State,10.0,22.0,0.313,-17.33,-5.1,2027.0,2363.0,2015
Kent State,23.0,12.0,0.657,2.04,-0.94,2313.0,2202.0,2015
Kentucky,38.0,1.0,0.974,28.72,8.67,2900.0,2118.0,2015
La Salle,17.0,16.0,0.515,4.85,3.91,2086.0,2055.0,2015
Lafayette,20.0,13.0,0.606,-3.37,-3.12,2426.0,2409.0,2015
Lamar,15.0,15.0,0.5,-9.75,-5.29,2146.0,2132.0,2015
Lehigh,16.0,14.0,0.533,-3.0,-3.55,2042.0,2000.0,2015
nan,,,,,,,,2015
School,,,,,,,,2015
Liberty,8.0,24.0,0.25,-16.01,-6.44,2045.0,2222.0,2015
Lipscomb,14.0,17.0,0.452,-10.82,-5.15,2232.0,2322.0,2015
Little Rock,13.0,18.0,0.419,-5.38,-3.81,2146.0,2180.0,2015
Long Beach State,16.0,17.0,0.485,1.64,4.16,2188.0,2221.0,2015
Long Island University,12.0,18.0,0.4,-9.09,-5.32,2022.0,2135.0,2015
Longwood,11.0,23.0,0.324,-12.96,-5.53,2311.0,2491.0,2015
Louisiana,22.0,14.0,0.611,0.82,-3.61,2789.0,2520.0,2015
