team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,16.0,18.0,0.471,-4.12,-1.12,2452.0,2500.0,2024
Air Force,9.0,22.0,0.29,-4.77,1.43,2051.0,2243.0,2024
Akron,24.0,11.0,0.686,2.77,-2.08,2577.0,2316.0,2024
Alabama,25.0,12.0,0.676,20.69,11.8,3335.0,3006.0,2024
Alabama A&M,12.0,23.0,0.343,-14.35,-7.52,2414.0,2653.0,2024
Alabama State,13.0,19.0,0.406,-11.73,-6.87,2195.0,2221.0,2024
Albany (NY),13.0,19.0,0.406,-6.6,-5.22,2517.0,2521.0,2024
Alcorn State,14.0,18.0,0.438,-11.58,-5.61,2300.0,2477.0,2024
American,16.0,16.0,0.5,-8.96,-8.79,2200.0,2176.0,2024
Appalachian State,27.0,7.0,0.794,6.04,-2.34,2665.0,2283.0,2024
Arizona,27.0,9.0,0.75,24.54,9.45,3137.0,2594.0,2024
Arizona State,14.0,18.0,0.438,4.58,9.55,2209.0,2368.0,2024
Arkansas,16.0,17.0,0.485,6.12,8.15,2566.0,2633.0,2024
Arkansas State,20.0,17.0,0.541,0.28,-1.53,2917.0,2850.0,2024
Arkansas-Pine Bluff,13.0,18.0,0.419,-15.56,-7.6,2483.0,2536.0,2024
Army,10.0,22.0,0.313,-14.67,-8.93,1930.0,2059.0,2024
Auburn,27.0,8.0,0.771,22.46,7.66,2909.0,2391.0,2024
Austin Peay,19.0,16.0,0.543,-6.13,-4.85,2619.0,2561.0,2024
Ball State,15.0,16.0,0.484,-6.68,-5.93,2280.0,2200.0,2024
Baylor,24.0,11.0,0.686,19.5,10.71,2814.0,2489.0,2024
nan,,,,,,,,2024
School,,,,,,,,2024
Bellarmine,8.0,23.0,0.258,-11.79,-2.47,2153.0,2320.0,2024
Belmont,20.0,13.0,0.606,2.79,1.44,2570.0,2493.0,2024
Bethune-Cookman,17.0,17.0,0.5,-11.87,-8.87,2479.0,2467.0,2024
Binghamton,15.0,15.0,0.5,-9.29,-5.21,2163.0,2167.0,2024
Boise State,22.0,11.0,0.667,13.31,7.35,2479.0,2221.0,2024
Boston College,20.0,16.0,0.556,9.48,7.25,2667.0,2587.0,2024
Boston University,16.0,17.0,0.485,-9.93,-8.49,2193.0,2198.0,2024
Bowling Green,20.0,14.0,0.588,-4.93,-5.52,2502.0,2414.0,2024
Bradley,23.0,12.0,0.657,9.48,2.96,2592.0,2348.0,2024
Brigham Young,23.0,11.0,0.676,19.33,7.86,2768.0,2378.0,2024
Brown,13.0,18.0,0.419,-3.6,-1.73,2212.0,2227.0,2024
Bryant,20.0,13.0,0.606,-3.06,-3.54,2598.0,2488.0,2024
Bucknell,14.0,19.0,0.424,-8.33,-6.39,2153.0,2217.0,2024
Buffalo,4.0,27.0,0.129,-15.12,-2.82,2108.0,2471.0,2024
Butler,18.0,15.0,0.545,12.18,9.49,2544.0,2432.0,2024
Cal Poly,4.0,28.0,0.125,-13.64,-2.28,2037.0,2371.0,2024
Cal State Bakersfield,13.0,19.0,0.406,-5.37,-2.17,2199.0,2214.0,2024
Cal State Fullerton,14.0,18.0,0.438,-5.15,-1.15,2172.0,2212.0,2024
Cal State Northridge,19.0,15.0,0.559,-4.78,-4.13,2551.0,2503.0,2024
California,13.0,19.0,0.406,4.94,8.0,2367.0,2465.0,2024
nan,,,,,,,,2024
School,,,,,,,,2024
California Baptist,16.0,17.0,0.485,-2.32,-2.26,2222.0,2197.0,2024
Campbell,14.0,18.0,0.438,-10.62,-5.66,2272.0,2307.0,2024
Canisius,14.0,18.0,0.438,-7.95,-4.89,2252.0,2307.0,2024
Central Arkansas,9.0,23.0,0.281,-15.7,-5.64,2309.0,2502.0,2024
Central Connecticut State,20.0,11.0,0.645,-8.15,-10.15,2237.0,2061.0,2024
Central Michigan,18.0,14.0,0.563,-8.07,-3.59,2127.0,2242.0,2024
Charleston Southern,10.0,20.0,0.333,-12.03,-1.59,2028.0,2210.0,2024
Charlotte,19.0,12.0,0.613,4.09,2.42,2131.0,2034.0,2024
Chattanooga,21.0,12.0,0.636,-0.21,-3.85,2581.0,2362.0,2024
Chicago State,13.0,19.0,0.406,-9.34,-3.03,2224.0,2258.0,2024
Cincinnati,22.0,15.0,0.595,15.06,8.49,2765.0,2522.0,2024
Clemson,24.0,12.0,0.667,16.2,10.04,2785.0,2563.0,2024
Cleveland State,21.0,15.0,0.583,-3.47,-4.44,2717.0,2622.0,2024
Coastal Carolina,9.0,22.0,0.29,-10.47,-2.88,2280.0,2434.0,2024
Colgate,25.0,10.0,0.714,-0.31,-5.55,2498.0,2242.0,2024
College of Charleston,27.0,8.0,0.771,4.09,-2.38,2832.0,2575.0,2024
Colorado,26.0,11.0,0.703,15.95,8.36,2935.0,2654.0,2024
Colorado State,25.0,11.0,0.694,13.4,7.28,2707.0,2422.0,2024
Columbia,13.0,14.0,0.481,-5.43,-3.72,2078.0,1956.0,2024
Connecticut,37.0,3.0,0.925,26.7,8.7,3256.0,2536.0,2024
nan,,,,,,,,2024
School,,,,,,,,2024
Coppin State,2.0,27.0,0.069,-21.46,-6.49,1678.0,2112.0,2024
Cornell,22.0,8.0,0.733,3.58,-1.59,2463.0,2241.0,2024
Creighton,25.0,10.0,0.714,20.07,9.53,2815.0,2446.0,2024
Dartmouth,6.0,21.0,0.222,-13.99,-1.31,1670.0,1940.0,2024
Davidson,15.0,17.0,0.469,3.63,3.3,2242.0,2174.0,2024
Dayton,25.0,8.0,0.758,13.45,5.73,2448.0,2193.0,2024
Delaware,19.0,14.0,0.576,-1.68,-4.3,2416.0,2299.0,2024
Delaware State,15.0,19.0,0.441,-10.51,-7.58,2401.0,2415.0,2024
Denver,17.0,17.0,0.5,-7.39,-4.82,2755.0,2737.0,2024
DePaul,3.0,29.0,0.094,-6.23,10.8,2071.0,2616.0,2024
Detroit Mercy,1.0,31.0,0.031,-16.9,-2.62,2111.0,2568.0,2024
Drake,28.0,7.0,0.8,11.08,1.84,2797.0,2463.0,2024
Drexel,20.0,12.0,0.625,1.14,-3.64,2346.0,2130.0,2024
Duke,27.0,9.0,0.75,20.67,8.36,2830.0,2387.0,2024
Duquesne,25.0,12.0,0.676,7.35,4.68,2611.0,2467.0,2024
East Carolina,15.0,18.0,0.455,-0.62,1.32,2287.0,2319.0,2024
East Tennessee State,19.0,16.0,0.543,-3.11,-2.74,2502.0,2435.0,2024
East Texas A&M,13.0,20.0,0.394,-14.52,-5.19,2361.0,2462.0,2024
Eastern Illinois,14.0,18.0,0.438,-11.6,-6.5,2204.0,2172.0,2024
Eastern Kentucky,17.0,14.0,0.548,-5.42,-4.49,2504.0,2371.0,2024
nan,,,,,,,,2024
School,,,,,,,,2024
Eastern Michigan,13.0,18.0,0.419,-12.76,-5.07,2047.0,2252.0,2024
Eastern Washington,21.0,11.0,0.656,-1.03,-2.99,2586.0,2407.0,2024
Elon,13.0,19.0,0.406,-11.43,-5.46,2339.0,2413.0,2024
Evansville,17.0,18.0,0.486,-3.69,0.75,2481.0,2562.0,2024
Fairfield,24.0,13.0,0.649,-3.17,-6.53,2794.0,2626.0,2024
FDU,15.0,17.0,0.469,-14.41,-9.27,2430.0,2482.0,2024
Florida,24.0,12.0,0.667,15.17,8.81,3080.0,2851.0,2024
Florida A&M,6.0,23.0,0.207,-15.82,-4.19,1949.0,2240.0,2024
Florida Atlantic,25.0,9.0,0.735,13.26,4.61,2789.0,2495.0,2024
Florida Gulf Coast,14.0,18.0,0.438,-6.28,-3.94,2253.0,2276.0,2024
Florida International,11.0,22.0,0.333,-8.01,-2.17,2429.0,2525.0,2024
Florida State,17.0,16.0,0.515,9.52,9.27,2526.0,2518.0,2024
Fordham,13.0,20.0,0.394,-0.46,1.48,2325.0,2389.0,2024
Fresno State,12.0,21.0,0.364,-3.29,3.5,2233.0,2439.0,2024
Furman,17.0,16.0,0.515,0.21,-1.93,2623.0,2506.0,2024
Gardner-Webb,17.0,16.0,0.515,-4.66,-1.73,2426.0,2414.0,2024
George Mason,20.0,12.0,0.625,6.36,1.85,2273.0,2109.0,2024
George Washington,15.0,17.0,0.469,-1.03,-0.06,2457.0,2472.0,2024
Georgetown,9.0,23.0,0.281,0.68,7.72,2267.0,2492.0,2024
Georgia,20.0,17.0,0.541,8.63,8.63,2764.0,2764.0,2024
nan,,,,,,,,2024
School,,,,,,,,2024
Georgia Southern,9.0,24.0,0.273,-8.44,-2.53,2420.0,2615.0,2024
Georgia State,14.0,17.0,0.452,-4.59,-2.59,2370.0,2319.0,2024
Georgia Tech,14.0,18.0,0.438,4.6,8.82,2272.0,2407.0,2024
Gonzaga,27.0,8.0,0.771,17.93,4.02,2959.0,2420.0,2024
Grambling,21.0,15.0,0.583,-9.63,-5.48,2436.0,2506.0,2024
Grand Canyon,30.0,5.0,0.857,10.45,-0.52,2769.0,2346.0,2024
Green Bay,18.0,14.0,0.563,-5.64,-4.07,2209.0,2207.0,2024
Hampton,9.0,24.0,0.273,-15.82,-5.29,2369.0,2520.0,2024
Harvard,14.0,13.0,0.519,-4.58,-2.08,1900.0,1937.0,2024
Hawaii,20.0,14.0,0.588,-0.07,-2.57,2458.0,2337.0,2024
High Point,27.0,9.0,0.75,2.15,-4.83,3020.0,2680.0,2024
Hofstra,20.0,13.0,0.606,2.31,-1.98,2449.0,2259.0,2024
Holy Cross,10.0,23.0,0.303,-17.12,-7.87,2194.0,2462.0,2024
Houston,32.0,5.0,0.865,25.69,9.8,2720.0,2132.0,2024
