team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,13.0,17.0,0.433,-2.79,0.9,2249.0,2133.0,2023
Air Force,14.0,18.0,0.438,2.0,2.12,2142.0,2146.0,2023
Akron,22.0,11.0,0.667,4.19,-1.65,2463.0,2209.0,2023
Alabama,31.0,6.0,0.838,23.19,9.65,3027.0,2526.0,2023
Alabama A&M,15.0,18.0,0.455,-10.78,-7.71,2297.0,2340.0,2023
Alabama State,8.0,23.0,0.258,-16.33,-6.29,1963.0,2252.0,2023
Albany (NY),8.0,23.0,0.258,-14.36,-4.53,2086.0,2332.0,2023
Alcorn State,18.0,14.0,0.563,-8.74,-5.81,2165.0,2259.0,2023
American,17.0,15.0,0.531,-8.26,-7.73,2093.0,2110.0,2023
Appalachian State,16.0,16.0,0.5,-1.5,-0.98,2248.0,2067.0,2023
Arizona,28.0,7.0,0.8,19.08,8.34,2866.0,2490.0,2023
Arizona State,23.0,13.0,0.639,11.29,8.18,2559.0,2447.0,2023
Arkansas,22.0,14.0,0.611,15.99,9.87,2666.0,2446.0,2023
Arkansas State,13.0,20.0,0.394,-8.07,-3.3,2169.0,2232.0,2023
Arkansas-Pine Bluff,10.0,21.0,0.323,-12.99,-5.36,2074.0,2162.0,2023
Army,17.0,16.0,0.515,-7.13,-7.58,2412.0,2322.0,2023
Auburn,21.0,13.0,0.618,14.35,9.29,2474.0,2302.0,2023
Austin Peay,9.0,22.0,0.29,-12.17,-2.6,2067.0,2241.0,2023
Ball State,20.0,12.0,0.625,-1.2,-3.5,2445.0,2292.0,2023
Baylor,23.0,11.0,0.676,17.3,10.54,2619.0,2389.0,2023
nan,,,,,,,,2023
School,,,,,,,,2023
Bellarmine,15.0,18.0,0.455,-7.42,-1.35,2187.0,2216.0,2023
Belmont,21.0,11.0,0.656,1.88,-1.93,2447.0,2299.0,2023
Bethune-Cookman,12.0,20.0,0.375,-17.15,-7.82,2172.0,2401.0,2023
Binghamton,13.0,18.0,0.419,-10.44,-5.51,2133.0,2217.0,2023
Boise State,24.0,10.0,0.706,12.78,6.21,2451.0,2198.0,2023
Boston College,16.0,17.0,0.485,1.09,4.73,2197.0,2317.0,2023
Boston University,15.0,17.0,0.469,-8.1,-6.52,2147.0,2151.0,2023
Bowling Green,11.0,20.0,0.355,-8.46,-3.81,2355.0,2434.0,2023
Bradley,25.0,10.0,0.714,6.51,-0.67,2473.0,2195.0,2023
Brigham Young,19.0,15.0,0.559,9.43,5.4,2568.0,2376.0,2023
Brown,14.0,13.0,0.519,-2.47,-2.69,1878.0,1872.0,2023
Bryant,17.0,13.0,0.567,-3.59,-4.52,2381.0,2193.0,2023
Bucknell,12.0,20.0,0.375,-9.93,-6.96,2161.0,2192.0,2023
Buffalo,15.0,17.0,0.469,-2.97,0.67,2481.0,2485.0,2023
Butler,14.0,18.0,0.438,5.85,8.54,2088.0,2174.0,2023
Cal Poly,8.0,25.0,0.242,-7.51,-0.54,2006.0,2174.0,2023
Cal State Bakersfield,11.0,22.0,0.333,-8.34,-1.47,1995.0,2134.0,2023
Cal State Fullerton,20.0,13.0,0.606,1.73,-0.27,2283.0,2148.0,2023
Cal State Northridge,7.0,25.0,0.219,-10.4,-1.74,2028.0,2194.0,2023
California,3.0,29.0,0.094,-3.36,8.43,1866.0,2243.0,2023
nan,,,,,,,,2023
School,,,,,,,,2023
California Baptist,17.0,16.0,0.515,0.21,-0.69,2291.0,2156.0,2023
Campbell,16.0,18.0,0.471,-5.23,-4.89,2374.0,2329.0,2023
Canisius,10.0,20.0,0.333,-7.05,-3.46,2111.0,2169.0,2023
Central Arkansas,9.0,22.0,0.29,-13.72,-3.15,2261.0,2527.0,2023
Central Connecticut State,10.0,22.0,0.313,-13.68,-9.49,2111.0,2245.0,2023
Central Michigan,10.0,21.0,0.323,-11.97,-2.62,2038.0,2263.0,2023
Charleston Southern,10.0,21.0,0.323,-9.44,-4.47,2251.0,2305.0,2023
Charlotte,22.0,14.0,0.611,3.9,-0.46,2410.0,2253.0,2023
Chattanooga,18.0,17.0,0.514,-2.34,-3.34,2702.0,2523.0,2023
Chicago State,11.0,20.0,0.355,-11.29,-3.51,2180.0,2264.0,2023
Cincinnati,23.0,13.0,0.639,11.77,4.97,2776.0,2495.0,2023
Clemson,23.0,11.0,0.676,10.53,3.71,2540.0,2308.0,2023
Cleveland State,21.0,14.0,0.6,-2.6,-5.05,2512.0,2405.0,2023
Coastal Carolina,11.0,20.0,0.355,-8.93,-1.75,2273.0,2294.0,2023
Colgate,26.0,9.0,0.743,2.2,-5.86,2733.0,2426.0,2023
College of Charleston,31.0,4.0,0.886,8.4,-4.02,2804.0,2353.0,2023
Colorado,18.0,17.0,0.514,11.17,8.39,2445.0,2348.0,2023
Colorado State,15.0,18.0,0.455,5.64,5.86,2391.0,2355.0,2023
Columbia,7.0,22.0,0.241,-14.37,-2.37,1966.0,2197.0,2023
Connecticut,31.0,8.0,0.795,22.95,8.51,3064.0,2501.0,2023
nan,,,,,,,,2023
School,,,,,,,,2023
Coppin State,9.0,23.0,0.281,-14.76,-3.6,2304.0,2661.0,2023
Cornell,17.0,11.0,0.607,0.63,-2.41,2287.0,2129.0,2023
Creighton,24.0,13.0,0.649,17.83,9.8,2828.0,2531.0,2023
Dartmouth,10.0,18.0,0.357,-7.98,-2.52,1998.0,2027.0,2023
Davidson,16.0,16.0,0.5,1.99,1.47,2236.0,2197.0,2023
Dayton,22.0,12.0,0.647,8.71,1.09,2334.0,2075.0,2023
Delaware,17.0,16.0,0.515,-5.57,-3.72,2298.0,2333.0,2023
Delaware State,6.0,24.0,0.2,-17.7,-4.95,1939.0,2265.0,2023
Denver,15.0,17.0,0.469,-9.56,-5.89,2325.0,2402.0,2023
DePaul,10.0,23.0,0.303,2.9,9.03,2349.0,2551.0,2023
Detroit Mercy,14.0,19.0,0.424,-3.21,-3.61,2527.0,2486.0,2023
Drake,27.0,8.0,0.771,7.84,-1.14,2617.0,2236.0,2023
Drexel,17.0,15.0,0.531,-2.27,-5.43,2135.0,1997.0,2023
Duke,27.0,9.0,0.75,15.83,7.44,2592.0,2290.0,2023
Duquesne,20.0,13.0,0.606,3.48,-0.16,2472.0,2352.0,2023
East Carolina,16.0,17.0,0.485,-0.29,1.41,2271.0,2327.0,2023
East Tennessee State,12.0,20.0,0.375,-6.0,-4.44,2211.0,2208.0,2023
East Texas A&M,13.0,20.0,0.394,-11.09,-7.53,2362.0,2421.0,2023
Eastern Illinois,9.0,22.0,0.29,-14.09,-6.75,2134.0,2235.0,2023
Eastern Kentucky,23.0,14.0,0.622,-1.47,-1.62,2909.0,2720.0,2023
nan,,,,,,,,2023
School,,,,,,,,2023
Eastern Michigan,8.0,23.0,0.258,-11.05,-1.88,2239.0,2505.0,2023
Eastern Washington,23.0,11.0,0.676,1.47,-1.62,2607.0,2429.0,2023
Elon,8.0,24.0,0.25,-12.85,-4.38,2094.0,2291.0,2023
Evansville,5.0,27.0,0.156,-15.14,-1.54,1997.0,2432.0,2023
Fairfield,13.0,18.0,0.419,-6.98,-4.51,2012.0,2045.0,2023
FDU,21.0,16.0,0.568,-8.98,-9.83,2863.0,2744.0,2023
Florida,16.0,17.0,0.485,10.9,8.26,2351.0,2264.0,2023
Florida A&M,7.0,22.0,0.241,-17.81,-4.99,1700.0,2030.0,2023
Florida Atlantic,35.0,4.0,0.897,13.92,2.3,3035.0,2547.0,2023
Florida Gulf Coast,17.0,15.0,0.531,-2.63,-3.08,2280.0,2222.0,2023
Florida International,14.0,18.0,0.438,-2.71,0.32,2339.0,2404.0,2023
Florida State,9.0,23.0,0.281,-0.38,6.5,2219.0,2439.0,2023
Fordham,25.0,8.0,0.758,2.26,-2.14,2376.0,2231.0,2023
Fresno State,11.0,20.0,0.355,2.6,5.1,1974.0,2036.0,2023
Furman,28.0,8.0,0.778,4.89,-2.9,2911.0,2563.0,2023
Gardner-Webb,15.0,16.0,0.484,-3.84,-4.64,2192.0,2032.0,2023
George Mason,20.0,13.0,0.606,1.73,0.27,2268.0,2220.0,2023
George Washington,16.0,16.0,0.5,-1.93,-0.61,2441.0,2455.0,2023
Georgetown,7.0,25.0,0.219,-1.07,7.52,2225.0,2500.0,2023
Georgia,16.0,16.0,0.5,1.8,4.8,2193.0,2289.0,2023
nan,,,,,,,,2023
School,,,,,,,,2023
Georgia Southern,17.0,16.0,0.515,-3.25,-2.02,2257.0,2201.0,2023
Georgia State,10.0,21.0,0.323,-6.79,-0.93,2068.0,2150.0,2023
