team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,24.0,5.0,0.828,6.27,-6.37,2196.0,1753.0,2021
Air Force,5.0,20.0,0.2,-12.98,0.22,1468.0,1798.0,2021
Akron,15.0,8.0,0.652,1.85,-1.96,1798.0,1660.0,2021
Alabama,26.0,7.0,0.788,19.58,10.01,2629.0,2313.0,2021
Alabama A&M,6.0,9.0,0.4,-18.86,-14.99,950.0,1008.0,2021
Alabama State,4.0,14.0,0.222,-24.28,-16.95,1156.0,1288.0,2021
Albany (NY),7.0,9.0,0.438,-4.53,-5.22,1110.0,1099.0,2021
Alcorn State,6.0,13.0,0.316,-19.58,-10.06,1256.0,1437.0,2021
American,4.0,6.0,0.4,-6.32,-1.82,691.0,736.0,2021
Appalachian State,17.0,12.0,0.586,-5.84,-5.72,2039.0,1860.0,2021
Arizona,17.0,9.0,0.654,15.02,8.18,1961.0,1783.0,2021
Arizona State,11.0,14.0,0.44,7.48,10.24,1858.0,1927.0,2021
Arkansas,25.0,7.0,0.781,17.8,7.18,2604.0,2264.0,2021
Arkansas State,11.0,13.0,0.458,-7.97,-5.87,1741.0,1667.0,2021
Arkansas-Pine Bluff,4.0,21.0,0.16,-22.67,-7.79,1549.0,1921.0,2021
Army,12.0,10.0,0.545,0.06,0.63,1578.0,1529.0,2021
Auburn,13.0,14.0,0.481,10.02,9.28,2084.0,2064.0,2021
Austin Peay,14.0,13.0,0.519,-6.66,-8.22,2007.0,1890.0,2021
Ball State,10.0,13.0,0.435,-1.96,-1.22,1719.0,1736.0,2021
Baylor,28.0,2.0,0.933,24.83,7.4,2487.0,1964.0,2021
nan,,,,,,,,2021
School,,,,,,,,2021
Bellarmine,14.0,8.0,0.636,-1.76,-5.56,1634.0,1456.0,2021
Belmont,26.0,4.0,0.867,3.46,-8.71,2439.0,2074.0,2021
Binghamton,4.0,14.0,0.222,-12.24,-5.35,1178.0,1302.0,2021
Boise State,19.0,9.0,0.679,9.75,1.71,2122.0,1868.0,2021
Boston College,4.0,16.0,0.2,0.82,8.97,1427.0,1590.0,2021
Boston University,7.0,11.0,0.389,-3.71,0.84,1249.0,1331.0,2021
Bowling Green,14.0,12.0,0.538,-0.17,-2.37,2015.0,1939.0,2021
Bradley,12.0,16.0,0.429,0.32,1.17,1948.0,1864.0,2021
Brigham Young,20.0,7.0,0.741,15.19,7.23,2109.0,1853.0,2021
Bryant,15.0,7.0,0.682,-1.37,-7.27,1843.0,1664.0,2021
Bucknell,5.0,7.0,0.417,-7.78,-5.36,899.0,928.0,2021
Buffalo,16.0,9.0,0.64,6.5,-1.58,2034.0,1823.0,2021
Butler,10.0,15.0,0.4,4.76,9.92,1588.0,1717.0,2021
Cal Poly,4.0,20.0,0.167,-13.69,-1.56,1475.0,1700.0,2021
Cal State Bakersfield,15.0,11.0,0.577,-0.13,-2.38,1811.0,1665.0,2021
Cal State Fullerton,6.0,10.0,0.375,-6.32,-3.05,1232.0,1257.0,2021
Cal State Northridge,9.0,13.0,0.409,-8.69,-1.97,1586.0,1709.0,2021
California,9.0,20.0,0.31,4.89,9.75,1897.0,2008.0,2021
California Baptist,13.0,10.0,0.565,-5.25,-5.04,1820.0,1674.0,2021
Campbell,17.0,10.0,0.63,-6.82,-7.34,1917.0,1840.0,2021
nan,,,,,,,,2021
School,,,,,,,,2021
Canisius,7.0,6.0,0.538,-8.61,-7.84,915.0,925.0,2021
Central Arkansas,5.0,19.0,0.208,-14.86,-1.99,1701.0,1933.0,2021
Central Connecticut State,5.0,16.0,0.238,-15.12,-6.27,1439.0,1625.0,2021
Central Michigan,7.0,16.0,0.304,-12.34,-4.19,1766.0,1835.0,2021
Charleston Southern,3.0,18.0,0.143,-16.72,-6.22,1375.0,1550.0,2021
Charlotte,9.0,16.0,0.36,-5.68,-2.43,1587.0,1668.0,2021
Chattanooga,18.0,8.0,0.692,-1.54,-2.92,1888.0,1801.0,2021
Chicago State,0.0,9.0,0.0,-31.82,1.41,499.0,798.0,2021
Cincinnati,12.0,11.0,0.522,3.99,7.21,1585.0,1659.0,2021
Clemson,16.0,8.0,0.667,12.49,9.49,1558.0,1486.0,2021
Cleveland State,19.0,8.0,0.704,-5.12,-4.82,1914.0,1922.0,2021
Coastal Carolina,18.0,8.0,0.692,-2.74,-7.6,2067.0,1773.0,2021
Colgate,14.0,2.0,0.875,13.66,-1.9,1363.0,1114.0,2021
College of Charleston,9.0,10.0,0.474,-4.96,-3.13,1341.0,1329.0,2021
Colorado,23.0,9.0,0.719,18.88,9.57,2340.0,2042.0,2021
Colorado State,20.0,8.0,0.714,8.06,1.06,2072.0,1871.0,2021
Connecticut,15.0,8.0,0.652,15.77,8.59,1650.0,1485.0,2021
Coppin State,9.0,13.0,0.409,-12.37,-6.06,1602.0,1741.0,2021
Creighton,22.0,9.0,0.71,16.28,8.54,2355.0,2115.0,2021
Davidson,13.0,9.0,0.591,9.02,3.4,1579.0,1411.0,2021
nan,,,,,,,,2021
School,,,,,,,,2021
Dayton,14.0,10.0,0.583,6.31,4.35,1674.0,1627.0,2021
Delaware,7.0,8.0,0.467,-5.19,-5.04,1013.0,1012.0,2021
Delaware State,3.0,16.0,0.158,-24.09,-6.33,1345.0,1629.0,2021
Denver,2.0,19.0,0.095,-16.4,-5.8,1466.0,1662.0,2021
DePaul,5.0,14.0,0.263,2.67,8.83,1250.0,1367.0,2021
Detroit Mercy,12.0,10.0,0.545,-3.66,-6.21,1683.0,1627.0,2021
Drake,26.0,5.0,0.839,9.42,-0.48,2354.0,1999.0,2021
Drexel,12.0,8.0,0.6,-0.97,-3.92,1407.0,1348.0,2021
Duke,13.0,11.0,0.542,13.04,8.33,1824.0,1711.0,2021
Duquesne,9.0,9.0,0.5,2.32,2.49,1205.0,1208.0,2021
East Carolina,8.0,11.0,0.421,1.0,3.83,1269.0,1291.0,2021
East Tennessee State,13.0,12.0,0.52,1.65,0.3,1736.0,1654.0,2021
Eastern Illinois,9.0,18.0,0.333,-12.71,-7.19,1874.0,2023.0,2021
Eastern Kentucky,22.0,7.0,0.759,-2.68,-8.24,2372.0,2137.0,2021
Eastern Michigan,6.0,12.0,0.333,-14.23,-1.23,1267.0,1362.0,2021
Eastern Washington,16.0,8.0,0.667,4.03,-3.15,1879.0,1690.0,2021
Elon,10.0,9.0,0.526,-5.32,-4.43,1249.0,1235.0,2021
Evansville,9.0,16.0,0.36,-4.85,-0.01,1619.0,1740.0,2021
Fairfield,10.0,17.0,0.37,-11.46,-6.57,1668.0,1800.0,2021
FDU,9.0,15.0,0.375,-10.17,-6.46,1801.0,1890.0,2021
nan,,,,,,,,2021
School,,,,,,,,2021
Florida,15.0,10.0,0.6,13.7,9.82,1854.0,1757.0,2021
Florida A&M,8.0,12.0,0.4,-12.35,-9.55,1314.0,1370.0,2021
Florida Atlantic,13.0,10.0,0.565,-2.05,-4.94,1796.0,1537.0,2021
Florida Gulf Coast,10.0,8.0,0.556,-9.63,-7.13,1292.0,1242.0,2021
Florida International,9.0,17.0,0.346,-11.2,-3.24,1914.0,1985.0,2021
Florida State,18.0,7.0,0.72,17.12,9.16,1929.0,1730.0,2021
Fordham,2.0,12.0,0.143,-11.69,3.09,725.0,932.0,2021
Fresno State,12.0,12.0,0.5,-3.57,0.07,1591.0,1618.0,2021
Furman,16.0,9.0,0.64,5.99,-1.69,1990.0,1723.0,2021
Gardner-Webb,11.0,15.0,0.423,-3.87,-6.14,1837.0,1778.0,2021
George Mason,13.0,9.0,0.591,1.91,0.48,1569.0,1538.0,2021
George Washington,5.0,12.0,0.294,-5.75,-1.57,1158.0,1229.0,2021
Georgetown,13.0,13.0,0.5,10.13,10.36,1857.0,1863.0,2021
Georgia,14.0,12.0,0.538,6.62,8.02,2014.0,2027.0,2021
Georgia Southern,13.0,13.0,0.5,-10.22,-6.26,1860.0,1762.0,2021
Georgia State,16.0,6.0,0.727,-1.7,-4.6,1767.0,1599.0,2021
Georgia Tech,17.0,9.0,0.654,12.79,7.91,1948.0,1821.0,2021
Gonzaga,31.0,1.0,0.969,27.2,5.92,2911.0,2230.0,2021
Grambling,12.0,12.0,0.5,-14.27,-12.49,1617.0,1649.0,2021
Grand Canyon,17.0,7.0,0.708,5.11,-3.46,1812.0,1491.0,2021
nan,,,,,,,,2021
School,,,,,,,,2021
Green Bay,8.0,17.0,0.32,-10.15,-5.23,1790.0,1913.0,2021
Hampton,11.0,14.0,0.44,-13.67,-9.27,1721.0,1831.0,2021
Hartford,15.0,9.0,0.625,-3.45,-4.95,1570.0,1534.0,2021
Hawaii,11.0,10.0,0.524,-2.98,-2.72,1503.0,1452.0,2021
High Point,9.0,15.0,0.375,-10.78,-7.58,1600.0,1677.0,2021
Hofstra,13.0,10.0,0.565,-2.77,-2.94,1683.0,1679.0,2021
Holy Cross,5.0,11.0,0.313,-4.99,0.45,1130.0,1217.0,2021
Houston,28.0,4.0,0.875,21.66,5.37,2434.0,1863.0,2021
Houston Christian,6.0,19.0,0.24,-16.72,-5.72,1776.0,2007.0,2021
Howard,1.0,4.0,0.2,-14.26,-2.51,363.0,424.0,2021
Idaho,1.0,21.0,0.045,-18.32,-2.91,1343.0,1682.0,2021
Idaho State,13.0,11.0,0.542,-8.39,-5.71,1637.0,1481.0,2021
Illinois,24.0,7.0,0.774,23.25,11.34,2497.0,2128.0,2021
