team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,10.0,21.0,0.323,-4.9,3.13,1773.0,1957.0,2010
Akron,24.0,11.0,0.686,2.82,-1.5,2472.0,2293.0,2010
Alabama,17.0,15.0,0.531,10.34,6.62,2192.0,2073.0,2010
Alabama A&M,11.0,16.0,0.407,-20.19,-13.71,1778.0,1881.0,2010
Alabama State,16.0,15.0,0.516,-14.41,-12.02,1998.0,2043.0,2010
Albany (NY),7.0,25.0,0.219,-11.94,-5.53,2007.0,2212.0,2010
Alcorn State,2.0,29.0,0.065,-30.36,-9.0,1880.0,2542.0,2010
American,11.0,20.0,0.355,-11.47,-6.89,1941.0,2083.0,2010
Appalachian State,24.0,13.0,0.649,1.8,-2.76,2766.0,2567.0,2010
Arizona,16.0,15.0,0.516,7.97,8.1,2229.0,2233.0,2010
Arizona State,22.0,11.0,0.667,13.8,5.83,2202.0,1938.0,2010
Arkansas,14.0,18.0,0.438,5.87,5.09,2391.0,2366.0,2010
Arkansas State,17.0,14.0,0.548,-4.01,-4.39,2160.0,2065.0,2010
Arkansas-Pine Bluff,18.0,16.0,0.529,-8.29,-7.68,2166.0,2187.0,2010
Army,14.0,15.0,0.483,-9.11,-7.96,1749.0,1768.0,2010
Auburn,15.0,17.0,0.469,5.49,4.68,2422.0,2373.0,2010
Austin Peay,17.0,15.0,0.531,-3.85,-1.68,2320.0,2317.0,2010
Ball State,15.0,15.0,0.5,-4.85,-1.48,1818.0,1871.0,2010
Baylor,28.0,8.0,0.778,17.97,8.03,2771.0,2362.0,2010
Belmont,19.0,12.0,0.613,1.3,-3.41,2266.0,2124.0,2010
nan,,,,,,,,2010
School,,,,,,,,2010
Bethune-Cookman,17.0,16.0,0.515,-13.14,-8.4,2021.0,1996.0,2010
Binghamton,13.0,18.0,0.419,-10.6,-4.31,1909.0,2082.0,2010
Boise State,15.0,17.0,0.469,-1.11,0.68,2370.0,2331.0,2010
Boston College,15.0,16.0,0.484,9.58,7.21,2145.0,2048.0,2010
Boston University,21.0,14.0,0.6,0.57,-3.23,2528.0,2395.0,2010
Bowling Green,14.0,16.0,0.467,-4.7,-0.94,1889.0,1976.0,2010
Bradley,16.0,15.0,0.516,3.74,4.11,2091.0,2089.0,2010
Brigham Young,30.0,6.0,0.833,18.82,3.0,2992.0,2392.0,2010
Brown,11.0,20.0,0.355,-10.68,-3.82,2073.0,2231.0,2010
Bryant,1.0,29.0,0.033,,,1556.0,2085.0,2010
Bucknell,14.0,17.0,0.452,-7.94,-6.84,2077.0,2107.0,2010
Buffalo,18.0,12.0,0.6,-2.03,-2.27,2170.0,2135.0,2010
Butler,33.0,5.0,0.868,14.37,5.08,2611.0,2258.0,2010
Cal Poly,12.0,19.0,0.387,-7.99,-2.31,2176.0,2335.0,2010
Cal State Bakersfield,7.0,22.0,0.241,,,1907.0,2163.0,2010
