team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,10.0,21.0,0.323,-2.99,2.37,1821.0,1936.0,2009
Akron,23.0,13.0,0.639,3.37,-2.01,2403.0,2171.0,2009
Alabama,18.0,14.0,0.563,5.49,3.99,2349.0,2254.0,2009
Alabama A&M,8.0,19.0,0.296,-19.72,-11.63,1761.0,1954.0,2009
Alabama State,22.0,10.0,0.688,-6.13,-11.2,2202.0,2025.0,2009
Albany (NY),15.0,16.0,0.484,-6.63,-4.11,1984.0,2038.0,2009
Alcorn State,6.0,25.0,0.194,-25.55,-10.26,2156.0,2588.0,2009
American,24.0,8.0,0.75,-0.05,-5.49,2065.0,1891.0,2009
Appalachian State,13.0,18.0,0.419,-8.44,-5.44,2356.0,2381.0,2009
Arizona,21.0,14.0,0.6,11.88,8.8,2529.0,2421.0,2009
Arizona State,25.0,10.0,0.714,16.7,7.82,2428.0,2117.0,2009
Arkansas,14.0,16.0,0.467,3.79,3.89,2238.0,2213.0,2009
Arkansas State,13.0,17.0,0.433,-5.42,-4.31,1996.0,1948.0,2009
Arkansas-Pine Bluff,13.0,18.0,0.419,-15.45,-7.48,1943.0,2190.0,2009
Army,11.0,19.0,0.367,-10.11,-7.59,1741.0,1823.0,2009
Auburn,24.0,12.0,0.667,9.93,3.56,2620.0,2354.0,2009
Austin Peay,19.0,14.0,0.576,-4.2,-3.69,2485.0,2449.0,2009
Ball State,14.0,17.0,0.452,-5.5,-3.02,1795.0,1852.0,2009
Baylor,24.0,15.0,0.615,12.54,7.93,2965.0,2732.0,2009
Belmont,20.0,13.0,0.606,0.39,-1.37,2528.0,2334.0,2009
nan,,,,,,,,2009
School,,,,,,,,2009
Bethune-Cookman,17.0,16.0,0.515,-12.41,-9.76,1926.0,1941.0,2009
Binghamton,23.0,9.0,0.719,-3.27,-5.62,2239.0,2156.0,2009
Boise State,19.0,13.0,0.594,-0.95,0.54,2329.0,2315.0,2009
Boston College,22.0,12.0,0.647,10.36,7.23,2528.0,2397.0,2009
Boston University,17.0,13.0,0.567,-2.61,-4.91,2058.0,1989.0,2009
Bowling Green,19.0,14.0,0.576,0.09,-1.75,2126.0,2020.0,2009
Bradley,21.0,15.0,0.583,2.48,1.95,2415.0,2387.0,2009
Brigham Young,25.0,8.0,0.758,15.12,4.15,2544.0,2150.0,2009
Brown,9.0,19.0,0.321,-12.39,-5.02,1712.0,1898.0,2009
Bryant,8.0,21.0,0.276,,,1670.0,1969.0,2009
Bucknell,7.0,23.0,0.233,-11.59,-4.12,1928.0,2152.0,2009
Buffalo,21.0,12.0,0.636,1.44,-0.9,2155.0,2078.0,2009
Butler,26.0,6.0,0.813,10.07,2.07,2168.0,1854.0,2009
Cal Poly,7.0,21.0,0.25,-8.32,-1.32,1822.0,1964.0,2009
Cal State Bakersfield,8.0,21.0,0.276,,,1875.0,2094.0,2009
Cal State Fullerton,15.0,17.0,0.469,-4.2,-1.26,2345.0,2356.0,2009
Cal State Northridge,17.0,14.0,0.548,2.65,-0.14,2282.0,2178.0,2009
California,22.0,11.0,0.667,13.3,7.21,2472.0,2271.0,2009
Campbell,14.0,16.0,0.467,-7.97,-3.42,2164.0,2153.0,2009
Canisius,11.0,20.0,0.355,-6.46,-1.68,1949.0,2097.0,2009
nan,,,,,,,,2009
School,,,,,,,,2009
Centenary (LA),8.0,23.0,0.258,-8.46,-1.56,1993.0,2207.0,2009
Central Arkansas,10.0,19.0,0.345,,,1841.0,2008.0,2009
Central Connecticut State,13.0,17.0,0.433,-10.35,-6.76,1943.0,2043.0,2009
Central Michigan,12.0,19.0,0.387,-7.06,-4.15,1928.0,2018.0,2009
Charleston Southern,9.0,20.0,0.31,-14.07,-5.46,2000.0,2091.0,2009
Charlotte,11.0,20.0,0.355,0.79,2.47,2130.0,2182.0,2009
Chattanooga,18.0,17.0,0.514,-6.25,-3.13,2657.0,2687.0,2009
Chicago State,19.0,13.0,0.594,-5.97,-4.51,2693.0,2577.0,2009
Cincinnati,18.0,14.0,0.563,7.83,6.77,2187.0,2123.0,2009
Clemson,23.0,9.0,0.719,15.56,6.59,2507.0,2177.0,2009
Cleveland State,26.0,11.0,0.703,6.97,2.12,2455.0,2203.0,2009
Coastal Carolina,11.0,20.0,0.355,-11.74,-6.98,2148.0,2193.0,2009
Colgate,10.0,20.0,0.333,-13.26,-6.12,1701.0,1895.0,2009
College of Charleston,27.0,9.0,0.75,-1.33,-5.87,2781.0,2616.0,2009
Colorado,9.0,22.0,0.29,-0.06,5.04,1951.0,2091.0,2009
Colorado State,9.0,22.0,0.29,-1.16,3.88,2142.0,2300.0,2009
Columbia,12.0,16.0,0.429,-9.92,-6.46,1689.0,1740.0,2009
Connecticut,31.0,5.0,0.861,22.17,8.57,2819.0,2313.0,2009
