team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,13.0,16.0,0.448,-11.86,-7.1,2009.0,2073.0,2017
Air Force,12.0,21.0,0.364,-3.06,1.0,2411.0,2477.0,2017
Akron,27.0,9.0,0.75,3.59,-1.21,2772.0,2550.0,2017
Alabama,19.0,15.0,0.559,11.29,7.47,2330.0,2200.0,2017
Alabama A&M,2.0,27.0,0.069,-26.99,-11.09,1794.0,2255.0,2017
Alabama State,8.0,23.0,0.258,-19.75,-10.75,2042.0,2305.0,2017
Albany (NY),21.0,14.0,0.6,-0.16,-4.69,2496.0,2301.0,2017
Alcorn State,18.0,14.0,0.563,-12.33,-10.95,2221.0,2175.0,2017
American,8.0,22.0,0.267,-10.3,-3.5,1845.0,2049.0,2017
Appalachian State,9.0,21.0,0.3,-8.67,-1.6,2208.0,2279.0,2017
Arizona,32.0,5.0,0.865,18.25,7.63,2833.0,2440.0,2017
Arizona State,15.0,18.0,0.455,4.02,7.11,2593.0,2695.0,2017
Arkansas,26.0,10.0,0.722,14.04,8.6,2855.0,2659.0,2017
Arkansas State,20.0,12.0,0.625,0.87,-2.1,2346.0,2211.0,2017
Arkansas-Pine Bluff,7.0,25.0,0.219,-22.81,-10.28,1977.0,2320.0,2017
Army,13.0,19.0,0.406,-5.84,-4.1,2324.0,2340.0,2017
Auburn,18.0,14.0,0.563,8.17,7.33,2573.0,2546.0,2017
Austin Peay,11.0,19.0,0.367,-11.0,-2.32,2331.0,2515.0,2017
Ball State,21.0,13.0,0.618,-1.45,-3.57,2677.0,2567.0,2017
Baylor,27.0,8.0,0.771,19.75,11.87,2550.0,2228.0,2017
nan,,,,,,,,2017
School,,,,,,,,2017
Belmont,23.0,7.0,0.767,4.28,-1.69,2302.0,2078.0,2017
Bethune-Cookman,10.0,22.0,0.313,-19.44,-11.21,2275.0,2490.0,2017
Binghamton,12.0,20.0,0.375,-11.99,-5.79,2175.0,2270.0,2017
Boise State,20.0,12.0,0.625,5.52,2.72,2404.0,2278.0,2017
Boston College,9.0,23.0,0.281,2.2,8.08,2320.0,2508.0,2017
Boston University,18.0,14.0,0.563,-2.43,-3.66,2339.0,2264.0,2017
Bowling Green,13.0,19.0,0.406,-6.0,-2.0,2355.0,2453.0,2017
Bradley,13.0,20.0,0.394,-2.84,2.94,2163.0,2333.0,2017
