team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,13.0,18.0,0.419,-13.93,-7.53,2209.0,2272.0,2016
Air Force,14.0,18.0,0.438,-5.51,0.66,2189.0,2330.0,2016
Akron,26.0,9.0,0.743,5.55,-1.24,2682.0,2381.0,2016
Alabama,18.0,15.0,0.545,7.14,8.62,2193.0,2242.0,2016
Alabama A&M,11.0,18.0,0.379,-13.47,-10.75,1974.0,2042.0,2016
Alabama State,14.0,17.0,0.452,-13.11,-9.35,2217.0,2308.0,2016
Albany (NY),24.0,9.0,0.727,0.93,-7.57,2495.0,2180.0,2016
Alcorn State,15.0,15.0,0.5,-16.01,-9.94,2014.0,2164.0,2016
American,12.0,19.0,0.387,-14.18,-6.08,1785.0,2036.0,2016
Appalachian State,9.0,22.0,0.29,-7.91,-1.1,2187.0,2398.0,2016
Arizona,25.0,9.0,0.735,18.79,7.23,2735.0,2342.0,2016
Arizona State,15.0,17.0,0.469,8.28,8.96,2345.0,2367.0,2016
Arkansas,16.0,16.0,0.5,10.23,6.76,2501.0,2390.0,2016
Arkansas State,11.0,20.0,0.355,-7.48,-2.37,2282.0,2353.0,2016
Arkansas-Pine Bluff,8.0,25.0,0.242,-19.31,-5.52,1867.0,2322.0,2016
Army,19.0,14.0,0.576,-7.32,-8.13,2539.0,2474.0,2016
Auburn,11.0,20.0,0.355,0.15,7.54,2192.0,2421.0,2016
Austin Peay,18.0,18.0,0.5,-6.04,-2.98,2740.0,2765.0,2016
Ball State,21.0,14.0,0.6,0.11,-2.98,2479.0,2338.0,2016
Baylor,22.0,12.0,0.647,16.13,9.76,2621.0,2366.0,2016
nan,,,,,,,,2016
School,,,,,,,,2016
Belmont,20.0,12.0,0.625,1.19,-2.1,2638.0,2510.0,2016
Bethune-Cookman,14.0,18.0,0.438,-14.35,-9.18,2258.0,2330.0,2016
Binghamton,8.0,22.0,0.267,-14.08,-6.35,1827.0,2059.0,2016
Boise State,20.0,12.0,0.625,7.23,3.13,2480.0,2246.0,2016
Boston College,7.0,25.0,0.219,-1.61,7.67,1959.0,2256.0,2016
Boston University,19.0,15.0,0.559,-6.79,-6.37,2483.0,2464.0,2016
Bowling Green,16.0,18.0,0.471,-5.88,-1.85,2400.0,2457.0,2016
Bradley,5.0,27.0,0.156,-10.91,3.7,1793.0,2238.0,2016
Brigham Young,26.0,11.0,0.703,12.36,2.36,3093.0,2692.0,2016
Brown,8.0,20.0,0.286,-8.05,-2.82,2040.0,2155.0,2016
Bryant,8.0,23.0,0.258,-18.58,-6.71,2018.0,2361.0,2016
Bucknell,17.0,14.0,0.548,-2.09,-5.89,2448.0,2288.0,2016
Buffalo,20.0,15.0,0.571,1.34,0.9,2709.0,2634.0,2016
Butler,22.0,11.0,0.667,16.46,7.55,2638.0,2344.0,2016
Cal Poly,10.0,20.0,0.333,-3.49,0.9,2171.0,2255.0,2016
