team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Eastern Michigan,14.0,17.0,0.452,-3.18,-1.82,2054.0,2096.0,2008
Eastern Washington,11.0,19.0,0.367,-7.38,-2.06,1897.0,2012.0,2008
Elon,14.0,19.0,0.424,-4.71,-1.91,2074.0,2156.0,2008
Evansville,9.0,21.0,0.3,-4.62,2.07,1785.0,1966.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Fairfield,14.0,16.0,0.467,-5.67,-2.51,1972.0,2067.0,2008
FDU,8.0,20.0,0.286,-13.27,-5.12,1961.0,2189.0,2008
Florida,24.0,12.0,0.667,12.34,4.98,2791.0,2433.0,2008
Florida A&M,15.0,17.0,0.469,-15.45,-7.18,2065.0,2248.0,2008
Florida Atlantic,15.0,18.0,0.455,-5.64,-2.38,2365.0,2446.0,2008
Florida Gulf Coast,10.0,21.0,0.323,,,2045.0,2286.0,2008
Florida International,9.0,20.0,0.31,-7.09,0.22,1855.0,2025.0,2008
Florida State,19.0,15.0,0.559,10.4,7.31,2451.0,2346.0,2008
Fordham,12.0,17.0,0.414,-0.16,4.32,1880.0,1947.0,2008
Fresno State,13.0,19.0,0.406,-2.99,-0.91,2200.0,2218.0,2008
Furman,7.0,23.0,0.233,-12.73,-2.39,1837.0,2142.0,2008
Gardner-Webb,16.0,16.0,0.5,-4.01,-3.66,2465.0,2415.0,2008
George Mason,23.0,11.0,0.676,6.07,-0.75,2356.0,2124.0,2008
George Washington,9.0,17.0,0.346,-1.7,3.15,1649.0,1775.0,2008
Georgetown,28.0,6.0,0.824,18.73,7.23,2367.0,1976.0,2008
Georgia,17.0,17.0,0.5,7.24,7.03,2314.0,2290.0,2008
Georgia Southern,20.0,12.0,0.625,-0.07,-2.17,2400.0,2286.0,2008
Georgia State,9.0,21.0,0.3,-7.6,-2.97,1847.0,1987.0,2008
Georgia Tech,15.0,17.0,0.469,10.77,9.57,2482.0,2432.0,2008
Gonzaga,25.0,8.0,0.758,14.81,2.15,2524.0,2106.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Grambling,7.0,19.0,0.269,-23.49,-12.41,1733.0,2004.0,2008
Green Bay,15.0,15.0,0.5,-0.04,1.53,2071.0,2100.0,2008
Hampton,18.0,12.0,0.6,-5.57,-8.03,1955.0,1879.0,2008
Hartford,18.0,16.0,0.529,-8.75,-5.28,2407.0,2525.0,2008
Harvard,8.0,22.0,0.267,-10.76,-4.86,2056.0,2233.0,2008
Hawaii,11.0,19.0,0.367,-5.32,-2.42,2111.0,2198.0,2008
High Point,17.0,14.0,0.548,-5.1,-6.41,2201.0,1944.0,2008
Hofstra,12.0,18.0,0.4,-5.93,-3.0,1989.0,2077.0,2008
Holy Cross,15.0,14.0,0.517,-2.67,-3.6,1781.0,1754.0,2008
Houston,24.0,10.0,0.706,8.4,-0.16,2681.0,2390.0,2008
Howard,6.0,26.0,0.188,-22.46,-7.73,1817.0,2268.0,2008
Idaho,8.0,21.0,0.276,-10.75,-1.04,1879.0,2077.0,2008
Idaho State,12.0,19.0,0.387,-12.0,-2.14,1856.0,2130.0,2008
Illinois,16.0,19.0,0.457,10.98,8.46,2227.0,2139.0,2008
Illinois State,25.0,10.0,0.714,8.64,3.44,2286.0,2076.0,2008
Illinois-Chicago,18.0,15.0,0.545,3.04,0.64,2246.0,2143.0,2008
Indiana,25.0,8.0,0.758,15.78,6.08,2476.0,2156.0,2008
Indiana State,15.0,16.0,0.484,1.48,4.11,2019.0,2065.0,2008
Iona,12.0,20.0,0.375,-6.71,-3.27,2099.0,2209.0,2008
Iowa,13.0,19.0,0.406,2.77,5.23,1794.0,1857.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Iowa State,14.0,18.0,0.438,3.97,7.97,2048.0,2100.0,2008
IU Indy,26.0,7.0,0.788,5.13,-2.41,2510.0,2132.0,2008
Jackson State,14.0,20.0,0.412,-16.14,-10.78,2340.0,2522.0,2008
Jacksonville,18.0,13.0,0.581,-8.09,-3.61,2248.0,2260.0,2008
Jacksonville State,7.0,22.0,0.241,-15.34,-8.59,2098.0,2251.0,2008
James Madison,13.0,17.0,0.433,-5.13,-4.09,2188.0,2219.0,2008
Kansas,37.0,3.0,0.925,26.9,8.2,3221.0,2460.0,2008
Kansas City,11.0,21.0,0.344,-6.97,-0.37,2198.0,2384.0,2008
Kansas State,21.0,12.0,0.636,15.79,7.79,2574.0,2274.0,2008
Kennesaw State,10.0,20.0,0.333,,,2054.0,2235.0,2008
Kent State,28.0,7.0,0.8,7.47,0.41,2412.0,2165.0,2008
Kentucky,18.0,13.0,0.581,9.19,7.09,2124.0,2034.0,2008
La Salle,15.0,17.0,0.469,-0.19,2.08,2424.0,2439.0,2008
Lafayette,15.0,15.0,0.5,-4.57,-4.68,2247.0,2219.0,2008
Lamar,19.0,11.0,0.633,-2.41,-4.1,2445.0,2206.0,2008
Lehigh,14.0,15.0,0.483,-7.74,-5.82,1850.0,1895.0,2008
Liberty,16.0,16.0,0.5,-6.1,-5.96,2222.0,2133.0,2008
Lipscomb,15.0,16.0,0.484,-4.97,-4.88,2216.0,2175.0,2008
Little Rock,20.0,11.0,0.645,-3.26,-4.26,2024.0,1920.0,2008
Long Beach State,6.0,25.0,0.194,-12.89,-2.92,1944.0,2242.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Long Island University,15.0,15.0,0.5,-6.02,-6.72,2172.0,2151.0,2008
Longwood,9.0,22.0,0.29,-18.73,-4.92,2120.0,2394.0,2008
Louisiana,15.0,15.0,0.5,-3.67,-2.1,1951.0,1975.0,2008
Louisiana State,13.0,18.0,0.419,4.99,5.66,2131.0,2145.0,2008
Louisiana Tech,6.0,24.0,0.2,-15.42,-4.35,1824.0,2155.0,2008
Louisiana-Monroe,10.0,21.0,0.323,-8.28,-0.39,2108.0,2243.0,2008
Louisville,27.0,9.0,0.75,19.0,8.0,2611.0,2215.0,2008
Loyola (IL),12.0,19.0,0.387,-4.14,0.55,1900.0,1976.0,2008
Loyola (MD),19.0,14.0,0.576,-2.85,-3.2,2365.0,2336.0,2008
Loyola Marymount,5.0,26.0,0.161,-16.94,-0.05,1918.0,2435.0,2008
Maine,7.0,23.0,0.233,-16.25,-4.89,1912.0,2157.0,2008
Manhattan,12.0,19.0,0.387,-7.98,-4.61,2147.0,2206.0,2008
Marist,18.0,14.0,0.563,-0.68,-1.83,2237.0,2200.0,2008
Marquette,25.0,10.0,0.714,18.62,8.09,2658.0,2269.0,2008
Marshall,16.0,14.0,0.533,2.17,2.17,2018.0,1971.0,2008
Maryland,19.0,15.0,0.559,9.74,7.28,2483.0,2373.0,2008
Maryland-Baltimore County,24.0,9.0,0.727,0.06,-4.53,2450.0,2258.0,2008
Maryland-Eastern Shore,4.0,28.0,0.125,-23.75,-7.82,1878.0,2394.0,2008
Massachusetts,25.0,11.0,0.694,9.6,3.77,2934.0,2724.0,2008
McNeese State,13.0,16.0,0.448,-9.43,-3.59,1875.0,1931.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Memphis,38.0,2.0,0.95,23.73,5.76,3196.0,2477.0,2008
Mercer,11.0,19.0,0.367,-9.81,-5.68,2285.0,2354.0,2008
Miami (FL),23.0,11.0,0.676,12.38,7.13,2542.0,2309.0,2008
Miami (OH),17.0,16.0,0.515,5.73,3.82,2062.0,1999.0,2008
Michigan,10.0,22.0,0.313,3.05,7.99,2006.0,2164.0,2008
Michigan State,27.0,9.0,0.75,16.32,7.68,2564.0,2253.0,2008
Middle Tennessee,17.0,15.0,0.531,-2.78,-0.23,2180.0,2216.0,2008
Milwaukee,14.0,16.0,0.467,-0.99,2.19,2007.0,2062.0,2008
Minnesota,20.0,14.0,0.588,10.27,6.5,2322.0,2150.0,2008
Mississippi,24.0,11.0,0.686,12.29,5.88,2781.0,2552.0,2008
Mississippi State,23.0,11.0,0.676,13.42,5.74,2489.0,2228.0,2008
Mississippi Valley State,17.0,16.0,0.515,-15.28,-9.5,2036.0,2174.0,2008
Missouri,16.0,16.0,0.5,11.75,6.87,2468.0,2312.0,2008
Missouri State,17.0,16.0,0.515,5.65,3.43,2236.0,2146.0,2008
Monmouth,7.0,24.0,0.226,-13.13,-5.22,1834.0,2079.0,2008
Montana,14.0,16.0,0.467,-4.23,-4.0,2081.0,1998.0,2008
