team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,18.0,14.0,0.563,4.06,4.16,2241.0,2170.0,2013
Akron,26.0,7.0,0.788,8.12,0.18,2369.0,2071.0,2013
Alabama,23.0,13.0,0.639,9.82,5.96,2268.0,2102.0,2013
Alabama A&M,11.0,20.0,0.355,-18.41,-9.82,1957.0,2160.0,2013
Alabama State,10.0,22.0,0.313,-17.9,-9.03,1979.0,2231.0,2013
Albany (NY),24.0,11.0,0.686,-0.86,-4.51,2251.0,2123.0,2013
Alcorn State,10.0,24.0,0.294,-14.27,-7.11,2055.0,2248.0,2013
American,10.0,20.0,0.333,-8.55,-2.52,1735.0,1916.0,2013
Appalachian State,15.0,16.0,0.484,-7.88,-5.74,2211.0,2221.0,2013
Arizona,27.0,8.0,0.771,17.31,7.48,2570.0,2226.0,2013
Arizona State,22.0,13.0,0.629,8.82,4.57,2512.0,2363.0,2013
Arkansas,19.0,13.0,0.594,9.83,4.99,2358.0,2203.0,2013
Arkansas State,19.0,12.0,0.613,0.79,-4.34,2127.0,1944.0,2013
Arkansas-Pine Bluff,16.0,14.0,0.533,-12.21,-8.28,1880.0,1998.0,2013
Army,16.0,15.0,0.516,-1.48,-4.51,2245.0,2112.0,2013
Auburn,9.0,23.0,0.281,0.23,4.2,2074.0,2201.0,2013
Austin Peay,8.0,23.0,0.258,-12.31,-4.28,2218.0,2371.0,2013
Ball State,15.0,15.0,0.5,-6.7,-3.14,1957.0,2041.0,2013
Baylor,23.0,14.0,0.622,15.07,7.12,2811.0,2456.0,2013
Belmont,26.0,7.0,0.788,10.41,-0.92,2533.0,2129.0,2013
nan,,,,,,,,2013
School,,,,,,,,2013
Bethune-Cookman,14.0,20.0,0.412,-9.51,-6.41,2283.0,2318.0,2013
Binghamton,3.0,27.0,0.1,-18.51,-3.68,1676.0,2081.0,2013
Boise State,21.0,11.0,0.656,9.38,5.21,2343.0,2095.0,2013
Boston College,16.0,17.0,0.485,6.11,7.04,2215.0,2246.0,2013
Boston University,17.0,13.0,0.567,-0.58,-3.92,2035.0,1935.0,2013
Bowling Green,13.0,19.0,0.406,-3.32,-1.75,2010.0,2033.0,2013
Bradley,18.0,17.0,0.514,1.25,1.96,2371.0,2396.0,2013
Brigham Young,24.0,12.0,0.667,10.63,3.72,2777.0,2502.0,2013
Brown,13.0,15.0,0.464,-6.32,-3.02,1748.0,1800.0,2013
Bryant,19.0,12.0,0.613,-2.07,-4.71,2294.0,2212.0,2013
Bucknell,28.0,6.0,0.824,6.96,-1.95,2277.0,1966.0,2013
Buffalo,14.0,20.0,0.412,-1.94,-0.34,2275.0,2287.0,2013
Butler,27.0,9.0,0.75,11.01,6.09,2495.0,2299.0,2013
Cal Poly,18.0,14.0,0.563,-0.77,-0.94,2074.0,2020.0,2013
Cal State Bakersfield,14.0,16.0,0.467,-6.49,-2.22,2041.0,2070.0,2013
Cal State Fullerton,14.0,18.0,0.438,-3.27,-3.33,2451.0,2381.0,2013
Cal State Northridge,14.0,17.0,0.452,-4.18,-2.22,2333.0,2309.0,2013
California,21.0,12.0,0.636,10.59,7.71,2218.0,2123.0,2013
Campbell,13.0,20.0,0.394,-10.23,-5.53,2284.0,2395.0,2013
Canisius,20.0,14.0,0.588,2.38,-0.98,2499.0,2385.0,2013
nan,,,,,,,,2013
School,,,,,,,,2013
Central Arkansas,13.0,17.0,0.433,-10.89,-6.14,2294.0,2359.0,2013
Central Connecticut State,13.0,17.0,0.433,-8.23,-4.03,2186.0,2312.0,2013
Central Michigan,11.0,20.0,0.355,-6.15,-1.22,2092.0,2226.0,2013
Charleston Southern,19.0,13.0,0.594,-1.92,-5.48,2361.0,2144.0,2013
Charlotte,21.0,12.0,0.636,2.72,2.78,2229.0,2231.0,2013
Chattanooga,13.0,19.0,0.406,-10.43,-4.93,2218.0,2318.0,2013
Chicago State,11.0,22.0,0.333,-11.79,-4.92,2151.0,2276.0,2013
Cincinnati,22.0,12.0,0.647,14.47,6.94,2262.0,2006.0,2013
Clemson,13.0,18.0,0.419,5.85,4.46,1907.0,1864.0,2013
Cleveland State,14.0,18.0,0.438,-7.33,-0.16,2051.0,2226.0,2013
