team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,27.0,7.0,0.794,-1.91,-7.34,2502.0,2161.0,2019
Air Force,14.0,18.0,0.438,-4.28,0.24,2179.0,2294.0,2019
Akron,17.0,16.0,0.515,4.86,1.09,2271.0,2107.0,2019
Alabama,18.0,16.0,0.529,9.45,9.01,2448.0,2433.0,2019
Alabama A&M,5.0,27.0,0.156,-19.23,-8.38,1938.0,2285.0,2019
Alabama State,12.0,19.0,0.387,-15.6,-7.84,2086.0,2235.0,2019
Albany (NY),12.0,20.0,0.375,-9.38,-6.7,2150.0,2216.0,2019
Alcorn State,10.0,21.0,0.323,-22.08,-8.97,1995.0,2194.0,2019
American,15.0,15.0,0.5,-4.19,-7.23,2161.0,2070.0,2019
Appalachian State,11.0,21.0,0.344,-3.73,0.1,2557.0,2539.0,2019
Arizona,17.0,15.0,0.531,8.32,6.32,2269.0,2205.0,2019
Arizona State,23.0,11.0,0.676,10.28,6.04,2638.0,2494.0,2019
Arkansas,18.0,16.0,0.529,11.75,8.78,2559.0,2458.0,2019
Arkansas State,13.0,19.0,0.406,-7.1,-1.23,2359.0,2475.0,2019
Arkansas-Pine Bluff,13.0,19.0,0.406,-14.43,-8.18,2108.0,2269.0,2019
Army,13.0,19.0,0.406,-7.57,-4.73,2268.0,2305.0,2019
Auburn,30.0,10.0,0.75,20.84,10.92,3188.0,2750.0,2019
Austin Peay,22.0,11.0,0.667,0.59,-4.41,2712.0,2413.0,2019
Ball State,16.0,17.0,0.485,3.39,1.21,2478.0,2362.0,2019
Baylor,20.0,14.0,0.588,13.38,9.26,2442.0,2302.0,2019
nan,,,,,,,,2019
School,,,,,,,,2019
Belmont,27.0,6.0,0.818,9.12,-2.6,2868.0,2439.0,2019
Bethune-Cookman,14.0,17.0,0.452,-11.98,-9.74,2290.0,2245.0,2019
Binghamton,10.0,23.0,0.303,-13.92,-4.69,2152.0,2376.0,2019
Boise State,13.0,20.0,0.394,3.61,1.08,2364.0,2263.0,2019
Boston College,14.0,17.0,0.452,5.83,7.76,2196.0,2256.0,2019
Boston University,15.0,18.0,0.455,-6.61,-5.39,2385.0,2387.0,2019
Bowling Green,22.0,12.0,0.647,4.24,0.86,2668.0,2496.0,2019
Bradley,20.0,15.0,0.571,-0.08,-0.9,2329.0,2285.0,2019
Brigham Young,19.0,13.0,0.594,6.15,3.31,2527.0,2436.0,2019
Brown,20.0,12.0,0.625,-0.62,-3.29,2355.0,2204.0,2019
Bryant,10.0,20.0,0.333,-15.19,-7.66,2088.0,2314.0,2019
Bucknell,21.0,12.0,0.636,0.59,-2.93,2534.0,2418.0,2019
Buffalo,32.0,4.0,0.889,15.56,2.62,3037.0,2550.0,2019
Butler,16.0,17.0,0.485,9.22,8.1,2374.0,2337.0,2019
Cal Poly,6.0,23.0,0.207,-13.95,-3.54,1930.0,2183.0,2019
Cal State Bakersfield,18.0,16.0,0.529,-5.12,-2.63,2412.0,2412.0,2019
Cal State Fullerton,16.0,18.0,0.471,-3.29,-1.14,2437.0,2414.0,2019
Cal State Northridge,13.0,21.0,0.382,-6.54,-3.39,2601.0,2701.0,2019
California,8.0,23.0,0.258,-3.16,5.42,2121.0,2387.0,2019
California Baptist,16.0,15.0,0.516,-3.89,-4.12,2403.0,2241.0,2019
nan,,,,,,,,2019
School,,,,,,,,2019
Campbell,20.0,13.0,0.606,-3.62,-4.39,2495.0,2328.0,2019
Canisius,15.0,17.0,0.469,-8.79,-4.85,2250.0,2376.0,2019
Central Arkansas,14.0,19.0,0.424,-11.37,-4.81,2383.0,2498.0,2019
Central Connecticut State,11.0,20.0,0.355,-14.02,-6.71,2205.0,2367.0,2019
Central Michigan,23.0,12.0,0.657,2.79,-0.34,2896.0,2690.0,2019
