year,round,region,slot,team1,seed1,score1,team2,seed2,score2,winner
2009,R64,Midwest,4,Wake Forest,4,69.0,Cleveland State,13,84.0,Cleveland State
2009,R64,Midwest,5,West Virginia,6,60.0,Dayton,11,68.0,Dayton
2009,R64,Midwest,6,Kansas,3,84.0,North Dakota State,14,74.0,Kansas
2009,R64,Midwest,7,Boston College,7,55.0,USC,10,72.0,USC
2009,R64,Midwest,8,Michigan State,2,77.0,Robert Morris,15,62.0,Michigan State
2009,R32,Midwest,1,Louisville,1,79.0,Siena,9,72.0,Louisville
2009,R32,Midwest,2,Arizona,12,71.0,Cleveland State,13,57.0,Arizona
2009,R32,Midwest,3,Dayton,11,43.0,Kansas,3,60.0,Kansas
2009,R32,Midwest,4,USC,10,69.0,Michigan State,2,74.0,Michigan State
2009,S16,Midwest,1,Louisville,1,103.0,Arizona,12,64.0,Louisville
2009,S16,Midwest,2,Kansas,3,62.0,Michigan State,2,67.0,Michigan State
2009,E8,Midwest,1,Louisville,1,52.0,Michigan State,2,64.0,Michigan State
2009,R64,South,1,UNC,1,101.0,Radford,16,58.0,UNC
2009,R64,South,2,LSU,8,75.0,Butler,9,71.0,LSU
2009,R64,South,3,Illinois,5,72.0,Western Kentucky,12,76.0,Western Kentucky
2009,R64,South,4,Gonzaga,4,77.0,Akron,13,64.0,Gonzaga
2009,R64,South,5,Arizona State,6,66.0,Temple,11,57.0,Arizona State
2009,R64,South,6,Syracuse,3,59.0,Stephen F. Austin,14,44.0,Syracuse
2009,R64,South,7,Clemson,7,59.0,Michigan,10,62.0,Michigan
2009,R64,South,8,Oklahoma,2,82.0,Morgan State,15,54.0,Oklahoma
2009,R32,South,1,UNC,1,84.0,LSU,8,70.0,UNC
2009,R32,South,2,Western Kentucky,12,81.0,Gonzaga,4,83.0,Gonzaga
2009,R32,South,3,Arizona State,6,67.0,Syracuse,3,78.0,Syracuse
2009,R32,South,4,Michigan,10,63.0,Oklahoma,2,73.0,Oklahoma
2009,S16,South,1,UNC,1,98.0,Gonzaga,4,77.0,UNC
2009,S16,South,2,Syracuse,3,71.0,Oklahoma,2,84.0,Oklahoma
2009,E8,South,1,UNC,1,72.0,Oklahoma,2,60.0,UNC
2009,R64,West,1,UConn,1,103.0,Chattanooga,16,47.0,UConn
2009,R64,West,2,BYU,8,66.0,Texas A&M,9,79.0,Texas A&M
2009,R64,West,3,Purdue,5,61.0,Northern Iowa,12,56.0,Purdue
2009,R64,West,4,Washington,4,71.0,Mississippi State,13,58.0,Washington
2009,R64,West,5,Marquette,6,58.0,Utah State,11,57.0,Marquette
2009,R64,West,6,Missouri,3,78.0,Cornell,14,59.0,Missouri
2009,R64,West,7,California,7,71.0,Maryland,10,84.0,Maryland
2009,R64,West,8,Memphis,2,81.0,Cal State Northridge,15,70.0,Memphis
2009,R32,West,1,UConn,1,92.0,Texas A&M,9,66.0,UConn
2009,R32,West,2,Purdue,5,76.0,Washington,4,74.0,Purdue
2009,R32,West,3,Marquette,6,79.0,Missouri,3,83.0,Missouri
2009,R32,West,4,Maryland,10,70.0,Memphis,2,89.0,Memphis
2009,S16,West,1,UConn,1,72.0,Purdue,5,60.0,UConn
2009,S16,West,2,Missouri,3,102.0,Memphis,2,91.0,Missouri
2009,E8,West,1,UConn,1,82.0,Missouri,3,75.0,UConn
2009,F4,,1,Villanova,3,69.0,UNC,1,83.0,UNC
2009,F4,,2,Michigan State,2,82.0,UConn,1,73.0,Michigan State
2009,NCG,,1,UNC,1,89.0,Michigan State,2,72.0,UNC
2010,R64,East,1,Kentucky,1,100.0,ETSU,16,71.0,Kentucky
2010,R64,East,2,Texas,8,80.0,Wake Forest,9,81.0,Wake Forest
2010,R64,East,3,Temple,5,65.0,Cornell,12,78.0,Cornell
2010,R64,East,4,Wisconsin,4,53.0,Wofford,13,49.0,Wisconsin
2010,R64,East,5,Marquette,6,78.0,Washington,11,80.0,Washington
2010,R64,East,6,New Mexico,3,62.0,Montana,14,57.0,New Mexico
2010,R64,East,7,Clemson,7,78.0,Missouri,10,86.0,Missouri
2010,R64,East,8,West Virginia,2,77.0,Morgan State,15,50.0,West Virginia
2010,R32,East,1,Kentucky,1,90.0,Wake Forest,9,60.0,Kentucky
2010,R32,East,2,Cornell,12,87.0,Wisconsin,4,69.0,Cornell
2010,R32,East,3,Washington,11,82.0,New Mexico,3,64.0,Washington
2010,R32,East,4,Missouri,10,59.0,West Virginia,2,68.0,West Virginia
2010,S16,East,1,Kentucky,1,62.0,Cornell,12,45.0,Kentucky
2010,S16,East,2,Washington,11,56.0,West Virginia,2,69.0,West Virginia
2010,E8,East,1,Kentucky,1,66.0,West Virginia,2,73.0,West Virginia
2010,R64,Midwest,1,Kansas,1,90.0,Lehigh,16,74.0,Kansas
2010,R64,Midwest,2,UNLV,8,66.0,Northern Iowa,9,69.0,Northern Iowa
2010,R64,Midwest,3,Michigan State,5,70.0,New Mexico State,12,67.0,Michigan State
2010,R64,Midwest,4,Maryland,4,89.0,Houston,13,77.0,Maryland
2010,R64,Midwest,5,Tennessee,6,62.0,San Diego State,11,59.0,Tennessee
2010,R64,Midwest,6,Georgetown,3,83.0,Ohio,14,97.0,Ohio
2010,R64,Midwest,7,Oklahoma State,7,59.0,Georgia Tech,10,64.0,Georgia Tech
2010,R64,Midwest,8,Ohio State,2,68.0,UC Santa Barbara,15,51.0,Ohio State
2010,R32,Midwest,1,Kansas,1,67.0,Northern Iowa,9,69.0,Northern Iowa
2010,R32,Midwest,2,Michigan State,5,85.0,Maryland,4,83.0,Michigan State
2010,R32,Midwest,3,Tennessee,6,83.0,Ohio,14,68.0,Tennessee
2010,R32,Midwest,4,Georgia Tech,10,66.0,Ohio State,2,75.0,Ohio State
2010,S16,Midwest,1,Northern Iowa,9,52.0,Michigan State,5,59.0,Michigan State
2010,S16,Midwest,2,Tennessee,6,76.0,Ohio State,2,73.0,Tennessee
2010,E8,Midwest,1,Michigan State,5,70.0,Tennessee,6,69.0,Michigan State
2010,R64,South,1,Duke,1,73.0,Arkansas-Pine Bluff,16,44.0,Duke
2010,R64,South,2,California,8,77.0,Louisville,9,62.0,California
2010,R64,South,3,Texas A&M,5,69.0,Utah State,12,53.0,Texas A&M
2010,R64,South,4,Purdue,4,72.0,Siena,13,64.0,Purdue
2010,R64,South,5,Notre Dame,6,50.0,Old Dominion,11,51.0,Old Dominion
2010,R64,South,6,Baylor,3,68.0,Sam Houston,14,59.0,Baylor
2010,R64,South,7,Richmond,7,71.0,Saint Mary's,10,80.0,Saint Mary's
2010,R64,South,8,Villanova,2,73.0,Robert Morris,15,70.0,Villanova
2010,R32,South,1,Duke,1,68.0,California,8,53.0,Duke
2010,R32,South,2,Texas A&M,5,61.0,Purdue,4,63.0,Purdue
2010,R32,South,3,Old Dominion,11,68.0,Baylor,3,76.0,Baylor
2010,R32,South,4,Saint Mary's,10,75.0,Villanova,2,68.0,Saint Mary's
2010,S16,South,1,Duke,1,70.0,Purdue,4,57.0,Duke
2010,S16,South,2,Baylor,3,72.0,Saint Mary's,10,49.0,Baylor
2010,E8,South,1,Duke,1,78.0,Baylor,3,71.0,Duke
2010,R64,West,1,Syracuse,1,79.0,Vermont,16,56.0,Syracuse
2010,R64,West,2,Gonzaga,8,67.0,Florida State,9,60.0,Gonzaga
2010,R64,West,3,Butler,5,77.0,UTEP,12,59.0,Butler
2010,R64,West,4,Vanderbilt,4,65.0,Murray State,13,66.0,Murray State
2010,R64,West,5,Xavier,6,65.0,Minnesota,11,54.0,Xavier
2010,R64,West,6,Pitt,3,89.0,Oakland,14,66.0,Pitt
2010,R64,West,7,BYU,7,99.0,Florida,10,92.0,BYU
2010,R64,West,8,Kansas State,2,82.0,North Texas,15,62.0,Kansas State
2010,R32,West,1,Syracuse,1,87.0,Gonzaga,8,65.0,Syracuse
2010,R32,West,2,Butler,5,54.0,Murray State,13,52.0,Butler
2010,R32,West,3,Xavier,6,71.0,Pitt,3,68.0,Xavier
2010,R32,West,4,BYU,7,72.0,Kansas State,2,84.0,Kansas State
2010,S16,West,1,Syracuse,1,59.0,Butler,5,63.0,Butler
2010,S16,West,2,Xavier,6,96.0,Kansas State,2,101.0,Kansas State
2010,E8,West,1,Butler,5,63.0,Kansas State,2,56.0,Butler
2010,F4,,1,West Virginia,2,57.0,Duke,1,78.0,Duke
2010,F4,,2,Michigan State,5,50.0,Butler,5,52.0,Butler
2010,NCG,,1,Duke,1,61.0,Butler,5,59.0,Duke
2011,R64,East,1,Ohio State,1,75.0,UTSA,16,46.0,Ohio State
2011,R64,East,2,George Mason,8,61.0,Villanova,9,57.0,George Mason
2011,R64,East,3,West Virginia,5,84.0,Clemson,12,76.0,West Virginia
2011,R64,East,4,Kentucky,4,59.0,Princeton,13,57.0,Kentucky
2011,R64,East,5,Xavier,6,55.0,Marquette,11,66.0,Marquette
2011,R64,East,6,Syracuse,3,77.0,Indiana State,14,60.0,Syracuse
2011,R64,East,7,Washington,7,68.0,Georgia,10,65.0,Washington
2011,R64,East,8,UNC,2,102.0,LIU,15,87.0,UNC
2011,R32,East,1,Ohio State,1,98.0,George Mason,8,66.0,Ohio State
2011,R32,East,2,West Virginia,5,63.0,Kentucky,4,71.0,Kentucky
2011,R32,East,3,Marquette,11,66.0,Syracuse,3,62.0,Marquette
2011,R32,East,4,Washington,7,83.0,UNC,2,86.0,UNC
2011,S16,East,1,Ohio State,1,60.0,Kentucky,4,62.0,Kentucky
2011,S16,East,2,Marquette,11,63.0,UNC,2,81.0,UNC
2011,E8,East,1,Kentucky,4,76.0,UNC,2,69.0,Kentucky
2011,R64,Southeast,1,Pitt,1,74.0,UNC Asheville,16,51.0,Pitt
2011,R64,Southeast,2,Butler,8,60.0,Old Dominion,9,58.0,Butler
2011,R64,Southeast,3,Kansas State,5,73.0,Utah State,12,68.0,Kansas State
2011,R64,Southeast,4,Wisconsin,4,72.0,Belmont,13,58.0,Wisconsin
2011,R64,Southeast,5,St. John's (NY),6,71.0,Gonzaga,11,86.0,Gonzaga
2011,R64,Southeast,6,BYU,3,74.0,Wofford,14,66.0,BYU
2011,R64,Southeast,7,UCLA,7,78.0,Michigan State,10,76.0,UCLA
2011,R64,Southeast,8,Florida,2,79.0,UC Santa Barbara,15,51.0,Florida
2011,R32,Southeast,1,Pitt,1,70.0,Butler,8,71.0,Butler
2011,R32,Southeast,2,Kansas State,5,65.0,Wisconsin,4,70.0,Wisconsin
2011,R32,Southeast,3,Gonzaga,11,67.0,BYU,3,89.0,BYU
2011,R32,Southeast,4,UCLA,7,65.0,Florida,2,73.0,Florida
2011,S16,Southeast,1,Butler,8,61.0,Wisconsin,4,54.0,Butler
2011,S16,Southeast,2,BYU,3,74.0,Florida,2,83.0,Florida
2011,E8,Southeast,1,Butler,8,74.0,Florida,2,71.0,Butler
2011,R64,Southwest,1,Kansas,1,72.0,Boston University,16,53.0,Kansas
2011,R64,Southwest,2,UNLV,8,62.0,Illinois,9,73.0,Illinois
2011,R64,Southwest,3,Vanderbilt,5,66.0,Richmond,12,69.0,Richmond
2011,R64,Southwest,4,Louisville,4,61.0,Morehead State,13,62.0,Morehead State
2011,R64,Southwest,5,Georgetown,6,56.0,VCU,11,74.0,VCU
2011,R64,Southwest,6,Purdue,3,65.0,Saint Peter's,14,43.0,Purdue
2011,R64,Southwest,7,Texas A&M,7,50.0,Florida State,10,57.0,Florida State
2011,R64,Southwest,8,Notre Dame,2,69.0,Akron,15,56.0,Notre Dame
