team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
East Tennessee State,15.0,17.0,0.469,-2.76,-0.36,2306.0,2336.0,2022
Eastern Illinois,5.0,26.0,0.161,-21.07,-3.97,1746.0,2205.0,2022
Eastern Kentucky,13.0,18.0,0.419,-6.75,-5.38,2457.0,2327.0,2022
Eastern Michigan,10.0,21.0,0.323,-10.86,-3.03,2143.0,2356.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Eastern Washington,18.0,16.0,0.529,-5.2,-5.14,2613.0,2536.0,2022
Elon,10.0,22.0,0.313,-6.15,1.39,2147.0,2311.0,2022
Evansville,6.0,24.0,0.2,-10.95,1.4,1775.0,2122.0,2022
Fairfield,15.0,18.0,0.455,-3.88,-4.09,2239.0,2177.0,2022
FDU,4.0,22.0,0.154,-18.13,-6.21,1748.0,2058.0,2022
Florida,20.0,14.0,0.588,11.93,7.84,2400.0,2261.0,2022
Florida A&M,13.0,17.0,0.433,-12.05,-6.7,1952.0,2064.0,2022
Florida Atlantic,19.0,15.0,0.559,2.63,-1.82,2519.0,2315.0,2022
Florida Gulf Coast,22.0,12.0,0.647,-3.07,-4.91,2641.0,2505.0,2022
Florida International,15.0,17.0,0.469,-6.47,-3.27,2264.0,2274.0,2022
Florida State,17.0,14.0,0.548,6.39,7.32,2201.0,2230.0,2022
Fordham,16.0,16.0,0.5,-0.89,-0.2,2115.0,2137.0,2022
Fresno State,23.0,13.0,0.639,8.36,1.94,2384.0,2139.0,2022
Furman,22.0,12.0,0.647,6.2,-1.44,2640.0,2336.0,2022
Gardner-Webb,18.0,13.0,0.581,-2.35,-4.43,2154.0,1989.0,2022
George Mason,14.0,16.0,0.467,4.18,1.98,2122.0,2056.0,2022
George Washington,12.0,18.0,0.4,-4.07,0.4,2051.0,2185.0,2022
Georgetown,6.0,25.0,0.194,1.71,8.03,2192.0,2388.0,2022
Georgia,6.0,26.0,0.188,-0.63,8.06,2234.0,2512.0,2022
Georgia Southern,13.0,16.0,0.448,-7.04,-3.04,1927.0,1903.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Georgia State,18.0,11.0,0.621,-1.11,-1.34,2049.0,1906.0,2022
Georgia Tech,12.0,20.0,0.375,2.24,6.08,2195.0,2264.0,2022
Gonzaga,28.0,4.0,0.875,25.46,4.5,2790.0,2119.0,2022
Grambling,12.0,20.0,0.375,-12.35,-5.08,2092.0,2273.0,2022
Grand Canyon,23.0,8.0,0.742,5.81,-2.57,2204.0,1898.0,2022
Green Bay,5.0,25.0,0.167,-13.89,-5.44,1852.0,2068.0,2022
Hampton,9.0,19.0,0.321,-13.54,-6.0,1814.0,1946.0,2022
Hartford,12.0,20.0,0.375,-10.03,-7.69,2234.0,2309.0,2022
Harvard,13.0,13.0,0.5,-4.68,-4.2,1858.0,1797.0,2022
Hawaii,17.0,11.0,0.607,-0.52,-3.06,1928.0,1796.0,2022
