team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,13.0,16.0,0.448,-0.45,2.14,1786.0,1798.0,2012
Akron,22.0,12.0,0.647,6.33,0.72,2456.0,2241.0,2012
Alabama,21.0,12.0,0.636,13.76,7.18,2135.0,1918.0,2012
Alabama A&M,7.0,21.0,0.25,-19.33,-10.79,1764.0,1964.0,2012
Alabama State,12.0,19.0,0.387,-15.79,-9.96,1840.0,1995.0,2012
Albany (NY),19.0,15.0,0.559,-3.92,-6.92,2453.0,2351.0,2012
Alcorn State,10.0,22.0,0.313,-19.57,-10.61,2002.0,2187.0,2012
American,20.0,12.0,0.625,-3.12,-5.24,2059.0,1991.0,2012
Appalachian State,13.0,18.0,0.419,-6.93,-3.28,2121.0,2175.0,2012
Arizona,23.0,12.0,0.657,10.91,4.62,2416.0,2196.0,2012
Arizona State,10.0,21.0,0.323,-1.01,4.31,1891.0,2056.0,2012
Arkansas,18.0,14.0,0.563,5.76,3.63,2299.0,2231.0,2012
Arkansas State,14.0,20.0,0.412,-3.18,-0.52,2198.0,2239.0,2012
Arkansas-Pine Bluff,11.0,22.0,0.333,-16.77,-8.34,2013.0,2291.0,2012
Army,12.0,18.0,0.4,-11.26,-7.16,2027.0,2091.0,2012
Auburn,15.0,16.0,0.484,2.52,3.84,1942.0,1983.0,2012
Austin Peay,12.0,20.0,0.375,-4.86,-0.66,2216.0,2324.0,2012
Ball State,15.0,15.0,0.5,-2.93,-4.45,1901.0,1822.0,2012
Baylor,30.0,8.0,0.789,16.54,8.03,2839.0,2483.0,2012
Belmont,27.0,8.0,0.771,11.81,-1.22,2831.0,2363.0,2012
nan,,,,,,,,2012
School,,,,,,,,2012
Bethune-Cookman,18.0,17.0,0.514,-9.11,-7.05,2276.0,2319.0,2012
Binghamton,2.0,29.0,0.065,-20.14,-6.24,1762.0,2193.0,2012
Boise State,13.0,17.0,0.433,3.52,3.14,2050.0,1988.0,2012
Boston College,9.0,22.0,0.29,-4.54,4.89,1833.0,2125.0,2012
Boston University,16.0,16.0,0.5,-3.74,-4.09,2045.0,2034.0,2012
Bowling Green,16.0,16.0,0.5,1.23,0.07,2125.0,2046.0,2012
Bradley,7.0,25.0,0.219,-5.79,3.62,1955.0,2256.0,2012
Brigham Young,26.0,9.0,0.743,11.25,1.55,2727.0,2358.0,2012
Brown,8.0,23.0,0.258,-12.52,-3.62,1907.0,2154.0,2012
Bryant,2.0,28.0,0.067,-17.9,-4.27,1852.0,2261.0,2012
Bucknell,25.0,10.0,0.714,3.57,-3.08,2410.0,2147.0,2012
Buffalo,20.0,11.0,0.645,4.15,0.15,2262.0,2090.0,2012
Butler,22.0,15.0,0.595,2.86,1.14,2352.0,2245.0,2012
Cal Poly,18.0,15.0,0.545,-0.58,-3.78,2136.0,1998.0,2012
Cal State Bakersfield,16.0,15.0,0.516,-7.15,-3.65,2121.0,2154.0,2012
Cal State Fullerton,21.0,10.0,0.677,-1.18,-5.32,2417.0,2205.0,2012
Cal State Northridge,7.0,21.0,0.25,-12.65,-2.61,1908.0,2101.0,2012
California,24.0,10.0,0.706,13.79,4.53,2419.0,2104.0,2012
Campbell,17.0,15.0,0.531,-6.06,-4.8,2370.0,2361.0,2012
Canisius,5.0,25.0,0.167,-14.73,-4.53,1965.0,2271.0,2012
nan,,,,,,,,2012
School,,,,,,,,2012
Central Arkansas,8.0,21.0,0.276,-17.26,-4.83,2058.0,2371.0,2012
Central Connecticut State,13.0,16.0,0.448,-5.36,-5.05,2029.0,2038.0,2012
Central Michigan,11.0,21.0,0.344,-6.74,-1.62,1980.0,2134.0,2012
Charleston Southern,19.0,12.0,0.613,-2.19,-4.33,2383.0,2242.0,2012
Charlotte,13.0,17.0,0.433,0.99,2.86,2010.0,2066.0,2012
Chattanooga,11.0,21.0,0.344,-6.99,-3.54,2260.0,2204.0,2012
Chicago State,4.0,26.0,0.133,-19.3,-3.13,1884.0,2313.0,2012
Cincinnati,26.0,11.0,0.703,12.93,6.28,2522.0,2276.0,2012
Clemson,16.0,15.0,0.516,7.31,3.41,2001.0,1880.0,2012
