team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Abilene Christian,16.0,16.0,0.5,-5.84,-2.39,2260.0,2250.0,2025
Air Force,4.0,28.0,0.125,-8.07,3.65,1982.0,2357.0,2025
Akron,28.0,7.0,0.8,3.22,-3.75,2941.0,2627.0,2025
Alabama,28.0,9.0,0.757,25.54,16.14,3355.0,3007.0,2025
Alabama A&M,10.0,22.0,0.313,-20.52,-9.93,2337.0,2521.0,2025
Alabama State,20.0,16.0,0.556,-8.99,-8.19,2630.0,2607.0,2025
Albany (NY),17.0,16.0,0.515,-9.75,-8.55,2463.0,2437.0,2025
Alcorn State,11.0,21.0,0.344,-14.06,-6.96,2081.0,2307.0,2025
American,22.0,13.0,0.629,-7.64,-6.85,2406.0,2370.0,2025
Appalachian State,17.0,14.0,0.548,-2.59,-3.83,2102.0,1970.0,2025
Arizona,24.0,13.0,0.649,22.94,13.72,3052.0,2711.0,2025
Arizona State,13.0,20.0,0.394,10.62,13.32,2444.0,2533.0,2025
Arkansas,22.0,14.0,0.611,17.09,11.7,2765.0,2571.0,2025
Arkansas State,25.0,11.0,0.694,5.81,-2.4,2858.0,2528.0,2025
Arkansas-Pine Bluff,6.0,25.0,0.194,-24.34,-8.44,2242.0,2602.0,2025
Army,17.0,16.0,0.515,-12.11,-7.3,2416.0,2473.0,2025
Auburn,32.0,6.0,0.842,28.68,15.13,3153.0,2638.0,2025
Austin Peay,14.0,19.0,0.424,-9.57,-3.86,2362.0,2472.0,2025
Ball State,14.0,17.0,0.452,-7.95,-6.49,2336.0,2300.0,2025
Baylor,20.0,15.0,0.571,18.77,13.86,2664.0,2443.0,2025
nan,,,,,,,,2025
School,,,,,,,,2025
Bellarmine,5.0,26.0,0.161,-15.26,-4.88,2252.0,2484.0,2025
Belmont,22.0,11.0,0.667,1.94,-0.12,2618.0,2529.0,2025
Bethune-Cookman,17.0,16.0,0.515,-10.22,-6.7,2265.0,2381.0,2025
Binghamton,15.0,17.0,0.469,-13.5,-9.12,2233.0,2287.0,2025
Boise State,26.0,11.0,0.703,13.86,5.75,2804.0,2477.0,2025
Boston College,12.0,19.0,0.387,-0.25,5.14,2182.0,2349.0,2025
Boston University,16.0,16.0,0.5,-11.0,-8.39,2148.0,2191.0,2025
Bowling Green,14.0,18.0,0.438,-9.53,-6.1,2352.0,2366.0,2025
Bradley,28.0,9.0,0.757,6.4,0.24,2823.0,2535.0,2025
Brigham Young,26.0,10.0,0.722,19.07,10.21,2931.0,2612.0,2025
Brown,14.0,13.0,0.519,-5.21,-4.28,1950.0,1933.0,2025
Bryant,23.0,12.0,0.657,-1.99,-6.93,2862.0,2598.0,2025
Bucknell,18.0,15.0,0.545,-5.35,-6.23,2443.0,2414.0,2025
Buffalo,9.0,22.0,0.29,-15.16,-3.92,2226.0,2508.0,2025
Butler,15.0,20.0,0.429,10.03,10.14,2616.0,2620.0,2025
Cal Poly,16.0,19.0,0.457,-2.47,-0.68,2873.0,2901.0,2025
Cal State Bakersfield,14.0,19.0,0.424,-5.93,-2.26,2434.0,2430.0,2025
Cal State Fullerton,6.0,26.0,0.188,-15.96,0.37,2024.0,2475.0,2025
Cal State Northridge,22.0,11.0,0.667,1.83,-3.36,2650.0,2406.0,2025
California,14.0,19.0,0.424,5.48,6.69,2494.0,2534.0,2025
nan,,,,,,,,2025
School,,,,,,,,2025
California Baptist,17.0,15.0,0.531,-1.13,-2.35,2280.0,2241.0,2025
Campbell,15.0,17.0,0.469,-5.39,-4.96,2246.0,2169.0,2025
Canisius,3.0,28.0,0.097,-19.26,-5.42,2008.0,2437.0,2025
