year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2011,R64,Texas,Oakland,Texas,-9.0,12.540000000000001,7.86,0.06400000000000006,161.0,1.0
2011,R64,Oakland,Texas,Texas,9.0,-12.540000000000001,-7.86,-0.06400000000000006,-161.0,0.0
2011,R64,Cincinnati,Missouri,Cincinnati,-5.0,0.6400000000000006,-0.40000000000000036,0.06699999999999995,13.0,1.0
2011,R64,Missouri,Cincinnati,Cincinnati,5.0,-0.6400000000000006,0.40000000000000036,-0.06699999999999995,-13.0,0.0
2011,R64,UConn,Bucknell,UConn,-11.0,15.559999999999999,14.309999999999999,0.04500000000000004,95.0,1.0
2011,R64,Bucknell,UConn,UConn,11.0,-15.559999999999999,-14.309999999999999,-0.04500000000000004,-95.0,0.0
2011,R64,Temple,Penn State,Temple,-3.0,0.3699999999999992,-7.219999999999999,0.20599999999999996,258.0,1.0
2011,R64,Penn State,Temple,Temple,3.0,-0.3699999999999992,7.219999999999999,-0.20599999999999996,-258.0,0.0
2011,R64,San Diego State,Northern Colorado,San Diego State,-13.0,16.57,8.600000000000001,0.263,286.0,1.0
2011,R64,Northern Colorado,San Diego State,San Diego State,13.0,-16.57,-8.600000000000001,-0.263,-286.0,0.0
2011,R32,Duke,Michigan,Duke,-7.0,10.3,-2.3599999999999994,0.265,458.0,1.0
2011,R32,Michigan,Duke,Duke,7.0,-10.3,2.3599999999999994,-0.265,-458.0,0.0
2011,R32,Arizona,Texas,Arizona,1.0,-4.280000000000001,0.03000000000000025,0.01100000000000001,-138.0,1.0
2011,R32,Texas,Arizona,Arizona,-1.0,4.280000000000001,-0.03000000000000025,-0.01100000000000001,138.0,0.0
2011,R32,Cincinnati,UConn,UConn,3.0,-2.539999999999999,-4.34,-0.03700000000000003,18.0,0.0
2011,R32,UConn,Cincinnati,UConn,-3.0,2.539999999999999,4.34,0.03700000000000003,-18.0,1.0
2011,R32,Temple,San Diego State,San Diego State,5.0,-5.610000000000001,-2.13,-0.15400000000000003,-192.0,0.0
2011,R32,San Diego State,Temple,San Diego State,-5.0,5.610000000000001,2.13,0.15400000000000003,192.0,1.0
2011,S16,Duke,Arizona,Arizona,-4.0,7.970000000000002,0.33000000000000007,0.07599999999999996,274.0,0.0
2011,S16,Arizona,Duke,Arizona,4.0,-7.970000000000002,-0.33000000000000007,-0.07599999999999996,-274.0,1.0
2011,S16,UConn,San Diego State,UConn,1.0,-0.010000000000001563,4.079999999999999,-0.139,-160.0,1.0
2011,S16,San Diego State,UConn,UConn,-1.0,0.010000000000001563,-4.079999999999999,0.139,160.0,0.0
2011,E8,Arizona,UConn,UConn,2.0,-1.4100000000000001,-2.4499999999999993,0.009000000000000008,17.0,0.0
2011,E8,UConn,Arizona,UConn,-2.0,1.4100000000000001,2.4499999999999993,-0.009000000000000008,-17.0,1.0
2011,F4,Kentucky,UConn,UConn,1.0,2.3500000000000014,-1.5299999999999994,-0.017000000000000015,125.0,0.0
2011,F4,UConn,Kentucky,UConn,-1.0,-2.3500000000000014,1.5299999999999994,0.017000000000000015,-125.0,1.0
2011,F4,Butler,VCU,Butler,-3.0,2.969999999999999,1.2399999999999998,0.03700000000000003,79.0,1.0
2011,F4,VCU,Butler,Butler,3.0,-2.969999999999999,-1.2399999999999998,-0.03700000000000003,-79.0,0.0
2011,NCG,UConn,Butler,UConn,-5.0,6.42,5.42,0.04300000000000004,38.0,1.0
2011,NCG,Butler,UConn,UConn,5.0,-6.42,-5.42,-0.04300000000000004,-38.0,0.0
2012,R64,Syracuse,UNC Asheville,Syracuse,-15.0,18.060000000000002,10.74,0.21300000000000008,166.0,1.0
2012,R64,UNC Asheville,Syracuse,Syracuse,15.0,-18.060000000000002,-10.74,-0.21300000000000008,-166.0,0.0
2012,R64,Kansas State,Southern Miss,Kansas State,-1.0,30.64,18.88,0.119,331.0,1.0
2012,R64,Southern Miss,Kansas State,Kansas State,1.0,-30.64,-18.88,-0.119,-331.0,0.0
2012,R64,Vanderbilt,Harvard,Vanderbilt,-7.0,7.870000000000001,9.6,-0.14500000000000002,-33.0,1.0
2012,R64,Harvard,Vanderbilt,Vanderbilt,7.0,-7.870000000000001,-9.6,0.14500000000000002,33.0,0.0
2012,R64,Wisconsin,Montana,Wisconsin,-9.0,14.489999999999998,11.63,-0.05900000000000005,135.0,1.0
2012,R64,Montana,Wisconsin,Wisconsin,9.0,-14.489999999999998,-11.63,0.05900000000000005,-135.0,0.0
2012,R64,Cincinnati,Texas,Cincinnati,-5.0,-1.0700000000000003,-1.839999999999999,0.11499999999999999,46.0,1.0
2012,R64,Texas,Cincinnati,Cincinnati,5.0,1.0700000000000003,1.839999999999999,-0.11499999999999999,-46.0,0.0
2012,R64,Florida State,St. Bonaventure,Florida State,-11.0,6.279999999999999,4.78,0.08899999999999997,69.0,1.0
2012,R64,St. Bonaventure,Florida State,Florida State,11.0,-6.279999999999999,-4.78,-0.08899999999999997,-69.0,0.0
2012,R64,Gonzaga,West Virginia,Gonzaga,-3.0,1.7299999999999986,-4.28,0.21200000000000008,198.0,1.0
2012,R64,West Virginia,Gonzaga,Gonzaga,3.0,-1.7299999999999986,4.28,-0.21200000000000008,-198.0,0.0
2012,R64,Ohio State,Loyola (MD),Ohio State,-13.0,23.58,11.790000000000001,0.06800000000000006,478.0,1.0
2012,R64,Loyola (MD),Ohio State,Ohio State,13.0,-23.58,-11.790000000000001,-0.06800000000000006,-478.0,0.0
2012,R32,Syracuse,Kansas State,Syracuse,-7.0,6.65,0.4899999999999993,0.252,256.0,1.0
2012,R32,Kansas State,Syracuse,Syracuse,7.0,-6.65,-0.4899999999999993,-0.252,-256.0,0.0
2012,R32,Vanderbilt,Wisconsin,Wisconsin,1.0,-3.3299999999999983,-0.20000000000000107,-0.028000000000000025,-113.0,0.0
2012,R32,Wisconsin,Vanderbilt,Wisconsin,-1.0,3.3299999999999983,0.20000000000000107,0.028000000000000025,113.0,1.0
2012,R32,Cincinnati,Florida State,Cincinnati,3.0,-1.5999999999999996,-1.3399999999999999,-0.01100000000000001,4.0,1.0
2012,R32,Florida State,Cincinnati,Cincinnati,-3.0,1.5999999999999996,1.3399999999999999,0.01100000000000001,-4.0,0.0
2012,R32,Gonzaga,Ohio State,Ohio State,5.0,-10.09,-5.82,-0.007000000000000006,-230.0,0.0
2012,R32,Ohio State,Gonzaga,Ohio State,-5.0,10.09,5.82,0.007000000000000006,230.0,1.0
2012,S16,Syracuse,Wisconsin,Syracuse,-3.0,2.080000000000002,-0.22000000000000064,0.19700000000000006,96.0,1.0
2012,S16,Wisconsin,Syracuse,Syracuse,3.0,-2.080000000000002,0.22000000000000064,-0.19700000000000006,-96.0,0.0
2012,S16,Cincinnati,Ohio State,Ohio State,4.0,-11.02,-2.79,-0.09200000000000008,-334.0,0.0
2012,S16,Ohio State,Cincinnati,Ohio State,-4.0,11.02,2.79,0.09200000000000008,334.0,1.0
2012,E8,Syracuse,Ohio State,Ohio State,-1.0,-2.8299999999999983,-1.0500000000000007,0.124,-95.0,0.0
2012,E8,Ohio State,Syracuse,Ohio State,1.0,2.8299999999999983,1.0500000000000007,-0.124,95.0,1.0
2012,R64,UNC,Vermont,UNC,-15.0,2.08,2.47,0.038999999999999924,97.0,1.0
2012,R64,Vermont,UNC,UNC,15.0,-2.08,-2.47,-0.038999999999999924,-97.0,0.0
2012,R64,Creighton,Alabama,Creighton,-1.0,-0.8399999999999999,-3.7699999999999996,0.19299999999999995,116.0,1.0
2012,R64,Alabama,Creighton,Creighton,1.0,0.8399999999999999,3.7699999999999996,-0.19299999999999995,-116.0,0.0
2012,R64,Temple,South Florida,South Florida,-7.0,1.2400000000000002,-2.3499999999999996,0.139,79.0,0.0
2012,R64,South Florida,Temple,South Florida,7.0,-1.2400000000000002,2.3499999999999996,-0.139,-79.0,1.0
2012,R64,Michigan,Ohio,Ohio,-9.0,6.02,8.81,-0.07800000000000007,-121.0,0.0
2012,R64,Ohio,Michigan,Ohio,9.0,-6.02,-8.81,0.07800000000000007,121.0,1.0
2012,R64,San Diego State,NC State,NC State,-5.0,-3.0600000000000005,-3.01,0.11599999999999999,54.0,0.0
2012,R64,NC State,San Diego State,NC State,5.0,3.0600000000000005,3.01,-0.11599999999999999,-54.0,1.0
2012,R64,Georgetown,Belmont,Georgetown,-11.0,4.999999999999998,8.91,-0.04400000000000004,-149.0,1.0
2012,R64,Belmont,Georgetown,Georgetown,11.0,-4.999999999999998,-8.91,0.04400000000000004,149.0,0.0
2012,R64,Saint Mary's,Purdue,Purdue,-3.0,-2.620000000000001,-7.2700000000000005,0.18899999999999995,195.0,0.0
2012,R64,Purdue,Saint Mary's,Purdue,3.0,2.620000000000001,7.2700000000000005,-0.18899999999999995,-195.0,1.0
2012,R64,Kansas,Detroit Mercy,Kansas,-13.0,19.32,9.94,0.20999999999999996,295.0,1.0
2012,R64,Detroit Mercy,Kansas,Kansas,13.0,-19.32,-9.94,-0.20999999999999996,-295.0,0.0
2012,R32,UNC,Creighton,UNC,-7.0,-9.86,-6.130000000000001,-0.123,-14.0,1.0
2012,R32,Creighton,UNC,UNC,7.0,9.86,6.130000000000001,0.123,14.0,0.0
2012,R32,South Florida,Ohio,Ohio,-1.0,2.0299999999999994,7.12,-0.17300000000000004,-189.0,0.0
2012,R32,Ohio,South Florida,Ohio,1.0,-2.0299999999999994,-7.12,0.17300000000000004,189.0,1.0
2012,R32,NC State,Georgetown,NC State,8.0,-4.709999999999999,-0.8900000000000006,-0.07799999999999996,-123.0,1.0
2012,R32,Georgetown,NC State,NC State,-8.0,4.709999999999999,0.8900000000000006,0.07799999999999996,123.0,0.0
2012,R32,Purdue,Kansas,Kansas,8.0,-7.839999999999998,-1.879999999999999,-0.19199999999999995,-256.0,0.0
2012,R32,Kansas,Purdue,Kansas,-8.0,7.839999999999998,1.879999999999999,0.19199999999999995,256.0,1.0
2012,S16,UNC,Ohio,UNC,-12.0,-4.109999999999999,-2.89,-0.07800000000000007,33.0,1.0
2012,S16,Ohio,UNC,UNC,12.0,4.109999999999999,2.89,0.07800000000000007,-33.0,0.0
2012,S16,NC State,Kansas,Kansas,9.0,-9.62,-3.13,-0.17199999999999993,-264.0,0.0
2012,S16,Kansas,NC State,Kansas,-9.0,9.62,3.13,0.17199999999999993,264.0,1.0
2012,E8,UNC,Kansas,Kansas,-1.0,-18.66,-12.65,-0.11499999999999999,-141.0,0.0
2012,E8,Kansas,UNC,Kansas,1.0,18.66,12.65,0.11499999999999999,141.0,1.0
2012,R64,Kentucky,Western Kentucky,Kentucky,-15.0,27.39,7.42,0.49299999999999994,783.0,1.0
2012,R64,Western Kentucky,Kentucky,Kentucky,15.0,-27.39,-7.42,-0.49299999999999994,-783.0,0.0
2012,R64,Iowa State,UConn,Iowa State,-1.0,1.0500000000000007,-0.75,0.08800000000000008,61.0,1.0
2012,R64,UConn,Iowa State,Iowa State,1.0,-1.0500000000000007,0.75,-0.08800000000000008,-61.0,0.0
2012,R64,Wichita State,VCU,VCU,-7.0,8.630000000000003,3.17,0.0119999999999999,191.0,0.0
2012,R64,VCU,Wichita State,VCU,7.0,-8.630000000000003,-3.17,-0.0119999999999999,-191.0,1.0
2012,R64,Indiana,New Mexico State,Indiana,-9.0,9.899999999999999,7.72,0.028000000000000025,37.0,1.0
2012,R64,New Mexico State,Indiana,Indiana,9.0,-9.899999999999999,-7.72,-0.028000000000000025,-37.0,0.0
2012,R64,UNLV,Colorado,Colorado,-5.0,5.640000000000001,-1.3600000000000003,0.07599999999999996,204.0,0.0
2012,R64,Colorado,UNLV,Colorado,5.0,-5.640000000000001,1.3600000000000003,-0.07599999999999996,-204.0,1.0
2012,R64,Baylor,South Dakota State,Baylor,-11.0,9.2,9.899999999999999,0.018000000000000016,-4.0,1.0
2012,R64,South Dakota State,Baylor,Baylor,11.0,-9.2,-9.899999999999999,-0.018000000000000016,4.0,0.0
2012,R64,Notre Dame,Xavier,Xavier,-3.0,1.5899999999999999,0.25,0.008000000000000007,39.0,0.0
2012,R64,Xavier,Notre Dame,Xavier,3.0,-1.5899999999999999,-0.25,-0.008000000000000007,-39.0,1.0
2012,R64,Duke,Lehigh,Lehigh,-13.0,12.780000000000001,13.54,0.02300000000000002,-66.0,0.0
2012,R64,Lehigh,Duke,Lehigh,13.0,-12.780000000000001,-13.54,-0.02300000000000002,66.0,1.0
2012,R32,Kentucky,Iowa State,Kentucky,-7.0,11.41,0.6099999999999994,0.2739999999999999,468.0,1.0
2012,R32,Iowa State,Kentucky,Kentucky,7.0,-11.41,-0.6099999999999994,-0.2739999999999999,-468.0,0.0
2012,R32,VCU,Indiana,Indiana,8.0,-9.84,-7.17,0.05600000000000005,-96.0,0.0
2012,R32,Indiana,VCU,Indiana,-8.0,9.84,7.17,-0.05600000000000005,96.0,1.0
2012,R32,Colorado,Baylor,Baylor,8.0,-8.629999999999999,-2.299999999999999,-0.122,-196.0,0.0
2012,R32,Baylor,Colorado,Baylor,-8.0,8.629999999999999,2.299999999999999,0.122,196.0,1.0
2012,R32,Xavier,Lehigh,Xavier,-5.0,5.32,11.36,-0.132,-239.0,1.0
2012,R32,Lehigh,Xavier,Xavier,5.0,-5.32,-11.36,0.132,239.0,0.0
2012,S16,Kentucky,Indiana,Kentucky,-3.0,6.100000000000001,0.1299999999999999,0.19999999999999996,282.0,1.0
2012,S16,Indiana,Kentucky,Kentucky,3.0,-6.100000000000001,-0.1299999999999999,-0.19999999999999996,-282.0,0.0
2012,S16,Baylor,Xavier,Baylor,-7.0,6.949999999999999,1.8099999999999996,0.15000000000000002,235.0,1.0
2012,S16,Xavier,Baylor,Baylor,7.0,-6.949999999999999,-1.8099999999999996,-0.15000000000000002,-235.0,0.0
2012,E8,Kentucky,Baylor,Kentucky,-2.0,8.190000000000001,-0.09999999999999964,0.16099999999999992,316.0,1.0
2012,E8,Baylor,Kentucky,Kentucky,2.0,-8.190000000000001,0.09999999999999964,-0.16099999999999992,-316.0,0.0
2012,R64,Michigan State,LIU,Michigan State,-15.0,22.66,14.92,0.049000000000000044,328.0,1.0
2012,R64,LIU,Michigan State,Michigan State,15.0,-22.66,-14.92,-0.049000000000000044,-328.0,0.0
2012,R64,Memphis,Saint Louis,Saint Louis,-1.0,1.709999999999999,1.2000000000000002,-0.02200000000000002,30.0,0.0
2012,R64,Saint Louis,Memphis,Saint Louis,1.0,-1.709999999999999,-1.2000000000000002,0.02200000000000002,-30.0,1.0
2012,R64,New Mexico,Long Beach State,New Mexico,-7.0,6.08,2.4699999999999998,0.06500000000000006,134.0,1.0
2012,R64,Long Beach State,New Mexico,New Mexico,7.0,-6.08,-2.4699999999999998,-0.06500000000000006,-134.0,0.0
2012,R64,Louisville,Davidson,Louisville,-9.0,8.930000000000001,10.7,-0.008000000000000007,-46.0,1.0
2012,R64,Davidson,Louisville,Louisville,9.0,-8.930000000000001,-10.7,0.008000000000000007,46.0,0.0
2012,R64,Murray State,Colorado State,Murray State,-5.0,2.16,-7.83,0.31399999999999995,345.0,1.0
2012,R64,Colorado State,Murray State,Murray State,5.0,-2.16,7.83,-0.31399999999999995,-345.0,0.0
2012,R64,Marquette,BYU,Marquette,-11.0,5.670000000000002,5.95,0.028000000000000025,-39.0,1.0
2012,R64,BYU,Marquette,Marquette,11.0,-5.670000000000002,-5.95,-0.028000000000000025,39.0,0.0
2012,R64,Florida,Virginia,Florida,-3.0,5.74,3.0999999999999996,0.015000000000000013,139.0,1.0
2012,R64,Virginia,Florida,Florida,3.0,-5.74,-3.0999999999999996,-0.015000000000000013,-139.0,0.0
2012,R64,Missouri,Norfolk State,Norfolk State,-13.0,23.45,11.07,0.135,427.0,0.0
2012,R64,Norfolk State,Missouri,Norfolk State,13.0,-23.45,-11.07,-0.135,-427.0,1.0
2012,R32,Michigan State,Saint Louis,Michigan State,-8.0,6.17,5.760000000000001,0.019000000000000017,80.0,1.0
2012,R32,Saint Louis,Michigan State,Michigan State,8.0,-6.17,-5.760000000000001,-0.019000000000000017,-80.0,0.0
2012,R32,New Mexico,Louisville,Louisville,1.0,-0.5900000000000016,-5.68,0.050000000000000044,182.0,0.0
2012,R32,Louisville,New Mexico,Louisville,-1.0,0.5900000000000016,5.68,-0.050000000000000044,-182.0,1.0
2012,R32,Murray State,Marquette,Marquette,3.0,-8.180000000000001,-10.1,0.16799999999999993,81.0,0.0
2012,R32,Marquette,Murray State,Marquette,-3.0,8.180000000000001,10.1,-0.16799999999999993,-81.0,1.0
2012,R32,Florida,Norfolk State,Florida,-8.0,21.93,12.719999999999999,-0.019000000000000017,338.0,1.0
2012,R32,Norfolk State,Florida,Florida,8.0,-21.93,-12.719999999999999,0.019000000000000017,-338.0,0.0
2012,S16,Michigan State,Louisville,Louisville,-3.0,5.129999999999999,0.8000000000000007,0.03400000000000003,169.0,0.0
2012,S16,Louisville,Michigan State,Louisville,3.0,-5.129999999999999,-0.8000000000000007,-0.03400000000000003,-169.0,1.0
2012,S16,Marquette,Florida,Florida,-4.0,-1.3299999999999983,0.16999999999999993,0.06800000000000006,-74.0,0.0
2012,S16,Florida,Marquette,Florida,4.0,1.3299999999999983,-0.16999999999999993,-0.06800000000000006,74.0,1.0
2012,E8,Louisville,Florida,Louisville,-3.0,-2.0599999999999987,1.6899999999999995,0.04700000000000004,-117.0,1.0
2012,E8,Florida,Louisville,Louisville,3.0,2.0599999999999987,-1.6899999999999995,-0.04700000000000004,117.0,0.0
2012,F4,Ohio State,Kansas,Kansas,0.0,2.2300000000000004,-0.8599999999999994,-0.025999999999999912,120.0,0.0
2012,F4,Kansas,Ohio State,Kansas,-0.0,-2.2300000000000004,0.8599999999999994,0.025999999999999912,-120.0,1.0
2012,F4,Kentucky,Louisville,Kentucky,-3.0,8.54,-1.0899999999999999,0.19999999999999996,385.0,1.0
2012,F4,Louisville,Kentucky,Kentucky,3.0,-8.54,1.0899999999999999,-0.19999999999999996,-385.0,0.0
2012,NCG,Kansas,Kentucky,Kentucky,1.0,-3.0100000000000016,2.0,-0.129,-212.0,0.0
2012,NCG,Kentucky,Kansas,Kentucky,-1.0,3.0100000000000016,-2.0,0.129,212.0,1.0
2013,R64,Indiana,James Madison,Indiana,-15.0,26.590000000000003,10.610000000000001,0.2230000000000001,575.0,1.0
2013,R64,James Madison,Indiana,Indiana,15.0,-26.590000000000003,-10.610000000000001,-0.2230000000000001,-575.0,0.0
2013,R64,NC State,Temple,Temple,-1.0,4.800000000000001,1.9800000000000004,-0.019999999999999907,103.0,0.0
2013,R64,Temple,NC State,Temple,1.0,-4.800000000000001,-1.9800000000000004,0.019999999999999907,-103.0,1.0
2013,R64,UNLV,California,California,-7.0,2.2200000000000006,-2.1100000000000003,0.07799999999999996,197.0,0.0
2013,R64,California,UNLV,California,7.0,-2.2200000000000006,2.1100000000000003,-0.07799999999999996,-197.0,1.0
2013,R64,Syracuse,Montana,Syracuse,-9.0,21.490000000000002,12.86,-0.031000000000000028,327.0,1.0
2013,R64,Montana,Syracuse,Syracuse,9.0,-21.490000000000002,-12.86,0.031000000000000028,-327.0,0.0
2013,R64,Butler,Bucknell,Butler,-5.0,4.05,8.04,-0.07399999999999995,-115.0,1.0
2013,R64,Bucknell,Butler,Butler,5.0,-4.05,-8.04,0.07399999999999995,115.0,0.0
2013,R64,Marquette,Davidson,Marquette,-11.0,6.750000000000001,12.02,-0.02200000000000002,-189.0,1.0
2013,R64,Davidson,Marquette,Marquette,11.0,-6.750000000000001,-12.02,0.02200000000000002,189.0,0.0
2013,R64,Illinois,Colorado,Illinois,-3.0,1.2699999999999996,2.129999999999999,0.0030000000000000027,1.0,1.0
2013,R64,Colorado,Illinois,Illinois,3.0,-1.2699999999999996,-2.129999999999999,-0.0030000000000000027,-1.0,0.0
2013,R64,Miami (FL),Pacific,Miami (FL),-13.0,15.31,7.11,0.17700000000000005,222.0,1.0
2013,R64,Pacific,Miami (FL),Miami (FL),13.0,-15.31,-7.11,-0.17700000000000005,-222.0,0.0
2013,R32,Indiana,Temple,Indiana,-8.0,15.380000000000003,3.1800000000000006,0.10000000000000009,448.0,1.0
2013,R32,Temple,Indiana,Indiana,8.0,-15.380000000000003,-3.1800000000000006,-0.10000000000000009,-448.0,0.0
2013,R32,California,Syracuse,Syracuse,8.0,-9.71,-0.8600000000000003,-0.11399999999999999,-374.0,0.0
2013,R32,Syracuse,California,Syracuse,-8.0,9.71,0.8600000000000003,0.11399999999999999,374.0,1.0
2013,R32,Butler,Marquette,Marquette,3.0,-3.040000000000001,-2.5,0.007000000000000006,5.0,0.0
2013,R32,Marquette,Butler,Marquette,-3.0,3.040000000000001,2.5,-0.007000000000000006,-5.0,1.0
2013,R32,Illinois,Miami (FL),Miami (FL),5.0,-3.8000000000000007,2.169999999999999,-0.16700000000000004,-195.0,0.0
2013,R32,Miami (FL),Illinois,Miami (FL),-5.0,3.8000000000000007,-2.169999999999999,0.16700000000000004,195.0,1.0
2013,S16,Indiana,Syracuse,Syracuse,-3.0,4.620000000000001,-0.17999999999999972,0.05600000000000005,126.0,0.0
2013,S16,Syracuse,Indiana,Syracuse,3.0,-4.620000000000001,0.17999999999999972,-0.05600000000000005,-126.0,1.0
2013,S16,Marquette,Miami (FL),Marquette,1.0,-2.9299999999999997,0.7199999999999998,-0.06300000000000006,-137.0,1.0
2013,S16,Miami (FL),Marquette,Marquette,-1.0,2.9299999999999997,-0.7199999999999998,0.06300000000000006,137.0,0.0
2013,E8,Syracuse,Marquette,Syracuse,1.0,6.25,-0.019999999999999574,0.007000000000000006,278.0,1.0
2013,E8,Marquette,Syracuse,Syracuse,-1.0,-6.25,0.019999999999999574,-0.007000000000000006,-278.0,0.0
2013,R64,Louisville,North Carolina A&T,Louisville,-15.0,31.75,15.43,0.33399999999999996,619.0,1.0
2013,R64,North Carolina A&T,Louisville,Louisville,15.0,-31.75,-15.43,-0.33399999999999996,-619.0,0.0
2013,R64,Colorado State,Missouri,Colorado State,-1.0,-1.8200000000000003,-0.16999999999999993,0.06699999999999995,4.0,1.0
2013,R64,Missouri,Colorado State,Colorado State,1.0,1.8200000000000003,0.16999999999999993,-0.06699999999999995,-4.0,0.0
2013,R64,Oklahoma State,Oregon,Oregon,-7.0,1.790000000000001,0.9899999999999993,-0.030000000000000027,-6.0,0.0
2013,R64,Oregon,Oklahoma State,Oregon,7.0,-1.790000000000001,-0.9899999999999993,0.030000000000000027,6.0,1.0
2013,R64,Saint Louis,New Mexico State,Saint Louis,-9.0,9.26,3.61,0.11399999999999999,172.0,1.0
2013,R64,New Mexico State,Saint Louis,Saint Louis,9.0,-9.26,-3.61,-0.11399999999999999,-172.0,0.0
2013,R64,Memphis,Saint Mary's,Memphis,-5.0,-2.1800000000000015,-0.5299999999999998,0.06099999999999994,-63.0,1.0
2013,R64,Saint Mary's,Memphis,Memphis,5.0,2.1800000000000015,0.5299999999999998,-0.06099999999999994,63.0,0.0
2013,R64,Michigan State,Valparaiso,Michigan State,-11.0,11.479999999999999,11.670000000000002,-0.015000000000000013,18.0,1.0
2013,R64,Valparaiso,Michigan State,Michigan State,11.0,-11.479999999999999,-11.670000000000002,0.015000000000000013,-18.0,0.0
2013,R64,Creighton,Cincinnati,Creighton,-3.0,1.959999999999999,-1.79,0.131,150.0,1.0
2013,R64,Cincinnati,Creighton,Creighton,3.0,-1.959999999999999,1.79,-0.131,-150.0,0.0
2013,R64,Duke,Albany (NY),Duke,-13.0,22.32,14.08,0.1469999999999999,300.0,1.0
2013,R64,Albany (NY),Duke,Duke,13.0,-22.32,-14.08,-0.1469999999999999,-300.0,0.0
2013,R32,Louisville,Colorado State,Louisville,-7.0,11.22,3.3000000000000007,0.132,303.0,1.0
2013,R32,Colorado State,Louisville,Louisville,7.0,-11.22,-3.3000000000000007,-0.132,-303.0,0.0
2013,R32,Oregon,Saint Louis,Oregon,8.0,-0.5700000000000003,1.4400000000000004,-0.04300000000000004,-54.0,1.0
2013,R32,Saint Louis,Oregon,Oregon,-8.0,0.5700000000000003,-1.4400000000000004,0.04300000000000004,54.0,0.0
2013,R32,Memphis,Michigan State,Michigan State,3.0,-6.35,-7.82,0.11099999999999999,25.0,0.0
2013,R32,Michigan State,Memphis,Michigan State,-3.0,6.35,7.82,-0.11099999999999999,-25.0,1.0
2013,R32,Creighton,Duke,Duke,5.0,-5.030000000000001,-4.42,-0.05499999999999994,-22.0,0.0
2013,R32,Duke,Creighton,Duke,-5.0,5.030000000000001,4.42,0.05499999999999994,22.0,1.0
2013,S16,Louisville,Oregon,Louisville,-11.0,11.040000000000001,3.41,0.118,329.0,1.0
2013,S16,Oregon,Louisville,Louisville,11.0,-11.040000000000001,-3.41,-0.118,-329.0,0.0
2013,S16,Michigan State,Duke,Duke,1.0,-2.830000000000002,0.9800000000000004,-0.08299999999999996,-109.0,0.0
2013,S16,Duke,Michigan State,Duke,-1.0,2.830000000000002,-0.9800000000000004,0.08299999999999996,109.0,1.0
2013,E8,Louisville,Duke,Louisville,-1.0,3.3599999999999994,-0.4299999999999997,0.04200000000000004,199.0,1.0
2013,E8,Duke,Louisville,Louisville,1.0,-3.3599999999999994,0.4299999999999997,-0.04200000000000004,-199.0,0.0
2013,R64,Kansas,Western Kentucky,Kansas,-15.0,21.419999999999998,8.67,0.2819999999999999,445.0,1.0
2013,R64,Western Kentucky,Kansas,Kansas,15.0,-21.419999999999998,-8.67,-0.2819999999999999,-445.0,0.0
2013,R64,UNC,Villanova,UNC,-1.0,-14.379999999999999,-12.479999999999999,-0.08799999999999997,-10.0,1.0
2013,R64,Villanova,UNC,UNC,1.0,14.379999999999999,12.479999999999999,0.08799999999999997,10.0,0.0
2013,R64,VCU,Akron,VCU,-7.0,8.85,4.37,-0.038000000000000034,149.0,1.0
2013,R64,Akron,VCU,VCU,7.0,-8.85,-4.37,0.038000000000000034,-149.0,0.0
2013,R64,Michigan,South Dakota State,Michigan,-9.0,18.939999999999998,13.32,0.08100000000000007,197.0,1.0
2013,R64,South Dakota State,Michigan,Michigan,9.0,-18.939999999999998,-13.32,-0.08100000000000007,-197.0,0.0
2013,R64,UCLA,Minnesota,Minnesota,-5.0,-4.02,-2.540000000000001,0.09599999999999997,-45.0,0.0
2013,R64,Minnesota,UCLA,Minnesota,5.0,4.02,2.540000000000001,-0.09599999999999997,45.0,1.0
2013,R64,Florida,Northwestern State,Florida,-11.0,23.49,10.64,0.06500000000000006,356.0,1.0
2013,R64,Northwestern State,Florida,Florida,11.0,-23.49,-10.64,-0.06500000000000006,-356.0,0.0
2013,R64,San Diego State,Oklahoma,San Diego State,-3.0,1.549999999999999,-0.9400000000000004,0.051000000000000045,141.0,1.0
2013,R64,Oklahoma,San Diego State,San Diego State,3.0,-1.549999999999999,0.9400000000000004,-0.051000000000000045,-141.0,0.0
2013,R64,Georgetown,Florida Gulf Coast,Florida Gulf Coast,-13.0,12.85,9.43,0.07800000000000007,37.0,0.0
2013,R64,Florida Gulf Coast,Georgetown,Florida Gulf Coast,13.0,-12.85,-9.43,-0.07800000000000007,-37.0,1.0
2013,R32,Kansas,UNC,Kansas,-7.0,24.419999999999998,11.49,0.33799999999999997,407.0,1.0
2013,R32,UNC,Kansas,Kansas,7.0,-24.419999999999998,-11.49,-0.33799999999999997,-407.0,0.0
2013,R32,VCU,Michigan,Michigan,1.0,-4.32,-5.500000000000001,-0.04500000000000004,-18.0,0.0
2013,R32,Michigan,VCU,Michigan,-1.0,4.32,5.500000000000001,0.04500000000000004,18.0,1.0
2013,R32,Minnesota,Florida,Florida,8.0,-7.039999999999999,3.460000000000001,-0.16600000000000004,-408.0,0.0
2013,R32,Florida,Minnesota,Florida,-8.0,7.039999999999999,-3.460000000000001,0.16600000000000004,408.0,1.0
