year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2008,S16,Kansas,Villanova,Kansas,-11.0,15.899999999999999,0.5099999999999989,0.29600000000000004,645.0,1.0
2008,S16,Villanova,Kansas,Kansas,11.0,-15.899999999999999,-0.5099999999999989,-0.29600000000000004,-645.0,0.0
2008,S16,Wisconsin,Davidson,Davidson,-7.0,5.66,5.07,0.05499999999999994,-66.0,0.0
2008,S16,Davidson,Wisconsin,Davidson,7.0,-5.66,-5.07,-0.05499999999999994,66.0,1.0
2008,E8,Kansas,Davidson,Kansas,-9.0,12.969999999999999,6.539999999999999,0.119,232.0,1.0
2008,E8,Davidson,Kansas,Kansas,9.0,-12.969999999999999,-6.539999999999999,-0.119,-232.0,0.0
2008,R64,Memphis,UT Arlington,Memphis,-15.0,26.6,10.379999999999999,0.31399999999999995,571.0,1.0
2008,R64,UT Arlington,Memphis,Memphis,15.0,-26.6,-10.379999999999999,-0.31399999999999995,-571.0,0.0
2008,R64,Mississippi State,Oregon,Mississippi State,-1.0,1.7400000000000002,-1.9100000000000001,0.1130000000000001,132.0,1.0
2008,R64,Oregon,Mississippi State,Mississippi State,1.0,-1.7400000000000002,1.9100000000000001,-0.1130000000000001,-132.0,0.0
2008,R64,Michigan State,Temple,Michigan State,-7.0,8.16,3.1099999999999994,0.132,189.0,1.0
2008,R64,Temple,Michigan State,Michigan State,7.0,-8.16,-3.1099999999999994,-0.132,-189.0,0.0
2008,R64,Pitt,Oral Roberts,Pitt,-9.0,9.91,8.1,0.0030000000000000027,86.0,1.0
2008,R64,Oral Roberts,Pitt,Pitt,9.0,-9.91,-8.1,-0.0030000000000000027,-86.0,0.0
2008,R64,Marquette,Kentucky,Marquette,-5.0,9.430000000000001,1.0,0.133,299.0,1.0
2008,R64,Kentucky,Marquette,Marquette,5.0,-9.430000000000001,-1.0,-0.133,-299.0,0.0
2008,R64,Stanford,Cornell,Stanford,-11.0,15.549999999999999,11.690000000000001,-0.008000000000000007,118.0,1.0
2008,R64,Cornell,Stanford,Stanford,11.0,-15.549999999999999,-11.690000000000001,0.008000000000000007,-118.0,0.0
2008,R64,Miami (FL),Saint Mary's,Miami (FL),-3.0,0.9900000000000002,6.77,-0.10499999999999998,-151.0,1.0
2008,R64,Saint Mary's,Miami (FL),Miami (FL),3.0,-0.9900000000000002,-6.77,0.10499999999999998,151.0,0.0
2008,R64,Texas,Austin Peay,Texas,-13.0,20.34,13.83,0.1299999999999999,288.0,1.0
2008,R64,Austin Peay,Texas,Texas,13.0,-20.34,-13.83,-0.1299999999999999,-288.0,0.0
2008,R32,Memphis,Mississippi State,Memphis,-7.0,10.31,0.019999999999999574,0.2739999999999999,458.0,1.0
2008,R32,Mississippi State,Memphis,Memphis,7.0,-10.31,-0.019999999999999574,-0.2739999999999999,-458.0,0.0
2008,R32,Michigan State,Pitt,Michigan State,1.0,0.7000000000000011,-0.16000000000000014,0.020000000000000018,-10.0,1.0
2008,R32,Pitt,Michigan State,Michigan State,-1.0,-0.7000000000000011,0.16000000000000014,-0.020000000000000018,10.0,0.0
2008,R32,Marquette,Stanford,Stanford,3.0,2.3100000000000023,1.1399999999999997,-0.06400000000000006,52.0,0.0
2008,R32,Stanford,Marquette,Stanford,-3.0,-2.3100000000000023,-1.1399999999999997,0.06400000000000006,-52.0,1.0
2008,R32,Miami (FL),Texas,Texas,5.0,-5.749999999999998,-1.46,-0.1399999999999999,-168.0,0.0
2008,R32,Texas,Miami (FL),Texas,-5.0,5.749999999999998,1.46,0.1399999999999999,168.0,1.0
2008,S16,Memphis,Michigan State,Memphis,-4.0,7.41,-1.92,0.19999999999999996,408.0,1.0
2008,S16,Michigan State,Memphis,Memphis,4.0,-7.41,1.92,-0.19999999999999996,-408.0,0.0
2008,S16,Stanford,Texas,Texas,1.0,-1.8200000000000003,-1.6399999999999997,-0.03799999999999992,-64.0,0.0
2008,S16,Texas,Stanford,Texas,-1.0,1.8200000000000003,1.6399999999999997,0.03799999999999992,64.0,1.0
2008,E8,Memphis,Texas,Memphis,-1.0,5.600000000000001,-2.83,0.134,318.0,1.0
2008,E8,Texas,Memphis,Memphis,1.0,-5.600000000000001,2.83,-0.134,-318.0,0.0
2008,R64,UCLA,Mississippi Valley State,UCLA,-15.0,36.99,17.21,0.382,705.0,1.0
2008,R64,Mississippi Valley State,UCLA,UCLA,15.0,-36.99,-17.21,-0.382,-705.0,0.0
2008,R64,BYU,Texas A&M,Texas A&M,-1.0,-4.379999999999999,-6.13,0.07700000000000007,35.0,0.0
2008,R64,Texas A&M,BYU,Texas A&M,1.0,4.379999999999999,6.13,-0.07700000000000007,-35.0,1.0
2008,R64,Drake,Western Kentucky,Western Kentucky,-7.0,4.74,3.91,0.041999999999999926,8.0,0.0
2008,R64,Western Kentucky,Drake,Western Kentucky,7.0,-4.74,-3.91,-0.041999999999999926,-8.0,1.0
2008,R64,UConn,San Diego,San Diego,-9.0,12.149999999999999,5.31,0.11599999999999999,221.0,0.0
2008,R64,San Diego,UConn,San Diego,9.0,-12.149999999999999,-5.31,-0.11599999999999999,-221.0,1.0
2008,R64,Purdue,Baylor,Purdue,-5.0,1.6399999999999988,0.15000000000000036,0.07899999999999996,40.0,1.0
2008,R64,Baylor,Purdue,Purdue,5.0,-1.6399999999999988,-0.15000000000000036,-0.07899999999999996,-40.0,0.0
2008,R64,Xavier,Georgia,Xavier,-11.0,9.930000000000001,-1.5600000000000005,0.31100000000000005,409.0,1.0
2008,R64,Georgia,Xavier,Xavier,11.0,-9.930000000000001,1.5600000000000005,-0.31100000000000005,-409.0,0.0
2008,R64,West Virginia,Arizona,West Virginia,-3.0,3.419999999999998,-3.0600000000000005,0.1439999999999999,250.0,1.0
2008,R64,Arizona,West Virginia,West Virginia,3.0,-3.419999999999998,3.0600000000000005,-0.1439999999999999,-250.0,0.0
2008,R64,Duke,Belmont,Duke,-13.0,21.64,12.719999999999999,0.08899999999999997,252.0,1.0
2008,R64,Belmont,Duke,Duke,13.0,-21.64,-12.719999999999999,-0.08899999999999997,-252.0,0.0
2008,R32,UCLA,Texas A&M,UCLA,-8.0,5.510000000000002,0.25,0.20300000000000007,235.0,1.0
2008,R32,Texas A&M,UCLA,UCLA,8.0,-5.510000000000002,-0.25,-0.20300000000000007,-235.0,0.0
2008,R32,Western Kentucky,San Diego,Western Kentucky,-1.0,5.949999999999999,-1.21,0.19500000000000006,313.0,1.0
2008,R32,San Diego,Western Kentucky,Western Kentucky,1.0,-5.949999999999999,1.21,-0.19500000000000006,-313.0,0.0
2008,R32,Purdue,Xavier,Xavier,3.0,-4.070000000000002,0.4300000000000006,-0.07600000000000007,-188.0,0.0
2008,R32,Xavier,Purdue,Xavier,-3.0,4.070000000000002,-0.4300000000000006,0.07600000000000007,188.0,1.0
2008,R32,West Virginia,Duke,West Virginia,5.0,-3.5500000000000007,-2.119999999999999,-0.121,-52.0,1.0
2008,R32,Duke,West Virginia,West Virginia,-5.0,3.5500000000000007,2.119999999999999,0.121,52.0,0.0
2008,S16,UCLA,Western Kentucky,UCLA,-11.0,12.370000000000001,7.47,0.09099999999999997,185.0,1.0
2008,S16,Western Kentucky,UCLA,UCLA,11.0,-12.370000000000001,-7.47,-0.09099999999999997,-185.0,0.0
2008,S16,Xavier,West Virginia,Xavier,-4.0,-0.7999999999999972,-1.6900000000000004,0.1080000000000001,16.0,1.0
2008,S16,West Virginia,Xavier,Xavier,4.0,0.7999999999999972,1.6900000000000004,-0.1080000000000001,-16.0,0.0
2008,E8,UCLA,Xavier,UCLA,-2.0,4.539999999999999,2.24,0.08599999999999997,134.0,1.0
2008,E8,Xavier,UCLA,UCLA,2.0,-4.539999999999999,-2.24,-0.08599999999999997,-134.0,0.0
2008,F4,UNC,Kansas,Kansas,0.0,-29.45,-12.61,-0.2280000000000001,-600.0,0.0
2008,F4,Kansas,UNC,Kansas,-0.0,29.45,12.61,0.2280000000000001,600.0,1.0
2008,F4,Memphis,UCLA,Memphis,0.0,2.0199999999999996,-1.9500000000000002,0.052999999999999936,152.0,1.0
2008,F4,UCLA,Memphis,Memphis,-0.0,-2.0199999999999996,1.9500000000000002,-0.052999999999999936,-152.0,0.0
2008,NCG,Kansas,Memphis,Kansas,0.0,3.169999999999998,2.4399999999999995,-0.02499999999999991,42.0,1.0
2008,NCG,Memphis,Kansas,Kansas,-0.0,-3.169999999999998,-2.4399999999999995,0.02499999999999991,-42.0,0.0
2009,R64,Pitt,ETSU,Pitt,-15.0,32.0,13.079999999999998,0.46099999999999997,635.0,1.0
2009,R64,ETSU,Pitt,Pitt,15.0,-32.0,-13.079999999999998,-0.46099999999999997,-635.0,0.0
2009,R64,Oklahoma State,Tennessee,Oklahoma State,-1.0,0.17999999999999972,-0.2699999999999996,0.039000000000000035,22.0,1.0
2009,R64,Tennessee,Oklahoma State,Oklahoma State,1.0,-0.17999999999999972,0.2699999999999996,-0.039000000000000035,-22.0,0.0
2009,R64,Florida State,Wisconsin,Wisconsin,-7.0,-1.0600000000000005,-0.5199999999999996,0.10799999999999998,-37.0,0.0
2009,R64,Wisconsin,Florida State,Wisconsin,7.0,1.0600000000000005,0.5199999999999996,-0.10799999999999998,37.0,1.0
2009,R64,Xavier,Portland State,Xavier,-9.0,13.309999999999999,7.8100000000000005,0.07400000000000007,188.0,1.0
2009,R64,Portland State,Xavier,Xavier,9.0,-13.309999999999999,-7.8100000000000005,-0.07400000000000007,-188.0,0.0
2009,R64,UCLA,VCU,UCLA,-5.0,10.940000000000001,7.840000000000001,0.03700000000000003,117.0,1.0
2009,R64,VCU,UCLA,UCLA,5.0,-10.940000000000001,-7.840000000000001,-0.03700000000000003,-117.0,0.0
2009,R64,Villanova,American,Villanova,-11.0,17.5,14.21,0.039000000000000035,185.0,1.0
2009,R64,American,Villanova,Villanova,11.0,-17.5,-14.21,-0.039000000000000035,-185.0,0.0
2009,R64,Texas,Minnesota,Texas,-3.0,3.51,0.8999999999999995,-0.010000000000000009,79.0,1.0
2009,R64,Minnesota,Texas,Texas,3.0,-3.51,-0.8999999999999995,0.010000000000000009,-79.0,0.0
2009,R64,Duke,Binghamton,Duke,-13.0,23.37,14.690000000000001,0.09200000000000008,345.0,1.0
2009,R64,Binghamton,Duke,Duke,13.0,-23.37,-14.690000000000001,-0.09200000000000008,-345.0,0.0
2009,R32,Pitt,Oklahoma State,Pitt,-7.0,7.4300000000000015,1.169999999999999,0.20399999999999996,245.0,1.0
2009,R32,Oklahoma State,Pitt,Pitt,7.0,-7.4300000000000015,-1.169999999999999,-0.20399999999999996,-245.0,0.0
2009,R32,Wisconsin,Xavier,Xavier,8.0,-2.0199999999999996,3.7799999999999994,-0.16500000000000004,-185.0,0.0
2009,R32,Xavier,Wisconsin,Xavier,-8.0,2.0199999999999996,-3.7799999999999994,0.16500000000000004,185.0,1.0
2009,R32,UCLA,Villanova,Villanova,3.0,1.1900000000000013,-1.5300000000000002,-0.04600000000000004,42.0,0.0
2009,R32,Villanova,UCLA,Villanova,-3.0,-1.1900000000000013,1.5300000000000002,0.04600000000000004,-42.0,1.0
2009,R32,Texas,Duke,Duke,5.0,-5.270000000000001,-0.9800000000000004,-0.15400000000000003,-192.0,0.0
2009,R32,Duke,Texas,Duke,-5.0,5.270000000000001,0.9800000000000004,0.15400000000000003,192.0,1.0
2009,S16,Pitt,Xavier,Pitt,-3.0,6.760000000000002,3.959999999999999,0.08999999999999997,124.0,1.0
2009,S16,Xavier,Pitt,Pitt,3.0,-6.760000000000002,-3.959999999999999,-0.08999999999999997,-124.0,0.0
2009,S16,Villanova,Duke,Villanova,1.0,-2.650000000000002,-0.34999999999999964,-0.02200000000000002,-69.0,1.0
2009,S16,Duke,Villanova,Villanova,-1.0,2.650000000000002,0.34999999999999964,0.02200000000000002,69.0,0.0
2009,E8,Pitt,Villanova,Villanova,-2.0,3.7600000000000016,-0.11000000000000121,0.07199999999999995,108.0,0.0
2009,E8,Villanova,Pitt,Villanova,2.0,-3.7600000000000016,0.11000000000000121,-0.07199999999999995,-108.0,1.0
2009,R64,Louisville,Morehead State,Louisville,-15.0,24.01,12.02,0.2819999999999999,361.0,1.0
2009,R64,Morehead State,Louisville,Louisville,15.0,-24.01,-12.02,-0.2819999999999999,-361.0,0.0
2009,R64,Ohio State,Siena,Siena,-1.0,4.43,7.24,-0.10399999999999998,-87.0,0.0
2009,R64,Siena,Ohio State,Siena,1.0,-4.43,-7.24,0.10399999999999998,87.0,1.0
2009,R64,Utah,Arizona,Arizona,-7.0,0.7099999999999991,-3.080000000000001,0.10599999999999998,118.0,0.0
2009,R64,Arizona,Utah,Arizona,7.0,-0.7099999999999991,3.080000000000001,-0.10599999999999998,-118.0,1.0
2009,R64,Wake Forest,Cleveland State,Cleveland State,-9.0,8.66,5.24,0.07100000000000006,65.0,0.0
2009,R64,Cleveland State,Wake Forest,Cleveland State,9.0,-8.66,-5.24,-0.07100000000000006,-65.0,1.0
2009,R64,West Virginia,Dayton,Dayton,-5.0,11.41,6.58,-0.11399999999999999,169.0,0.0
2009,R64,Dayton,West Virginia,Dayton,5.0,-11.41,-6.58,0.11399999999999999,-169.0,1.0
2009,R64,Kansas,North Dakota State,Kansas,-11.0,11.84,10.620000000000001,-0.017000000000000015,4.0,1.0
2009,R64,North Dakota State,Kansas,Kansas,11.0,-11.84,-10.620000000000001,0.017000000000000015,-4.0,0.0
2009,R64,Boston College,USC,USC,-3.0,-3.7300000000000004,-1.92,0.018000000000000016,-42.0,0.0
2009,R64,USC,Boston College,USC,3.0,3.7300000000000004,1.92,-0.018000000000000016,42.0,1.0
2009,R64,Michigan State,Robert Morris,Michigan State,-13.0,18.41,14.6,0.1299999999999999,138.0,1.0
